,Date,Currency,Value
2,2017-01-03,"Australian dollar, daily average",0.9702
3,2017-01-04,"Australian dollar, daily average",0.9678
4,2017-01-05,"Australian dollar, daily average",0.9708
5,2017-01-06,"Australian dollar, daily average",0.9668
6,2017-01-07,"Australian dollar, daily average",0.0
7,2017-01-08,"Australian dollar, daily average",0.0
8,2017-01-09,"Australian dollar, daily average",0.9728
9,2017-01-10,"Australian dollar, daily average",0.9732
10,2017-01-11,"Australian dollar, daily average",0.9788
11,2017-01-12,"Australian dollar, daily average",0.9842
12,2017-01-13,"Australian dollar, daily average",0.9831
13,2017-01-14,"Australian dollar, daily average",0.0
14,2017-01-15,"Australian dollar, daily average",0.0
15,2017-01-16,"Australian dollar, daily average",0.9837
16,2017-01-17,"Australian dollar, daily average",0.9856
17,2017-01-18,"Australian dollar, daily average",0.9933
18,2017-01-19,"Australian dollar, daily average",1.0051
19,2017-01-20,"Australian dollar, daily average",1.0066
20,2017-01-21,"Australian dollar, daily average",0.0
21,2017-01-22,"Australian dollar, daily average",0.0
22,2017-01-23,"Australian dollar, daily average",1.006
23,2017-01-24,"Australian dollar, daily average",0.9991
24,2017-01-25,"Australian dollar, daily average",0.9886
25,2017-01-26,"Australian dollar, daily average",0.9878
26,2017-01-27,"Australian dollar, daily average",0.9909
27,2017-01-28,"Australian dollar, daily average",0.0
28,2017-01-29,"Australian dollar, daily average",0.0
29,2017-01-30,"Australian dollar, daily average",0.9902
30,2017-01-31,"Australian dollar, daily average",0.9879
31,2017-02-01,"Australian dollar, daily average",0.9896
32,2017-02-02,"Australian dollar, daily average",0.9988
33,2017-02-03,"Australian dollar, daily average",0.9994
34,2017-02-04,"Australian dollar, daily average",0.0
35,2017-02-05,"Australian dollar, daily average",0.0
36,2017-02-06,"Australian dollar, daily average",1.0018
37,2017-02-07,"Australian dollar, daily average",1.0047
38,2017-02-08,"Australian dollar, daily average",1.0055
39,2017-02-09,"Australian dollar, daily average",1.0023
40,2017-02-10,"Australian dollar, daily average",1.0035
41,2017-02-11,"Australian dollar, daily average",0.0
42,2017-02-12,"Australian dollar, daily average",0.0
43,2017-02-13,"Australian dollar, daily average",1.0002
44,2017-02-14,"Australian dollar, daily average",1.0003
45,2017-02-15,"Australian dollar, daily average",1.006
46,2017-02-16,"Australian dollar, daily average",1.005
47,2017-02-17,"Australian dollar, daily average",1.0043
48,2017-02-18,"Australian dollar, daily average",0.0
49,2017-02-19,"Australian dollar, daily average",0.0
51,2017-02-21,"Australian dollar, daily average",1.0086
52,2017-02-22,"Australian dollar, daily average",1.0136
53,2017-02-23,"Australian dollar, daily average",1.012
54,2017-02-24,"Australian dollar, daily average",1.0056
55,2017-02-25,"Australian dollar, daily average",0.0
56,2017-02-26,"Australian dollar, daily average",0.0
57,2017-02-27,"Australian dollar, daily average",1.0078
58,2017-02-28,"Australian dollar, daily average",1.0171
59,2017-03-01,"Australian dollar, daily average",1.0224
60,2017-03-02,"Australian dollar, daily average",1.014
61,2017-03-03,"Australian dollar, daily average",1.015
62,2017-03-04,"Australian dollar, daily average",0.0
63,2017-03-05,"Australian dollar, daily average",0.0
64,2017-03-06,"Australian dollar, daily average",1.0171
65,2017-03-07,"Australian dollar, daily average",1.0192
66,2017-03-08,"Australian dollar, daily average",1.0161
67,2017-03-09,"Australian dollar, daily average",1.0149
68,2017-03-10,"Australian dollar, daily average",1.015
69,2017-03-11,"Australian dollar, daily average",0.0
70,2017-03-12,"Australian dollar, daily average",0.0
71,2017-03-13,"Australian dollar, daily average",1.0191
72,2017-03-14,"Australian dollar, daily average",1.0197
