,Date,Currency,Value
2034,2017-01-03,"Brazilian real, daily average",0.4121
2035,2017-01-04,"Brazilian real, daily average",0.4129
2036,2017-01-05,"Brazilian real, daily average",0.4133
2037,2017-01-06,"Brazilian real, daily average",0.4116
2038,2017-01-07,"Brazilian real, daily average",0.0
2039,2017-01-08,"Brazilian real, daily average",0.0
2040,2017-01-09,"Brazilian real, daily average",0.4135
2041,2017-01-10,"Brazilian real, daily average",0.414
2042,2017-01-11,"Brazilian real, daily average",0.4121
2043,2017-01-12,"Brazilian real, daily average",0.4127
2044,2017-01-13,"Brazilian real, daily average",0.4089
2045,2017-01-14,"Brazilian real, daily average",0.0
2046,2017-01-15,"Brazilian real, daily average",0.0
2047,2017-01-16,"Brazilian real, daily average",0.4073
2048,2017-01-17,"Brazilian real, daily average",0.4065
2049,2017-01-18,"Brazilian real, daily average",0.4086
2050,2017-01-19,"Brazilian real, daily average",0.4158
2051,2017-01-20,"Brazilian real, daily average",0.4191
2052,2017-01-21,"Brazilian real, daily average",0.0
2053,2017-01-22,"Brazilian real, daily average",0.0
2054,2017-01-23,"Brazilian real, daily average",0.4198
2055,2017-01-24,"Brazilian real, daily average",0.4158
2056,2017-01-25,"Brazilian real, daily average",0.4128
2057,2017-01-26,"Brazilian real, daily average",0.4117
2058,2017-01-27,"Brazilian real, daily average",0.4164
2059,2017-01-28,"Brazilian real, daily average",0.0
2060,2017-01-29,"Brazilian real, daily average",0.0
2061,2017-01-30,"Brazilian real, daily average",0.4199
2062,2017-01-31,"Brazilian real, daily average",0.4146
2063,2017-02-01,"Brazilian real, daily average",0.4153
2064,2017-02-02,"Brazilian real, daily average",0.4171
2065,2017-02-03,"Brazilian real, daily average",0.4175
2066,2017-02-04,"Brazilian real, daily average",0.0
2067,2017-02-05,"Brazilian real, daily average",0.0
2068,2017-02-06,"Brazilian real, daily average",0.4198
2069,2017-02-07,"Brazilian real, daily average",0.4213
2070,2017-02-08,"Brazilian real, daily average",0.4217
2071,2017-02-09,"Brazilian real, daily average",0.42
2072,2017-02-10,"Brazilian real, daily average",0.4203
2073,2017-02-11,"Brazilian real, daily average",0.0
2074,2017-02-12,"Brazilian real, daily average",0.0
2075,2017-02-13,"Brazilian real, daily average",0.4201
2076,2017-02-14,"Brazilian real, daily average",0.4214
2077,2017-02-15,"Brazilian real, daily average",0.4268
2078,2017-02-16,"Brazilian real, daily average",0.4254
2079,2017-02-17,"Brazilian real, daily average",0.4227
2080,2017-02-18,"Brazilian real, daily average",0.0
2081,2017-02-19,"Brazilian real, daily average",0.0
2083,2017-02-21,"Brazilian real, daily average",0.4249
2084,2017-02-22,"Brazilian real, daily average",0.4283
2085,2017-02-23,"Brazilian real, daily average",0.4282
2086,2017-02-24,"Brazilian real, daily average",0.4219
2087,2017-02-25,"Brazilian real, daily average",0.0
2088,2017-02-26,"Brazilian real, daily average",0.0
2089,2017-02-27,"Brazilian real, daily average",0.422
2090,2017-02-28,"Brazilian real, daily average",0.4261
2091,2017-03-01,"Brazilian real, daily average",0.4297
2092,2017-03-02,"Brazilian real, daily average",0.4276
2093,2017-03-03,"Brazilian real, daily average",0.4282
2094,2017-03-04,"Brazilian real, daily average",0.0
2095,2017-03-05,"Brazilian real, daily average",0.0
2096,2017-03-06,"Brazilian real, daily average",0.4299
2097,2017-03-07,"Brazilian real, daily average",0.4302
2098,2017-03-08,"Brazilian real, daily average",0.427
2099,2017-03-09,"Brazilian real, daily average",0.425
2100,2017-03-10,"Brazilian real, daily average",0.4269
2101,2017-03-11,"Brazilian real, daily average",0.0
2102,2017-03-12,"Brazilian real, daily average",0.0
2103,2017-03-13,"Brazilian real, daily average",0.4266
2104,2017-03-14,"Brazilian real, daily average",0.4257
2105,2017-03-15,"Brazilian real, daily average",0.4259
2106,2017-03-16,"Brazilian real, daily average",0.4281
2107,2017-03-17,"Brazilian real, daily average",0.4296
2108,2017-03-18,"Brazilian real, daily average",0.0
2109,2017-03-19,"Brazilian real, daily average",0.0
2110,2017-03-20,"Brazilian real, daily average",0.4331
2111,2017-03-21,"Brazilian real, daily average",0.4324
2112,2017-03-22,"Brazilian real, daily average",0.432
2113,2017-03-23,"Brazilian real, daily average",0.4265
2114,2017-03-24,"Brazilian real, daily average",0.4285
2115,2017-03-25,"Brazilian real, daily average",0.0
2116,2017-03-26,"Brazilian real, daily average",0.0
2117,2017-03-27,"Brazilian real, daily average",0.4275
2118,2017-03-28,"Brazilian real, daily average",0.4267
2119,2017-03-29,"Brazilian real, daily average",0.4281
2120,2017-03-30,"Brazilian real, daily average",0.4251
2121,2017-03-31,"Brazilian real, daily average",0.4227
2122,2017-04-01,"Brazilian real, daily average",0.0
2123,2017-04-02,"Brazilian real, daily average",0.0
2124,2017-04-03,"Brazilian real, daily average",0.4295
2125,2017-04-04,"Brazilian real, daily average",0.4308
2126,2017-04-05,"Brazilian real, daily average",0.4335
2127,2017-04-06,"Brazilian real, daily average",0.4297
2128,2017-04-07,"Brazilian real, daily average",0.4272
2129,2017-04-08,"Brazilian real, daily average",0.0
2130,2017-04-09,"Brazilian real, daily average",0.0
2131,2017-04-10,"Brazilian real, daily average",0.4251
2132,2017-04-11,"Brazilian real, daily average",0.4246
2133,2017-04-12,"Brazilian real, daily average",0.4224
2134,2017-04-13,"Brazilian real, daily average",0.4236
2136,2017-04-15,"Brazilian real, daily average",0.0
2137,2017-04-16,"Brazilian real, daily average",0.0
2138,2017-04-17,"Brazilian real, daily average",0.4282
2139,2017-04-18,"Brazilian real, daily average",0.4312
2140,2017-04-19,"Brazilian real, daily average",0.4296
2141,2017-04-20,"Brazilian real, daily average",0.428
2142,2017-04-21,"Brazilian real, daily average",0.429
2143,2017-04-22,"Brazilian real, daily average",0.0
2144,2017-04-23,"Brazilian real, daily average",0.0
2145,2017-04-24,"Brazilian real, daily average",0.4313
2146,2017-04-25,"Brazilian real, daily average",0.4306
2147,2017-04-26,"Brazilian real, daily average",0.4267
2148,2017-04-27,"Brazilian real, daily average",0.4291
2149,2017-04-28,"Brazilian real, daily average",0.4284
2150,2017-04-29,"Brazilian real, daily average",0.0
2151,2017-04-30,"Brazilian real, daily average",0.0
2152,2017-05-01,"Brazilian real, daily average",0.4301
2153,2017-05-02,"Brazilian real, daily average",0.4334
2154,2017-05-03,"Brazilian real, daily average",0.4354
2155,2017-05-04,"Brazilian real, daily average",0.4317
2156,2017-05-05,"Brazilian real, daily average",0.4315
2157,2017-05-06,"Brazilian real, daily average",0.0
2158,2017-05-07,"Brazilian real, daily average",0.0
2159,2017-05-08,"Brazilian real, daily average",0.429
2160,2017-05-09,"Brazilian real, daily average",0.4309
2161,2017-05-10,"Brazilian real, daily average",0.4326
2162,2017-05-11,"Brazilian real, daily average",0.4347
2163,2017-05-12,"Brazilian real, daily average",0.4384
2164,2017-05-13,"Brazilian real, daily average",0.0
2165,2017-05-14,"Brazilian real, daily average",0.0
2166,2017-05-15,"Brazilian real, daily average",0.4395
2167,2017-05-16,"Brazilian real, daily average",0.4394
2168,2017-05-17,"Brazilian real, daily average",0.4376
2169,2017-05-18,"Brazilian real, daily average",0.4065
2170,2017-05-19,"Brazilian real, daily average",0.4126
2171,2017-05-20,"Brazilian real, daily average",0.0
2172,2017-05-21,"Brazilian real, daily average",0.0
2174,2017-05-23,"Brazilian real, daily average",0.4127
2175,2017-05-24,"Brazilian real, daily average",0.4122
2176,2017-05-25,"Brazilian real, daily average",0.4095
2177,2017-05-26,"Brazilian real, daily average",0.4124
2178,2017-05-27,"Brazilian real, daily average",0.0
2179,2017-05-28,"Brazilian real, daily average",0.0
2180,2017-05-29,"Brazilian real, daily average",0.4112
2181,2017-05-30,"Brazilian real, daily average",0.4127
2182,2017-05-31,"Brazilian real, daily average",0.4162
2183,2017-06-01,"Brazilian real, daily average",0.4169
2184,2017-06-02,"Brazilian real, daily average",0.4164
2185,2017-06-03,"Brazilian real, daily average",0.0
2186,2017-06-04,"Brazilian real, daily average",0.0
2187,2017-06-05,"Brazilian real, daily average",0.4108
2188,2017-06-06,"Brazilian real, daily average",0.4101
2189,2017-06-07,"Brazilian real, daily average",0.4118
2190,2017-06-08,"Brazilian real, daily average",0.4117
2191,2017-06-09,"Brazilian real, daily average",0.4106
2192,2017-06-10,"Brazilian real, daily average",0.0
2193,2017-06-11,"Brazilian real, daily average",0.0
2194,2017-06-12,"Brazilian real, daily average",0.4058
2195,2017-06-13,"Brazilian real, daily average",0.3995
2196,2017-06-14,"Brazilian real, daily average",0.4024
2197,2017-06-15,"Brazilian real, daily average",0.4057
2198,2017-06-16,"Brazilian real, daily average",0.4024
2199,2017-06-17,"Brazilian real, daily average",0.0
2200,2017-06-18,"Brazilian real, daily average",0.0
2201,2017-06-19,"Brazilian real, daily average",0.4012
2202,2017-06-20,"Brazilian real, daily average",0.3998
2203,2017-06-21,"Brazilian real, daily average",0.4
2204,2017-06-22,"Brazilian real, daily average",0.3973
2205,2017-06-23,"Brazilian real, daily average",0.3978
2206,2017-06-24,"Brazilian real, daily average",0.0
2207,2017-06-25,"Brazilian real, daily average",0.0
2208,2017-06-26,"Brazilian real, daily average",0.3998
2209,2017-06-27,"Brazilian real, daily average",0.3971
2210,2017-06-28,"Brazilian real, daily average",0.3958
2211,2017-06-29,"Brazilian real, daily average",0.3945
2212,2017-06-30,"Brazilian real, daily average",0.3924
2213,2017-07-01,"Brazilian real, daily average",0.0
2214,2017-07-02,"Brazilian real, daily average",0.0
2216,2017-07-04,"Brazilian real, daily average",0.3915
2217,2017-07-05,"Brazilian real, daily average",0.3921
2218,2017-07-06,"Brazilian real, daily average",0.3916
2219,2017-07-07,"Brazilian real, daily average",0.3924
2220,2017-07-08,"Brazilian real, daily average",0.0
2221,2017-07-09,"Brazilian real, daily average",0.0
2222,2017-07-10,"Brazilian real, daily average",0.395
2223,2017-07-11,"Brazilian real, daily average",0.3972
2224,2017-07-12,"Brazilian real, daily average",0.3972
2225,2017-07-13,"Brazilian real, daily average",0.3969
2226,2017-07-14,"Brazilian real, daily average",0.3975
2227,2017-07-15,"Brazilian real, daily average",0.0
2228,2017-07-16,"Brazilian real, daily average",0.0
2229,2017-07-17,"Brazilian real, daily average",0.3982
2230,2017-07-18,"Brazilian real, daily average",0.3992
2231,2017-07-19,"Brazilian real, daily average",0.3995
2232,2017-07-20,"Brazilian real, daily average",0.4011
2233,2017-07-21,"Brazilian real, daily average",0.4012
2234,2017-07-22,"Brazilian real, daily average",0.0
2235,2017-07-23,"Brazilian real, daily average",0.0
2236,2017-07-24,"Brazilian real, daily average",0.3976
2237,2017-07-25,"Brazilian real, daily average",0.3959
2238,2017-07-26,"Brazilian real, daily average",0.3957
2239,2017-07-27,"Brazilian real, daily average",0.3971
2240,2017-07-28,"Brazilian real, daily average",0.3959
2241,2017-07-29,"Brazilian real, daily average",0.0
2242,2017-07-30,"Brazilian real, daily average",0.0
2243,2017-07-31,"Brazilian real, daily average",0.3992
2244,2017-08-01,"Brazilian real, daily average",0.4015
2245,2017-08-02,"Brazilian real, daily average",0.4022
2246,2017-08-03,"Brazilian real, daily average",0.4033
2247,2017-08-04,"Brazilian real, daily average",0.4049
