,Date,Currency,Value
50021,2012-07-25,Canadian-Dollar Effective Exchange Rate Index (CERI),118.61391312
50022,2012-07-26,Canadian-Dollar Effective Exchange Rate Index (CERI),119.31572313
50023,2012-07-27,Canadian-Dollar Effective Exchange Rate Index (CERI),119.68185416
50024,2012-07-28,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50025,2012-07-29,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50026,2012-07-30,Canadian-Dollar Effective Exchange Rate Index (CERI),120.08932853
50027,2012-07-31,Canadian-Dollar Effective Exchange Rate Index (CERI),120.24413225
50028,2012-08-01,Canadian-Dollar Effective Exchange Rate Index (CERI),120.25139549
50029,2012-08-02,Canadian-Dollar Effective Exchange Rate Index (CERI),119.91232136
50030,2012-08-03,Canadian-Dollar Effective Exchange Rate Index (CERI),120.52496186
50031,2012-08-04,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50032,2012-08-05,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50033,2012-08-06,Canadian-Dollar Effective Exchange Rate Index (CERI),120.52496186
50034,2012-08-07,Canadian-Dollar Effective Exchange Rate Index (CERI),120.78051159
50035,2012-08-08,Canadian-Dollar Effective Exchange Rate Index (CERI),121.01091046
50036,2012-08-09,Canadian-Dollar Effective Exchange Rate Index (CERI),121.37832464
50037,2012-08-10,Canadian-Dollar Effective Exchange Rate Index (CERI),121.40841311
50038,2012-08-11,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50039,2012-08-12,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50040,2012-08-13,Canadian-Dollar Effective Exchange Rate Index (CERI),121.18757697
50041,2012-08-14,Canadian-Dollar Effective Exchange Rate Index (CERI),121.45870632
50042,2012-08-15,Canadian-Dollar Effective Exchange Rate Index (CERI),121.7905779
50043,2012-08-16,Canadian-Dollar Effective Exchange Rate Index (CERI),121.86519239
50044,2012-08-17,Canadian-Dollar Effective Exchange Rate Index (CERI),121.89100476
50045,2012-08-18,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50046,2012-08-19,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50047,2012-08-20,Canadian-Dollar Effective Exchange Rate Index (CERI),121.78285273
50048,2012-08-21,Canadian-Dollar Effective Exchange Rate Index (CERI),121.9626262
50049,2012-08-22,Canadian-Dollar Effective Exchange Rate Index (CERI),121.15468189
50050,2012-08-23,Canadian-Dollar Effective Exchange Rate Index (CERI),120.98650588
50051,2012-08-24,Canadian-Dollar Effective Exchange Rate Index (CERI),121.16978109
50052,2012-08-25,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50053,2012-08-26,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50054,2012-08-27,Canadian-Dollar Effective Exchange Rate Index (CERI),121.5370803
50055,2012-08-28,Canadian-Dollar Effective Exchange Rate Index (CERI),121.81711703
50056,2012-08-29,Canadian-Dollar Effective Exchange Rate Index (CERI),121.75063382
50057,2012-08-30,Canadian-Dollar Effective Exchange Rate Index (CERI),121.18290626
50058,2012-08-31,Canadian-Dollar Effective Exchange Rate Index (CERI),121.80356366
50059,2012-09-01,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50060,2012-09-02,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50061,2012-09-03,Canadian-Dollar Effective Exchange Rate Index (CERI),121.80356366
50062,2012-09-04,Canadian-Dollar Effective Exchange Rate Index (CERI),121.79442088
50063,2012-09-05,Canadian-Dollar Effective Exchange Rate Index (CERI),121.25783561
50064,2012-09-06,Canadian-Dollar Effective Exchange Rate Index (CERI),122.20919257
50065,2012-09-07,Canadian-Dollar Effective Exchange Rate Index (CERI),122.54494747
50066,2012-09-08,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50067,2012-09-09,Canadian-Dollar Effective Exchange Rate Index (CERI),0.0
50068,2012-09-10,Canadian-Dollar Effective Exchange Rate Index (CERI),122.75209628
50069,2012-09-11,Canadian-Dollar Effective Exchange Rate Index (CERI),123.12454247
50070,2012-09-12,Canadian-Dollar Effective Exchange Rate Index (CERI),122.68112466
