,Date,Currency,Value
4066,2017-01-03,"Chinese renminbi, daily average",0.193
4067,2017-01-04,"Chinese renminbi, daily average",0.192
4068,2017-01-05,"Chinese renminbi, daily average",0.1922
4069,2017-01-06,"Chinese renminbi, daily average",0.1911
4070,2017-01-07,"Chinese renminbi, daily average",0.0
4071,2017-01-08,"Chinese renminbi, daily average",0.0
4072,2017-01-09,"Chinese renminbi, daily average",0.1907
4073,2017-01-10,"Chinese renminbi, daily average",0.1909
4074,2017-01-11,"Chinese renminbi, daily average",0.1905
4075,2017-01-12,"Chinese renminbi, daily average",0.1903
4076,2017-01-13,"Chinese renminbi, daily average",0.1903
4077,2017-01-14,"Chinese renminbi, daily average",0.0
4078,2017-01-15,"Chinese renminbi, daily average",0.0
4079,2017-01-16,"Chinese renminbi, daily average",0.1907
4080,2017-01-17,"Chinese renminbi, daily average",0.1905
4081,2017-01-18,"Chinese renminbi, daily average",0.1925
4082,2017-01-19,"Chinese renminbi, daily average",0.1938
4083,2017-01-20,"Chinese renminbi, daily average",0.194
4084,2017-01-21,"Chinese renminbi, daily average",0.0
4085,2017-01-22,"Chinese renminbi, daily average",0.0
4086,2017-01-23,"Chinese renminbi, daily average",0.1939
4087,2017-01-24,"Chinese renminbi, daily average",0.1921
4088,2017-01-25,"Chinese renminbi, daily average",0.1901
4089,2017-01-26,"Chinese renminbi, daily average",0.1904
4090,2017-01-27,"Chinese renminbi, daily average",0.1907
4091,2017-01-28,"Chinese renminbi, daily average",0.0
4092,2017-01-29,"Chinese renminbi, daily average",0.0
4093,2017-01-30,"Chinese renminbi, daily average",0.1906
4094,2017-01-31,"Chinese renminbi, daily average",0.1894
4095,2017-02-01,"Chinese renminbi, daily average",0.19
4096,2017-02-02,"Chinese renminbi, daily average",0.1891
4097,2017-02-03,"Chinese renminbi, daily average",0.1895
4098,2017-02-04,"Chinese renminbi, daily average",0.0
4099,2017-02-05,"Chinese renminbi, daily average",0.0
4100,2017-02-06,"Chinese renminbi, daily average",0.1909
4101,2017-02-07,"Chinese renminbi, daily average",0.1913
4102,2017-02-08,"Chinese renminbi, daily average",0.1915
4103,2017-02-09,"Chinese renminbi, daily average",0.1911
4104,2017-02-10,"Chinese renminbi, daily average",0.1902
4105,2017-02-11,"Chinese renminbi, daily average",0.0
4106,2017-02-12,"Chinese renminbi, daily average",0.0
4107,2017-02-13,"Chinese renminbi, daily average",0.1902
4108,2017-02-14,"Chinese renminbi, daily average",0.1904
4109,2017-02-15,"Chinese renminbi, daily average",0.1905
4110,2017-02-16,"Chinese renminbi, daily average",0.1905
4111,2017-02-17,"Chinese renminbi, daily average",0.1908
4112,2017-02-18,"Chinese renminbi, daily average",0.0
4113,2017-02-19,"Chinese renminbi, daily average",0.0
4115,2017-02-21,"Chinese renminbi, daily average",0.191
4116,2017-02-22,"Chinese renminbi, daily average",0.1916
4117,2017-02-23,"Chinese renminbi, daily average",0.1909
4118,2017-02-24,"Chinese renminbi, daily average",0.1906
4119,2017-02-25,"Chinese renminbi, daily average",0.0
4120,2017-02-26,"Chinese renminbi, daily average",0.0
4121,2017-02-27,"Chinese renminbi, daily average",0.1909
4122,2017-02-28,"Chinese renminbi, daily average",0.1929
4123,2017-03-01,"Chinese renminbi, daily average",0.1938
4124,2017-03-02,"Chinese renminbi, daily average",0.1943
4125,2017-03-03,"Chinese renminbi, daily average",0.1943
4126,2017-03-04,"Chinese renminbi, daily average",0.0
4127,2017-03-05,"Chinese renminbi, daily average",0.0
4128,2017-03-06,"Chinese renminbi, daily average",0.1943
4129,2017-03-07,"Chinese renminbi, daily average",0.1944
4130,2017-03-08,"Chinese renminbi, daily average",0.1949
4131,2017-03-09,"Chinese renminbi, daily average",0.1955
4132,2017-03-10,"Chinese renminbi, daily average",0.1948
4133,2017-03-11,"Chinese renminbi, daily average",0.0
4134,2017-03-12,"Chinese renminbi, daily average",0.0
4135,2017-03-13,"Chinese renminbi, daily average",0.1945
4136,2017-03-14,"Chinese renminbi, daily average",0.195
4137,2017-03-15,"Chinese renminbi, daily average",0.1942
4138,2017-03-16,"Chinese renminbi, daily average",0.1931
4139,2017-03-17,"Chinese renminbi, daily average",0.1932
4140,2017-03-18,"Chinese renminbi, daily average",0.0
4141,2017-03-19,"Chinese renminbi, daily average",0.0
4142,2017-03-20,"Chinese renminbi, daily average",0.1934
4143,2017-03-21,"Chinese renminbi, daily average",0.1933
4144,2017-03-22,"Chinese renminbi, daily average",0.1941
4145,2017-03-23,"Chinese renminbi, daily average",0.1937
4146,2017-03-24,"Chinese renminbi, daily average",0.1943
4147,2017-03-25,"Chinese renminbi, daily average",0.0
4148,2017-03-26,"Chinese renminbi, daily average",0.0
4149,2017-03-27,"Chinese renminbi, daily average",0.1946
4150,2017-03-28,"Chinese renminbi, daily average",0.1944
4151,2017-03-29,"Chinese renminbi, daily average",0.194
4152,2017-03-30,"Chinese renminbi, daily average",0.1931
4153,2017-03-31,"Chinese renminbi, daily average",0.1933
4154,2017-04-01,"Chinese renminbi, daily average",0.0
4155,2017-04-02,"Chinese renminbi, daily average",0.0
4156,2017-04-03,"Chinese renminbi, daily average",0.1943
4157,2017-04-04,"Chinese renminbi, daily average",0.1949
4158,2017-04-05,"Chinese renminbi, daily average",0.1945
4159,2017-04-06,"Chinese renminbi, daily average",0.1945
4160,2017-04-07,"Chinese renminbi, daily average",0.1941
4161,2017-04-08,"Chinese renminbi, daily average",0.0
4162,2017-04-09,"Chinese renminbi, daily average",0.0
4163,2017-04-10,"Chinese renminbi, daily average",0.1934
4164,2017-04-11,"Chinese renminbi, daily average",0.1934
4165,2017-04-12,"Chinese renminbi, daily average",0.193
4166,2017-04-13,"Chinese renminbi, daily average",0.1927
4168,2017-04-15,"Chinese renminbi, daily average",0.0
4169,2017-04-16,"Chinese renminbi, daily average",0.0
4170,2017-04-17,"Chinese renminbi, daily average",0.1931
