,Date,Currency,Value
6098,2017-01-03,"European euro, daily average",1.3973
6099,2017-01-04,"European euro, daily average",1.393
6100,2017-01-05,"European euro, daily average",1.4008
6101,2017-01-06,"European euro, daily average",1.3953
6102,2017-01-07,"European euro, daily average",0.0
6103,2017-01-08,"European euro, daily average",0.0
6104,2017-01-09,"European euro, daily average",1.3967
6105,2017-01-10,"European euro, daily average",1.397
6106,2017-01-11,"European euro, daily average",1.3916
6107,2017-01-12,"European euro, daily average",1.3966
6108,2017-01-13,"European euro, daily average",1.3967
6109,2017-01-14,"European euro, daily average",0.0
6110,2017-01-15,"European euro, daily average",0.0
6111,2017-01-16,"European euro, daily average",1.395
6112,2017-01-17,"European euro, daily average",1.397
6113,2017-01-18,"European euro, daily average",1.4052
6114,2017-01-19,"European euro, daily average",1.4159
6115,2017-01-20,"European euro, daily average",1.4242
6116,2017-01-21,"European euro, daily average",0.0
6117,2017-01-22,"European euro, daily average",0.0
6118,2017-01-23,"European euro, daily average",1.4266
6119,2017-01-24,"European euro, daily average",1.4156
6120,2017-01-25,"European euro, daily average",1.4052
6121,2017-01-26,"European euro, daily average",1.4001
6122,2017-01-27,"European euro, daily average",1.4036
6123,2017-01-28,"European euro, daily average",0.0
6124,2017-01-29,"European euro, daily average",0.0
6125,2017-01-30,"European euro, daily average",1.4002
6126,2017-01-31,"European euro, daily average",1.4053
6127,2017-02-01,"European euro, daily average",1.4066
6128,2017-02-02,"European euro, daily average",1.4049
6129,2017-02-03,"European euro, daily average",1.4022
6130,2017-02-04,"European euro, daily average",0.0
6131,2017-02-05,"European euro, daily average",0.0
6132,2017-02-06,"European euro, daily average",1.4061
6133,2017-02-07,"European euro, daily average",1.4072
6134,2017-02-08,"European euro, daily average",1.4064
6135,2017-02-09,"European euro, daily average",1.4003
6136,2017-02-10,"European euro, daily average",1.3911
6137,2017-02-11,"European euro, daily average",0.0
6138,2017-02-12,"European euro, daily average",0.0
6139,2017-02-13,"European euro, daily average",1.3874
6140,2017-02-14,"European euro, daily average",1.3832
6141,2017-02-15,"European euro, daily average",1.3843
6142,2017-02-16,"European euro, daily average",1.3917
6143,2017-02-17,"European euro, daily average",1.3923
6144,2017-02-18,"European euro, daily average",0.0
6145,2017-02-19,"European euro, daily average",0.0
6147,2017-02-21,"European euro, daily average",1.3861
6148,2017-02-22,"European euro, daily average",1.3892
6149,2017-02-23,"European euro, daily average",1.3867
6150,2017-02-24,"European euro, daily average",1.3853
6151,2017-02-25,"European euro, daily average",0.0
6152,2017-02-26,"European euro, daily average",0.0
6153,2017-02-27,"European euro, daily average",1.3907
6154,2017-02-28,"European euro, daily average",1.4051
6155,2017-03-01,"European euro, daily average",1.4072
6156,2017-03-02,"European euro, daily average",1.4069
6157,2017-03-03,"European euro, daily average",1.4169
6158,2017-03-04,"European euro, daily average",0.0
6159,2017-03-05,"European euro, daily average",0.0
6160,2017-03-06,"European euro, daily average",1.4195
6161,2017-03-07,"European euro, daily average",1.4184
6162,2017-03-08,"European euro, daily average",1.4215
6163,2017-03-09,"European euro, daily average",1.4301
6164,2017-03-10,"European euro, daily average",1.4353
6165,2017-03-11,"European euro, daily average",0.0
6166,2017-03-12,"European euro, daily average",0.0
6167,2017-03-13,"European euro, daily average",1.434
6168,2017-03-14,"European euro, daily average",1.4332
6169,2017-03-15,"European euro, daily average",1.4291
6170,2017-03-16,"European euro, daily average",1.4294
6171,2017-03-17,"European euro, daily average",1.433
6172,2017-03-18,"European euro, daily average",0.0
6173,2017-03-19,"European euro, daily average",0.0
6174,2017-03-20,"European euro, daily average",1.4354
6175,2017-03-21,"European euro, daily average",1.4393
6176,2017-03-22,"European euro, daily average",1.4434
6177,2017-03-23,"European euro, daily average",1.4381
6178,2017-03-24,"European euro, daily average",1.4448
6179,2017-03-25,"European euro, daily average",0.0
6180,2017-03-26,"European euro, daily average",0.0
6181,2017-03-27,"European euro, daily average",1.4548
6182,2017-03-28,"European euro, daily average",1.45
6183,2017-03-29,"European euro, daily average",1.4375
6184,2017-03-30,"European euro, daily average",1.4255
6185,2017-03-31,"European euro, daily average",1.4222
6186,2017-04-01,"European euro, daily average",0.0
6187,2017-04-02,"European euro, daily average",0.0
6188,2017-04-03,"European euro, daily average",1.4272
6189,2017-04-04,"European euro, daily average",1.4311
6190,2017-04-05,"European euro, daily average",1.4296
6191,2017-04-06,"European euro, daily average",1.4292
6192,2017-04-07,"European euro, daily average",1.421
6193,2017-04-08,"European euro, daily average",0.0
6194,2017-04-09,"European euro, daily average",0.0
6195,2017-04-10,"European euro, daily average",1.4144
6196,2017-04-11,"European euro, daily average",1.4148
6197,2017-04-12,"European euro, daily average",1.4111
6198,2017-04-13,"European euro, daily average",1.4102
6200,2017-04-15,"European euro, daily average",0.0
6201,2017-04-16,"European euro, daily average",0.0
6202,2017-04-17,"European euro, daily average",1.4155
6203,2017-04-18,"European euro, daily average",1.4321
6204,2017-04-19,"European euro, daily average",1.4423
6205,2017-04-20,"European euro, daily average",1.4485
6206,2017-04-21,"European euro, daily average",1.4447
6207,2017-04-22,"European euro, daily average",0.0
6208,2017-04-23,"European euro, daily average",0.0
6209,2017-04-24,"European euro, daily average",1.4648
6210,2017-04-25,"European euro, daily average",1.4847
6211,2017-04-26,"European euro, daily average",1.4797
6212,2017-04-27,"European euro, daily average",1.4817
6213,2017-04-28,"European euro, daily average",1.4896
6214,2017-04-29,"European euro, daily average",0.0
6215,2017-04-30,"European euro, daily average",0.0
6216,2017-05-01,"European euro, daily average",1.4902
6217,2017-05-02,"European euro, daily average",1.4971
6218,2017-05-03,"European euro, daily average",1.4963
6219,2017-05-04,"European euro, daily average",1.5057
6220,2017-05-05,"European euro, daily average",1.5063
6221,2017-05-06,"European euro, daily average",0.0
6222,2017-05-07,"European euro, daily average",0.0
6223,2017-05-08,"European euro, daily average",1.4985
6224,2017-05-09,"European euro, daily average",1.4939
6225,2017-05-10,"European euro, daily average",1.486
6226,2017-05-11,"European euro, daily average",1.4892
6227,2017-05-12,"European euro, daily average",1.4973
6228,2017-05-13,"European euro, daily average",0.0
6229,2017-05-14,"European euro, daily average",0.0
6230,2017-05-15,"European euro, daily average",1.4973
6231,2017-05-16,"European euro, daily average",1.5063
6232,2017-05-17,"European euro, daily average",1.5161
6233,2017-05-18,"European euro, daily average",1.5128
6234,2017-05-19,"European euro, daily average",1.5162
6235,2017-05-20,"European euro, daily average",0.0
6236,2017-05-21,"European euro, daily average",0.0
6238,2017-05-23,"European euro, daily average",1.512
6239,2017-05-24,"European euro, daily average",1.5063
6240,2017-05-25,"European euro, daily average",1.5082
6241,2017-05-26,"European euro, daily average",1.5039
6242,2017-05-27,"European euro, daily average",0.0
6243,2017-05-28,"European euro, daily average",0.0
6244,2017-05-29,"European euro, daily average",1.5027
6245,2017-05-30,"European euro, daily average",1.5059
6246,2017-05-31,"European euro, daily average",1.5164
6247,2017-06-01,"European euro, daily average",1.5141
6248,2017-06-02,"European euro, daily average",1.5218
6249,2017-06-03,"European euro, daily average",0.0
6250,2017-06-04,"European euro, daily average",0.0
6251,2017-06-05,"European euro, daily average",1.5171
6252,2017-06-06,"European euro, daily average",1.517
6253,2017-06-07,"European euro, daily average",1.5179
6254,2017-06-08,"European euro, daily average",1.5145
6255,2017-06-09,"European euro, daily average",1.5052
6256,2017-06-10,"European euro, daily average",0.0
6257,2017-06-11,"European euro, daily average",0.0
6258,2017-06-12,"European euro, daily average",1.5032
6259,2017-06-13,"European euro, daily average",1.4835
6260,2017-06-14,"European euro, daily average",1.4872
6261,2017-06-15,"European euro, daily average",1.481
6262,2017-06-16,"European euro, daily average",1.4804
6263,2017-06-17,"European euro, daily average",0.0
6264,2017-06-18,"European euro, daily average",0.0
6265,2017-06-19,"European euro, daily average",1.4758
6266,2017-06-20,"European euro, daily average",1.4771
6267,2017-06-21,"European euro, daily average",1.4839
6268,2017-06-22,"European euro, daily average",1.4769
6269,2017-06-23,"European euro, daily average",1.4853
6270,2017-06-24,"European euro, daily average",0.0
6271,2017-06-25,"European euro, daily average",0.0
6272,2017-06-26,"European euro, daily average",1.4819
6273,2017-06-27,"European euro, daily average",1.4913
6274,2017-06-28,"European euro, daily average",1.4844
6275,2017-06-29,"European euro, daily average",1.4868
6276,2017-06-30,"European euro, daily average",1.4813
6277,2017-07-01,"European euro, daily average",0.0
6278,2017-07-02,"European euro, daily average",0.0
6280,2017-07-04,"European euro, daily average",1.4685
6281,2017-07-05,"European euro, daily average",1.4714
6282,2017-07-06,"European euro, daily average",1.4767
6283,2017-07-07,"European euro, daily average",1.4692
6284,2017-07-08,"European euro, daily average",0.0
6285,2017-07-09,"European euro, daily average",0.0
6286,2017-07-10,"European euro, daily average",1.4688
6287,2017-07-11,"European euro, daily average",1.4774
6288,2017-07-12,"European euro, daily average",1.4613
6289,2017-07-13,"European euro, daily average",1.4529
6290,2017-07-14,"European euro, daily average",1.4515
6291,2017-07-15,"European euro, daily average",0.0
6292,2017-07-16,"European euro, daily average",0.0
6293,2017-07-17,"European euro, daily average",1.4535
6294,2017-07-18,"European euro, daily average",1.4606
6295,2017-07-19,"European euro, daily average",1.4512
6296,2017-07-20,"European euro, daily average",1.4604
6297,2017-07-21,"European euro, daily average",1.4632
6298,2017-07-22,"European euro, daily average",0.0
6299,2017-07-23,"European euro, daily average",0.0
6300,2017-07-24,"European euro, daily average",1.4565
6301,2017-07-25,"European euro, daily average",1.4592
6302,2017-07-26,"European euro, daily average",1.4572
6303,2017-07-27,"European euro, daily average",1.4621
6304,2017-07-28,"European euro, daily average",1.4619
6305,2017-07-29,"European euro, daily average",0.0
6306,2017-07-30,"European euro, daily average",0.0
6307,2017-07-31,"European euro, daily average",1.4719
6308,2017-08-01,"European euro, daily average",1.4779
6309,2017-08-02,"European euro, daily average",1.489
6310,2017-08-03,"European euro, daily average",1.4928
6311,2017-08-04,"European euro, daily average",1.4886
6312,2017-08-05,"European euro, daily average",0.0
6313,2017-08-06,"European euro, daily average",0.0
6315,2017-08-08,"European euro, daily average",1.4911
6316,2017-08-09,"European euro, daily average",1.4916
6317,2017-08-10,"European euro, daily average",1.4936
6318,2017-08-11,"European euro, daily average",1.4984
6319,2017-08-12,"European euro, daily average",0.0
6320,2017-08-13,"European euro, daily average",0.0
6321,2017-08-14,"European euro, daily average",1.4975
6322,2017-08-15,"European euro, daily average",1.4957
6323,2017-08-16,"European euro, daily average",1.4884
6324,2017-08-17,"European euro, daily average",1.4837
6325,2017-08-18,"European euro, daily average",1.4787
6326,2017-08-19,"European euro, daily average",0.0
6327,2017-08-20,"European euro, daily average",0.0
6328,2017-08-21,"European euro, daily average",1.4844
6329,2017-08-22,"European euro, daily average",1.476
6330,2017-08-23,"European euro, daily average",1.4835
6331,2017-08-24,"European euro, daily average",1.4789
6332,2017-08-25,"European euro, daily average",1.4821
6333,2017-08-26,"European euro, daily average",0.0
6334,2017-08-27,"European euro, daily average",0.0
6335,2017-08-28,"European euro, daily average",1.4929
6336,2017-08-29,"European euro, daily average",1.5037
6337,2017-08-30,"European euro, daily average",1.5009
6338,2017-08-31,"European euro, daily average",1.4887
6339,2017-09-01,"European euro, daily average",1.4719
6340,2017-09-02,"European euro, daily average",0.0
6341,2017-09-03,"European euro, daily average",0.0
6343,2017-09-05,"European euro, daily average",1.4733
6344,2017-09-06,"European euro, daily average",1.4628
6345,2017-09-07,"European euro, daily average",1.4585
6346,2017-09-08,"European euro, daily average",1.4601
6347,2017-09-09,"European euro, daily average",0.0
6348,2017-09-10,"European euro, daily average",0.0
6349,2017-09-11,"European euro, daily average",1.4521
6350,2017-09-12,"European euro, daily average",1.4538
6351,2017-09-13,"European euro, daily average",1.4517
6352,2017-09-14,"European euro, daily average",1.4506
6353,2017-09-15,"European euro, daily average",1.4564
6354,2017-09-16,"European euro, daily average",0.0
6355,2017-09-17,"European euro, daily average",0.0
6356,2017-09-18,"European euro, daily average",1.4621
6357,2017-09-19,"European euro, daily average",1.4712
6358,2017-09-20,"European euro, daily average",1.4697
6359,2017-09-21,"European euro, daily average",1.4718
6360,2017-09-22,"European euro, daily average",1.4729
6361,2017-09-23,"European euro, daily average",0.0
6362,2017-09-24,"European euro, daily average",0.0
6363,2017-09-25,"European euro, daily average",1.4634
6364,2017-09-26,"European euro, daily average",1.458
6365,2017-09-27,"European euro, daily average",1.4577
6366,2017-09-28,"European euro, daily average",1.4672
6367,2017-09-29,"European euro, daily average",1.4742
6368,2017-09-30,"European euro, daily average",0.0
6369,2017-10-01,"European euro, daily average",0.0
6370,2017-10-02,"European euro, daily average",1.4687
6371,2017-10-03,"European euro, daily average",1.4691
6372,2017-10-04,"European euro, daily average",1.4678
6373,2017-10-05,"European euro, daily average",1.4699
6374,2017-10-06,"European euro, daily average",1.4707
6375,2017-10-07,"European euro, daily average",0.0
6376,2017-10-08,"European euro, daily average",0.0
6378,2017-10-10,"European euro, daily average",1.4754
6379,2017-10-11,"European euro, daily average",1.4806
6380,2017-10-12,"European euro, daily average",1.477
6381,2017-10-13,"European euro, daily average",1.478
6382,2017-10-14,"European euro, daily average",0.0
6383,2017-10-15,"European euro, daily average",0.0
6384,2017-10-16,"European euro, daily average",1.4788
6385,2017-10-17,"European euro, daily average",1.4752
6386,2017-10-18,"European euro, daily average",1.4708
6387,2017-10-19,"European euro, daily average",1.4771
6388,2017-10-20,"European euro, daily average",1.4852
6389,2017-10-21,"European euro, daily average",0.0
6390,2017-10-22,"European euro, daily average",0.0
6391,2017-10-23,"European euro, daily average",1.485
6392,2017-10-24,"European euro, daily average",1.4901
6393,2017-10-25,"European euro, daily average",1.5073
6394,2017-10-26,"European euro, daily average",1.5009
6395,2017-10-27,"European euro, daily average",1.4925
6396,2017-10-28,"European euro, daily average",0.0
6397,2017-10-29,"European euro, daily average",0.0
6398,2017-10-30,"European euro, daily average",1.4926
6399,2017-10-31,"European euro, daily average",1.5014
6400,2017-11-01,"European euro, daily average",1.4978
6401,2017-11-02,"European euro, daily average",1.495
6402,2017-11-03,"European euro, daily average",1.4833
6403,2017-11-04,"European euro, daily average",0.0
6404,2017-11-05,"European euro, daily average",0.0
6405,2017-11-06,"European euro, daily average",1.4784
6406,2017-11-07,"European euro, daily average",1.4802
6407,2017-11-08,"European euro, daily average",1.4757
6408,2017-11-09,"European euro, daily average",1.4768
6409,2017-11-10,"European euro, daily average",1.4789
6410,2017-11-11,"European euro, daily average",0.0
6411,2017-11-12,"European euro, daily average",0.0
6413,2017-11-14,"European euro, daily average",1.499
6414,2017-11-15,"European euro, daily average",1.5082
6415,2017-11-16,"European euro, daily average",1.5002
6416,2017-11-17,"European euro, daily average",1.5077
6417,2017-11-18,"European euro, daily average",0.0
6418,2017-11-19,"European euro, daily average",0.0
6419,2017-11-20,"European euro, daily average",1.503
6420,2017-11-21,"European euro, daily average",1.4996
6421,2017-11-22,"European euro, daily average",1.5008
6422,2017-11-23,"European euro, daily average",1.5066
6423,2017-11-24,"European euro, daily average",1.515
6424,2017-11-25,"European euro, daily average",0.0
6425,2017-11-26,"European euro, daily average",0.0
6426,2017-11-27,"European euro, daily average",1.5179
6427,2017-11-28,"European euro, daily average",1.5202
6428,2017-11-29,"European euro, daily average",1.5231
6429,2017-11-30,"European euro, daily average",1.533
6430,2017-12-01,"European euro, daily average",1.5134
6431,2017-12-02,"European euro, daily average",0.0
6432,2017-12-03,"European euro, daily average",0.0
6433,2017-12-04,"European euro, daily average",1.5042
6434,2017-12-05,"European euro, daily average",1.4991
6435,2017-12-06,"European euro, daily average",1.5049
6436,2017-12-07,"European euro, daily average",1.5141
6437,2017-12-08,"European euro, daily average",1.5123
6438,2017-12-09,"European euro, daily average",0.0
6439,2017-12-10,"European euro, daily average",0.0
6440,2017-12-11,"European euro, daily average",1.5157
6441,2017-12-12,"European euro, daily average",1.5106
6442,2017-12-13,"European euro, daily average",1.5128
6443,2017-12-14,"European euro, daily average",1.5104
6444,2017-12-15,"European euro, daily average",1.5108
6445,2017-12-16,"European euro, daily average",0.0
6446,2017-12-17,"European euro, daily average",0.0
6447,2017-12-18,"European euro, daily average",1.5177
6448,2017-12-19,"European euro, daily average",1.5242
6449,2017-12-20,"European euro, daily average",1.5246
6450,2017-12-21,"European euro, daily average",1.5111
6451,2017-12-22,"European euro, daily average",1.5113
6452,2017-12-23,"European euro, daily average",0.0
6453,2017-12-24,"European euro, daily average",0.0
6456,2017-12-27,"European euro, daily average",1.5042
6457,2017-12-28,"European euro, daily average",1.5041
6458,2017-12-29,"European euro, daily average",1.5052
6459,2017-12-30,"European euro, daily average",0.0
6460,2017-12-31,"European euro, daily average",0.0
6462,2018-01-02,"European euro, daily average",1.5082
6463,2018-01-03,"European euro, daily average",1.5067
6464,2018-01-04,"European euro, daily average",1.5106
6465,2018-01-05,"European euro, daily average",1.4936
6466,2018-01-06,"European euro, daily average",0.0
6467,2018-01-07,"European euro, daily average",0.0
6468,2018-01-08,"European euro, daily average",1.4868
6469,2018-01-09,"European euro, daily average",1.4853
