,Date,Currency,Value
8130,2017-01-03,"Hong Kong dollar, daily average",0.173212
8131,2017-01-04,"Hong Kong dollar, daily average",0.171687
8132,2017-01-05,"Hong Kong dollar, daily average",0.170792
8133,2017-01-06,"Hong Kong dollar, daily average",0.170556
8134,2017-01-07,"Hong Kong dollar, daily average",0.0
8135,2017-01-08,"Hong Kong dollar, daily average",0.0
8136,2017-01-09,"Hong Kong dollar, daily average",0.170572
8137,2017-01-10,"Hong Kong dollar, daily average",0.170439
8138,2017-01-11,"Hong Kong dollar, daily average",0.170389
8139,2017-01-12,"Hong Kong dollar, daily average",0.16917
8140,2017-01-13,"Hong Kong dollar, daily average",0.169375
8141,2017-01-14,"Hong Kong dollar, daily average",0.0
8142,2017-01-15,"Hong Kong dollar, daily average",0.0
8143,2017-01-16,"Hong Kong dollar, daily average",0.169683
8144,2017-01-17,"Hong Kong dollar, daily average",0.168345
8145,2017-01-18,"Hong Kong dollar, daily average",0.169739
8146,2017-01-19,"Hong Kong dollar, daily average",0.171693
8147,2017-01-20,"Hong Kong dollar, daily average",0.171976
8148,2017-01-21,"Hong Kong dollar, daily average",0.0
8149,2017-01-22,"Hong Kong dollar, daily average",0.0
8150,2017-01-23,"Hong Kong dollar, daily average",0.171346
8151,2017-01-24,"Hong Kong dollar, daily average",0.169824
8152,2017-01-25,"Hong Kong dollar, daily average",0.16871
8153,2017-01-26,"Hong Kong dollar, daily average",0.168896
8154,2017-01-27,"Hong Kong dollar, daily average",0.169146
8155,2017-01-28,"Hong Kong dollar, daily average",0.0
8156,2017-01-29,"Hong Kong dollar, daily average",0.0
8157,2017-01-30,"Hong Kong dollar, daily average",0.169038
8158,2017-01-31,"Hong Kong dollar, daily average",0.167952
8159,2017-02-01,"Hong Kong dollar, daily average",0.168491
8160,2017-02-02,"Hong Kong dollar, daily average",0.167747
8161,2017-02-03,"Hong Kong dollar, daily average",0.167766
8162,2017-02-04,"Hong Kong dollar, daily average",0.0
8163,2017-02-05,"Hong Kong dollar, daily average",0.0
8164,2017-02-06,"Hong Kong dollar, daily average",0.168843
8165,2017-02-07,"Hong Kong dollar, daily average",0.169711
8166,2017-02-08,"Hong Kong dollar, daily average",0.169567
8167,2017-02-09,"Hong Kong dollar, daily average",0.169212
8168,2017-02-10,"Hong Kong dollar, daily average",0.168634
8169,2017-02-11,"Hong Kong dollar, daily average",0.0
8170,2017-02-12,"Hong Kong dollar, daily average",0.0
8171,2017-02-13,"Hong Kong dollar, daily average",0.1686
8172,2017-02-14,"Hong Kong dollar, daily average",0.16844
8173,2017-02-15,"Hong Kong dollar, daily average",0.16864
8174,2017-02-16,"Hong Kong dollar, daily average",0.168235
8175,2017-02-17,"Hong Kong dollar, daily average",0.168806
8176,2017-02-18,"Hong Kong dollar, daily average",0.0
8177,2017-02-19,"Hong Kong dollar, daily average",0.0
8179,2017-02-21,"Hong Kong dollar, daily average",0.169403
8180,2017-02-22,"Hong Kong dollar, daily average",0.169853
8181,2017-02-23,"Hong Kong dollar, daily average",0.168956
8182,2017-02-24,"Hong Kong dollar, daily average",0.168731
8183,2017-02-25,"Hong Kong dollar, daily average",0.0
8184,2017-02-26,"Hong Kong dollar, daily average",0.0
8185,2017-02-27,"Hong Kong dollar, daily average",0.169032
8186,2017-02-28,"Hong Kong dollar, daily average",0.170678
8187,2017-03-01,"Hong Kong dollar, daily average",0.171816
8188,2017-03-02,"Hong Kong dollar, daily average",0.172446
8189,2017-03-03,"Hong Kong dollar, daily average",0.172656
8190,2017-03-04,"Hong Kong dollar, daily average",0.0
8191,2017-03-05,"Hong Kong dollar, daily average",0.0
8192,2017-03-06,"Hong Kong dollar, daily average",0.172648
8193,2017-03-07,"Hong Kong dollar, daily average",0.172799
8194,2017-03-08,"Hong Kong dollar, daily average",0.173491
8195,2017-03-09,"Hong Kong dollar, daily average",0.174008
8196,2017-03-10,"Hong Kong dollar, daily average",0.173389
8197,2017-03-11,"Hong Kong dollar, daily average",0.0
8198,2017-03-12,"Hong Kong dollar, daily average",0.0
8199,2017-03-13,"Hong Kong dollar, daily average",0.17317
8200,2017-03-14,"Hong Kong dollar, daily average",0.173576
8201,2017-03-15,"Hong Kong dollar, daily average",0.172851
8202,2017-03-16,"Hong Kong dollar, daily average",0.171575
8203,2017-03-17,"Hong Kong dollar, daily average",0.171835
8204,2017-03-18,"Hong Kong dollar, daily average",0.0
8205,2017-03-19,"Hong Kong dollar, daily average",0.0
8206,2017-03-20,"Hong Kong dollar, daily average",0.172012
8207,2017-03-21,"Hong Kong dollar, daily average",0.171483
8208,2017-03-22,"Hong Kong dollar, daily average",0.172016
8209,2017-03-23,"Hong Kong dollar, daily average",0.171692
8210,2017-03-24,"Hong Kong dollar, daily average",0.172183
8211,2017-03-25,"Hong Kong dollar, daily average",0.0
8212,2017-03-26,"Hong Kong dollar, daily average",0.0
8213,2017-03-27,"Hong Kong dollar, daily average",0.172174
8214,2017-03-28,"Hong Kong dollar, daily average",0.17218
8215,2017-03-29,"Hong Kong dollar, daily average",0.17201
8216,2017-03-30,"Hong Kong dollar, daily average",0.1712
8217,2017-03-31,"Hong Kong dollar, daily average",0.171268
8218,2017-04-01,"Hong Kong dollar, daily average",0.0
