,Date,Currency,Value
10162,2017-01-03,"Indian rupee, daily average",0.01965
10163,2017-01-04,"Indian rupee, daily average",0.01959
10164,2017-01-05,"Indian rupee, daily average",0.01954
10165,2017-01-06,"Indian rupee, daily average",0.01942
10166,2017-01-07,"Indian rupee, daily average",0.0
10167,2017-01-08,"Indian rupee, daily average",0.0
10168,2017-01-09,"Indian rupee, daily average",0.01942
10169,2017-01-10,"Indian rupee, daily average",0.01936
10170,2017-01-11,"Indian rupee, daily average",0.01934
10171,2017-01-12,"Indian rupee, daily average",0.01928
10172,2017-01-13,"Indian rupee, daily average",0.01927
10173,2017-01-14,"Indian rupee, daily average",0.0
10174,2017-01-15,"Indian rupee, daily average",0.0
10175,2017-01-16,"Indian rupee, daily average",0.01932
10176,2017-01-17,"Indian rupee, daily average",0.01922
10177,2017-01-18,"Indian rupee, daily average",0.01932
10178,2017-01-19,"Indian rupee, daily average",0.01955
10179,2017-01-20,"Indian rupee, daily average",0.01959
10180,2017-01-21,"Indian rupee, daily average",0.0
10181,2017-01-22,"Indian rupee, daily average",0.0
10182,2017-01-23,"Indian rupee, daily average",0.01951
10183,2017-01-24,"Indian rupee, daily average",0.01934
10184,2017-01-25,"Indian rupee, daily average",0.01923
10185,2017-01-26,"Indian rupee, daily average",0.01923
10186,2017-01-27,"Indian rupee, daily average",0.01928
10187,2017-01-28,"Indian rupee, daily average",0.0
10188,2017-01-29,"Indian rupee, daily average",0.0
10189,2017-01-30,"Indian rupee, daily average",0.01933
10190,2017-01-31,"Indian rupee, daily average",0.01929
10191,2017-02-01,"Indian rupee, daily average",0.01939
10192,2017-02-02,"Indian rupee, daily average",0.01937
10193,2017-02-03,"Indian rupee, daily average",0.01937
10194,2017-02-04,"Indian rupee, daily average",0.0
10195,2017-02-05,"Indian rupee, daily average",0.0
10196,2017-02-06,"Indian rupee, daily average",0.01949
10197,2017-02-07,"Indian rupee, daily average",0.01955
10198,2017-02-08,"Indian rupee, daily average",0.01962
10199,2017-02-09,"Indian rupee, daily average",0.01967
10200,2017-02-10,"Indian rupee, daily average",0.01957
10201,2017-02-11,"Indian rupee, daily average",0.0
10202,2017-02-12,"Indian rupee, daily average",0.0
10203,2017-02-13,"Indian rupee, daily average",0.01953
10204,2017-02-14,"Indian rupee, daily average",0.01955
10205,2017-02-15,"Indian rupee, daily average",0.01957
10206,2017-02-16,"Indian rupee, daily average",0.01947
10207,2017-02-17,"Indian rupee, daily average",0.01953
10208,2017-02-18,"Indian rupee, daily average",0.0
10209,2017-02-19,"Indian rupee, daily average",0.0
10211,2017-02-21,"Indian rupee, daily average",0.01963
10212,2017-02-22,"Indian rupee, daily average",0.01968
10213,2017-02-23,"Indian rupee, daily average",0.01966
10214,2017-02-24,"Indian rupee, daily average",0.01964
10215,2017-02-25,"Indian rupee, daily average",0.0
10216,2017-02-26,"Indian rupee, daily average",0.0
10217,2017-02-27,"Indian rupee, daily average",0.01967
10218,2017-02-28,"Indian rupee, daily average",0.01987
10219,2017-03-01,"Indian rupee, daily average",0.01995
10220,2017-03-02,"Indian rupee, daily average",0.02004
10221,2017-03-03,"Indian rupee, daily average",0.02007
10222,2017-03-04,"Indian rupee, daily average",0.0
10223,2017-03-05,"Indian rupee, daily average",0.0
10224,2017-03-06,"Indian rupee, daily average",0.02011
10225,2017-03-07,"Indian rupee, daily average",0.02014
10226,2017-03-08,"Indian rupee, daily average",0.02018
10227,2017-03-09,"Indian rupee, daily average",0.02027
10228,2017-03-10,"Indian rupee, daily average",0.02022
10229,2017-03-11,"Indian rupee, daily average",0.0
10230,2017-03-12,"Indian rupee, daily average",0.0
10231,2017-03-13,"Indian rupee, daily average",0.02032
10232,2017-03-14,"Indian rupee, daily average",0.0205
10233,2017-03-15,"Indian rupee, daily average",0.02046
10234,2017-03-16,"Indian rupee, daily average",0.02037
10235,2017-03-17,"Indian rupee, daily average",0.02038
10236,2017-03-18,"Indian rupee, daily average",0.0
10237,2017-03-19,"Indian rupee, daily average",0.0
10238,2017-03-20,"Indian rupee, daily average",0.02044
10239,2017-03-21,"Indian rupee, daily average",0.02039
10240,2017-03-22,"Indian rupee, daily average",0.02041
10241,2017-03-23,"Indian rupee, daily average",0.02037
10242,2017-03-24,"Indian rupee, daily average",0.02045
10243,2017-03-25,"Indian rupee, daily average",0.0
10244,2017-03-26,"Indian rupee, daily average",0.0
10245,2017-03-27,"Indian rupee, daily average",0.02057
10246,2017-03-28,"Indian rupee, daily average",0.02056
10247,2017-03-29,"Indian rupee, daily average",0.0206
10248,2017-03-30,"Indian rupee, daily average",0.02051
10249,2017-03-31,"Indian rupee, daily average",0.02052
10250,2017-04-01,"Indian rupee, daily average",0.0
10251,2017-04-02,"Indian rupee, daily average",0.0
10252,2017-04-03,"Indian rupee, daily average",0.02059
10253,2017-04-04,"Indian rupee, daily average",0.02063
10254,2017-04-05,"Indian rupee, daily average",0.02067
10255,2017-04-06,"Indian rupee, daily average",0.02078
10256,2017-04-07,"Indian rupee, daily average",0.02084
10257,2017-04-08,"Indian rupee, daily average",0.0
10258,2017-04-09,"Indian rupee, daily average",0.0
10259,2017-04-10,"Indian rupee, daily average",0.02067
10260,2017-04-11,"Indian rupee, daily average",0.02066
10261,2017-04-12,"Indian rupee, daily average",0.02056
10262,2017-04-13,"Indian rupee, daily average",0.0206
10264,2017-04-15,"Indian rupee, daily average",0.0
10265,2017-04-16,"Indian rupee, daily average",0.0
10266,2017-04-17,"Indian rupee, daily average",0.02059
10267,2017-04-18,"Indian rupee, daily average",0.02071
10268,2017-04-19,"Indian rupee, daily average",0.02083
10269,2017-04-20,"Indian rupee, daily average",0.02086
10270,2017-04-21,"Indian rupee, daily average",0.02089
10271,2017-04-22,"Indian rupee, daily average",0.0
10272,2017-04-23,"Indian rupee, daily average",0.0
10273,2017-04-24,"Indian rupee, daily average",0.02092
10274,2017-04-25,"Indian rupee, daily average",0.02113
10275,2017-04-26,"Indian rupee, daily average",0.0212
10276,2017-04-27,"Indian rupee, daily average",0.02125
10277,2017-04-28,"Indian rupee, daily average",0.02125
10278,2017-04-29,"Indian rupee, daily average",0.0
10279,2017-04-30,"Indian rupee, daily average",0.0
10280,2017-05-01,"Indian rupee, daily average",0.02125
10281,2017-05-02,"Indian rupee, daily average",0.02138
10282,2017-05-03,"Indian rupee, daily average",0.02137
10283,2017-05-04,"Indian rupee, daily average",0.0214
10284,2017-05-05,"Indian rupee, daily average",0.02132
10285,2017-05-06,"Indian rupee, daily average",0.0
10286,2017-05-07,"Indian rupee, daily average",0.0
10287,2017-05-08,"Indian rupee, daily average",0.0213
10288,2017-05-09,"Indian rupee, daily average",0.02123
10289,2017-05-10,"Indian rupee, daily average",0.02118
10290,2017-05-11,"Indian rupee, daily average",0.02128
10291,2017-05-12,"Indian rupee, daily average",0.02135
10292,2017-05-13,"Indian rupee, daily average",0.0
10293,2017-05-14,"Indian rupee, daily average",0.0
10294,2017-05-15,"Indian rupee, daily average",0.0213
10295,2017-05-16,"Indian rupee, daily average",0.02123
10296,2017-05-17,"Indian rupee, daily average",0.02123
10297,2017-05-18,"Indian rupee, daily average",0.02098
10298,2017-05-19,"Indian rupee, daily average",0.02098
10299,2017-05-20,"Indian rupee, daily average",0.0
10300,2017-05-21,"Indian rupee, daily average",0.0
10302,2017-05-23,"Indian rupee, daily average",0.0208
10303,2017-05-24,"Indian rupee, daily average",0.02079
10304,2017-05-25,"Indian rupee, daily average",0.02084
10305,2017-05-26,"Indian rupee, daily average",0.02086
10306,2017-05-27,"Indian rupee, daily average",0.0
10307,2017-05-28,"Indian rupee, daily average",0.0
10308,2017-05-29,"Indian rupee, daily average",0.02083
10309,2017-05-30,"Indian rupee, daily average",0.02083
10310,2017-05-31,"Indian rupee, daily average",0.02093
10311,2017-06-01,"Indian rupee, daily average",0.02095
10312,2017-06-02,"Indian rupee, daily average",0.02096
10313,2017-06-03,"Indian rupee, daily average",0.0
10314,2017-06-04,"Indian rupee, daily average",0.0
10315,2017-06-05,"Indian rupee, daily average",0.02095
10316,2017-06-06,"Indian rupee, daily average",0.02089
10317,2017-06-07,"Indian rupee, daily average",0.02095
10318,2017-06-08,"Indian rupee, daily average",0.02102
10319,2017-06-09,"Indian rupee, daily average",0.02094
