,Date,Currency,Value
12194,2017-01-03,"Indonesian rupiah, daily average",0.0001
12195,2017-01-04,"Indonesian rupiah, daily average",9.9e-05
12196,2017-01-05,"Indonesian rupiah, daily average",9.9e-05
12197,2017-01-06,"Indonesian rupiah, daily average",9.9e-05
12198,2017-01-07,"Indonesian rupiah, daily average",0.0
12199,2017-01-08,"Indonesian rupiah, daily average",0.0
12200,2017-01-09,"Indonesian rupiah, daily average",9.9e-05
12201,2017-01-10,"Indonesian rupiah, daily average",9.9e-05
12202,2017-01-11,"Indonesian rupiah, daily average",9.9e-05
12203,2017-01-12,"Indonesian rupiah, daily average",9.9e-05
12204,2017-01-13,"Indonesian rupiah, daily average",9.9e-05
12205,2017-01-14,"Indonesian rupiah, daily average",0.0
12206,2017-01-15,"Indonesian rupiah, daily average",0.0
12207,2017-01-16,"Indonesian rupiah, daily average",9.8e-05
12208,2017-01-17,"Indonesian rupiah, daily average",9.8e-05
12209,2017-01-18,"Indonesian rupiah, daily average",9.9e-05
12210,2017-01-19,"Indonesian rupiah, daily average",0.0001
12211,2017-01-20,"Indonesian rupiah, daily average",9.9e-05
12212,2017-01-21,"Indonesian rupiah, daily average",0.0
12213,2017-01-22,"Indonesian rupiah, daily average",0.0
12214,2017-01-23,"Indonesian rupiah, daily average",9.9e-05
12215,2017-01-24,"Indonesian rupiah, daily average",9.9e-05
12216,2017-01-25,"Indonesian rupiah, daily average",9.8e-05
12217,2017-01-26,"Indonesian rupiah, daily average",9.8e-05
12218,2017-01-27,"Indonesian rupiah, daily average",9.8e-05
12219,2017-01-28,"Indonesian rupiah, daily average",0.0
12220,2017-01-29,"Indonesian rupiah, daily average",0.0
12221,2017-01-30,"Indonesian rupiah, daily average",9.8e-05
12222,2017-01-31,"Indonesian rupiah, daily average",9.8e-05
12223,2017-02-01,"Indonesian rupiah, daily average",9.8e-05
12224,2017-02-02,"Indonesian rupiah, daily average",9.7e-05
12225,2017-02-03,"Indonesian rupiah, daily average",9.8e-05
12226,2017-02-04,"Indonesian rupiah, daily average",0.0
12227,2017-02-05,"Indonesian rupiah, daily average",0.0
12228,2017-02-06,"Indonesian rupiah, daily average",9.8e-05
12229,2017-02-07,"Indonesian rupiah, daily average",9.9e-05
12230,2017-02-08,"Indonesian rupiah, daily average",9.9e-05
12231,2017-02-09,"Indonesian rupiah, daily average",9.9e-05
12232,2017-02-10,"Indonesian rupiah, daily average",9.8e-05
12233,2017-02-11,"Indonesian rupiah, daily average",0.0
12234,2017-02-12,"Indonesian rupiah, daily average",0.0
12235,2017-02-13,"Indonesian rupiah, daily average",9.8e-05
12236,2017-02-14,"Indonesian rupiah, daily average",9.8e-05
12237,2017-02-15,"Indonesian rupiah, daily average",9.8e-05
12238,2017-02-16,"Indonesian rupiah, daily average",9.8e-05
12239,2017-02-17,"Indonesian rupiah, daily average",9.8e-05
12240,2017-02-18,"Indonesian rupiah, daily average",0.0
12241,2017-02-19,"Indonesian rupiah, daily average",0.0
12243,2017-02-21,"Indonesian rupiah, daily average",9.8e-05
12244,2017-02-22,"Indonesian rupiah, daily average",9.9e-05
12245,2017-02-23,"Indonesian rupiah, daily average",9.8e-05
12246,2017-02-24,"Indonesian rupiah, daily average",9.8e-05
12247,2017-02-25,"Indonesian rupiah, daily average",0.0
12248,2017-02-26,"Indonesian rupiah, daily average",0.0
12249,2017-02-27,"Indonesian rupiah, daily average",9.8e-05
12250,2017-02-28,"Indonesian rupiah, daily average",9.9e-05
12251,2017-03-01,"Indonesian rupiah, daily average",0.0001
12252,2017-03-02,"Indonesian rupiah, daily average",0.0001
12253,2017-03-03,"Indonesian rupiah, daily average",0.0001
12254,2017-03-04,"Indonesian rupiah, daily average",0.0
12255,2017-03-05,"Indonesian rupiah, daily average",0.0
12256,2017-03-06,"Indonesian rupiah, daily average",0.0001
12257,2017-03-07,"Indonesian rupiah, daily average",0.000101
12258,2017-03-08,"Indonesian rupiah, daily average",0.000101
12259,2017-03-09,"Indonesian rupiah, daily average",0.000101
12260,2017-03-10,"Indonesian rupiah, daily average",0.000101
12261,2017-03-11,"Indonesian rupiah, daily average",0.0
12262,2017-03-12,"Indonesian rupiah, daily average",0.0
12263,2017-03-13,"Indonesian rupiah, daily average",0.000101
12264,2017-03-14,"Indonesian rupiah, daily average",0.000101
12265,2017-03-15,"Indonesian rupiah, daily average",0.0001
12266,2017-03-16,"Indonesian rupiah, daily average",0.0001
12267,2017-03-17,"Indonesian rupiah, daily average",0.0001
12268,2017-03-18,"Indonesian rupiah, daily average",0.0
12269,2017-03-19,"Indonesian rupiah, daily average",0.0
12270,2017-03-20,"Indonesian rupiah, daily average",0.0001
12271,2017-03-21,"Indonesian rupiah, daily average",0.0001
12272,2017-03-22,"Indonesian rupiah, daily average",0.0001
12273,2017-03-23,"Indonesian rupiah, daily average",0.0001
12274,2017-03-24,"Indonesian rupiah, daily average",0.0001
12275,2017-03-25,"Indonesian rupiah, daily average",0.0
12276,2017-03-26,"Indonesian rupiah, daily average",0.0
12277,2017-03-27,"Indonesian rupiah, daily average",0.0001
12278,2017-03-28,"Indonesian rupiah, daily average",0.0001
12279,2017-03-29,"Indonesian rupiah, daily average",0.0001
12280,2017-03-30,"Indonesian rupiah, daily average",0.0001
12281,2017-03-31,"Indonesian rupiah, daily average",0.0001
12282,2017-04-01,"Indonesian rupiah, daily average",0.0
12283,2017-04-02,"Indonesian rupiah, daily average",0.0
12284,2017-04-03,"Indonesian rupiah, daily average",0.0001
12285,2017-04-04,"Indonesian rupiah, daily average",0.000101
12286,2017-04-05,"Indonesian rupiah, daily average",0.000101
12287,2017-04-06,"Indonesian rupiah, daily average",0.000101
12288,2017-04-07,"Indonesian rupiah, daily average",0.000101
12289,2017-04-08,"Indonesian rupiah, daily average",0.0
12290,2017-04-09,"Indonesian rupiah, daily average",0.0
12291,2017-04-10,"Indonesian rupiah, daily average",0.0001
12292,2017-04-11,"Indonesian rupiah, daily average",0.0001
12293,2017-04-12,"Indonesian rupiah, daily average",0.0001
12294,2017-04-13,"Indonesian rupiah, daily average",0.0001
12296,2017-04-15,"Indonesian rupiah, daily average",0.0
12297,2017-04-16,"Indonesian rupiah, daily average",0.0
12298,2017-04-17,"Indonesian rupiah, daily average",0.0001
12299,2017-04-18,"Indonesian rupiah, daily average",0.000101
12300,2017-04-19,"Indonesian rupiah, daily average",0.000101
12301,2017-04-20,"Indonesian rupiah, daily average",0.000101
12302,2017-04-21,"Indonesian rupiah, daily average",0.000101
12303,2017-04-22,"Indonesian rupiah, daily average",0.0
12304,2017-04-23,"Indonesian rupiah, daily average",0.0
12305,2017-04-24,"Indonesian rupiah, daily average",0.000101
12306,2017-04-25,"Indonesian rupiah, daily average",0.000102
12307,2017-04-26,"Indonesian rupiah, daily average",0.000102
12308,2017-04-27,"Indonesian rupiah, daily average",0.000102
12309,2017-04-28,"Indonesian rupiah, daily average",0.000102
12310,2017-04-29,"Indonesian rupiah, daily average",0.0
12311,2017-04-30,"Indonesian rupiah, daily average",0.0
12312,2017-05-01,"Indonesian rupiah, daily average",0.000102
12313,2017-05-02,"Indonesian rupiah, daily average",0.000103
12314,2017-05-03,"Indonesian rupiah, daily average",0.000103
12315,2017-05-04,"Indonesian rupiah, daily average",0.000103
12316,2017-05-05,"Indonesian rupiah, daily average",0.000103
12317,2017-05-06,"Indonesian rupiah, daily average",0.0
12318,2017-05-07,"Indonesian rupiah, daily average",0.0
12319,2017-05-08,"Indonesian rupiah, daily average",0.000103
12320,2017-05-09,"Indonesian rupiah, daily average",0.000103
12321,2017-05-10,"Indonesian rupiah, daily average",0.000102
12322,2017-05-11,"Indonesian rupiah, daily average",0.000103
12323,2017-05-12,"Indonesian rupiah, daily average",0.000103
12324,2017-05-13,"Indonesian rupiah, daily average",0.0
12325,2017-05-14,"Indonesian rupiah, daily average",0.0
12326,2017-05-15,"Indonesian rupiah, daily average",0.000103
12327,2017-05-16,"Indonesian rupiah, daily average",0.000102
12328,2017-05-17,"Indonesian rupiah, daily average",0.000102
12329,2017-05-18,"Indonesian rupiah, daily average",0.000102
12330,2017-05-19,"Indonesian rupiah, daily average",0.000102
12331,2017-05-20,"Indonesian rupiah, daily average",0.0
12332,2017-05-21,"Indonesian rupiah, daily average",0.0
12334,2017-05-23,"Indonesian rupiah, daily average",0.000101
12335,2017-05-24,"Indonesian rupiah, daily average",0.000101
12336,2017-05-25,"Indonesian rupiah, daily average",0.000101
12337,2017-05-26,"Indonesian rupiah, daily average",0.000101
12338,2017-05-27,"Indonesian rupiah, daily average",0.0
12339,2017-05-28,"Indonesian rupiah, daily average",0.0
12340,2017-05-29,"Indonesian rupiah, daily average",0.000101
12341,2017-05-30,"Indonesian rupiah, daily average",0.000101
12342,2017-05-31,"Indonesian rupiah, daily average",0.000101
12343,2017-06-01,"Indonesian rupiah, daily average",0.000101
12344,2017-06-02,"Indonesian rupiah, daily average",0.000101
12345,2017-06-03,"Indonesian rupiah, daily average",0.0
12346,2017-06-04,"Indonesian rupiah, daily average",0.0
12347,2017-06-05,"Indonesian rupiah, daily average",0.000101
12348,2017-06-06,"Indonesian rupiah, daily average",0.000101
12349,2017-06-07,"Indonesian rupiah, daily average",0.000101
12350,2017-06-08,"Indonesian rupiah, daily average",0.000102
12351,2017-06-09,"Indonesian rupiah, daily average",0.000101
12352,2017-06-10,"Indonesian rupiah, daily average",0.0
12353,2017-06-11,"Indonesian rupiah, daily average",0.0
12354,2017-06-12,"Indonesian rupiah, daily average",0.000101
12355,2017-06-13,"Indonesian rupiah, daily average",0.0001
12356,2017-06-14,"Indonesian rupiah, daily average",9.9e-05
12357,2017-06-15,"Indonesian rupiah, daily average",0.0001
12358,2017-06-16,"Indonesian rupiah, daily average",0.0001
12359,2017-06-17,"Indonesian rupiah, daily average",0.0
12360,2017-06-18,"Indonesian rupiah, daily average",0.0
12361,2017-06-19,"Indonesian rupiah, daily average",9.9e-05
12362,2017-06-20,"Indonesian rupiah, daily average",0.0001
12363,2017-06-21,"Indonesian rupiah, daily average",0.0001
12364,2017-06-22,"Indonesian rupiah, daily average",9.9e-05
12365,2017-06-23,"Indonesian rupiah, daily average",0.0001
12366,2017-06-24,"Indonesian rupiah, daily average",0.0
12367,2017-06-25,"Indonesian rupiah, daily average",0.0
12368,2017-06-26,"Indonesian rupiah, daily average",9.9e-05
12369,2017-06-27,"Indonesian rupiah, daily average",9.9e-05
12370,2017-06-28,"Indonesian rupiah, daily average",9.8e-05
12371,2017-06-29,"Indonesian rupiah, daily average",9.8e-05
12372,2017-06-30,"Indonesian rupiah, daily average",9.7e-05
12373,2017-07-01,"Indonesian rupiah, daily average",0.0
12374,2017-07-02,"Indonesian rupiah, daily average",0.0
12376,2017-07-04,"Indonesian rupiah, daily average",9.7e-05
12377,2017-07-05,"Indonesian rupiah, daily average",9.7e-05
12378,2017-07-06,"Indonesian rupiah, daily average",9.7e-05
12379,2017-07-07,"Indonesian rupiah, daily average",9.6e-05
12380,2017-07-08,"Indonesian rupiah, daily average",0.0
12381,2017-07-09,"Indonesian rupiah, daily average",0.0
12382,2017-07-10,"Indonesian rupiah, daily average",9.6e-05
12383,2017-07-11,"Indonesian rupiah, daily average",9.6e-05
12384,2017-07-12,"Indonesian rupiah, daily average",9.6e-05
12385,2017-07-13,"Indonesian rupiah, daily average",9.5e-05
12386,2017-07-14,"Indonesian rupiah, daily average",9.5e-05
12387,2017-07-15,"Indonesian rupiah, daily average",0.0
12388,2017-07-16,"Indonesian rupiah, daily average",0.0
12389,2017-07-17,"Indonesian rupiah, daily average",9.5e-05
12390,2017-07-18,"Indonesian rupiah, daily average",9.5e-05
12391,2017-07-19,"Indonesian rupiah, daily average",9.5e-05
12392,2017-07-20,"Indonesian rupiah, daily average",9.4e-05
