,Date,Currency,Value
14226,2017-01-03,"Japanese yen, daily average",0.0114
14227,2017-01-04,"Japanese yen, daily average",0.01134
14228,2017-01-05,"Japanese yen, daily average",0.01145
14229,2017-01-06,"Japanese yen, daily average",0.01133
14230,2017-01-07,"Japanese yen, daily average",0.0
14231,2017-01-08,"Japanese yen, daily average",0.0
14232,2017-01-09,"Japanese yen, daily average",0.01138
14233,2017-01-10,"Japanese yen, daily average",0.01141
14234,2017-01-11,"Japanese yen, daily average",0.0114
14235,2017-01-12,"Japanese yen, daily average",0.01148
14236,2017-01-13,"Japanese yen, daily average",0.01144
14237,2017-01-14,"Japanese yen, daily average",0.0
14238,2017-01-15,"Japanese yen, daily average",0.0
14239,2017-01-16,"Japanese yen, daily average",0.01153
14240,2017-01-17,"Japanese yen, daily average",0.01156
14241,2017-01-18,"Japanese yen, daily average",0.0116
14242,2017-01-19,"Japanese yen, daily average",0.01157
14243,2017-01-20,"Japanese yen, daily average",0.01162
14244,2017-01-21,"Japanese yen, daily average",0.0
14245,2017-01-22,"Japanese yen, daily average",0.0
14246,2017-01-23,"Japanese yen, daily average",0.01174
14247,2017-01-24,"Japanese yen, daily average",0.01161
14248,2017-01-25,"Japanese yen, daily average",0.01152
14249,2017-01-26,"Japanese yen, daily average",0.01145
14250,2017-01-27,"Japanese yen, daily average",0.0114
14251,2017-01-28,"Japanese yen, daily average",0.0
14252,2017-01-29,"Japanese yen, daily average",0.0
14253,2017-01-30,"Japanese yen, daily average",0.01151
14254,2017-01-31,"Japanese yen, daily average",0.01155
14255,2017-02-01,"Japanese yen, daily average",0.01153
14256,2017-02-02,"Japanese yen, daily average",0.01156
14257,2017-02-03,"Japanese yen, daily average",0.01155
14258,2017-02-04,"Japanese yen, daily average",0.0
14259,2017-02-05,"Japanese yen, daily average",0.0
14260,2017-02-06,"Japanese yen, daily average",0.01168
14261,2017-02-07,"Japanese yen, daily average",0.01173
14262,2017-02-08,"Japanese yen, daily average",0.01175
14263,2017-02-09,"Japanese yen, daily average",0.01162
14264,2017-02-10,"Japanese yen, daily average",0.01153
14265,2017-02-11,"Japanese yen, daily average",0.0
14266,2017-02-12,"Japanese yen, daily average",0.0
14267,2017-02-13,"Japanese yen, daily average",0.0115
14268,2017-02-14,"Japanese yen, daily average",0.01146
14269,2017-02-15,"Japanese yen, daily average",0.01144
14270,2017-02-16,"Japanese yen, daily average",0.01151
14271,2017-02-17,"Japanese yen, daily average",0.01161
14272,2017-02-18,"Japanese yen, daily average",0.0
14273,2017-02-19,"Japanese yen, daily average",0.0
14275,2017-02-21,"Japanese yen, daily average",0.01158
14276,2017-02-22,"Japanese yen, daily average",0.01164
14277,2017-02-23,"Japanese yen, daily average",0.01163
14278,2017-02-24,"Japanese yen, daily average",0.01167
14279,2017-02-25,"Japanese yen, daily average",0.0
14280,2017-02-26,"Japanese yen, daily average",0.0
14281,2017-02-27,"Japanese yen, daily average",0.01167
