,Date,Currency,Value
16258,2017-01-03,"Malaysian ringgit, daily average",0.2991
16259,2017-01-04,"Malaysian ringgit, daily average",0.2961
16260,2017-01-05,"Malaysian ringgit, daily average",0.2953
16261,2017-01-06,"Malaysian ringgit, daily average",0.2957
16262,2017-01-07,"Malaysian ringgit, daily average",0.0
16263,2017-01-08,"Malaysian ringgit, daily average",0.0
16264,2017-01-09,"Malaysian ringgit, daily average",0.2955
16265,2017-01-10,"Malaysian ringgit, daily average",0.2954
16266,2017-01-11,"Malaysian ringgit, daily average",0.2955
16267,2017-01-12,"Malaysian ringgit, daily average",0.2943
16268,2017-01-13,"Malaysian ringgit, daily average",0.2944
16269,2017-01-14,"Malaysian ringgit, daily average",0.0
16270,2017-01-15,"Malaysian ringgit, daily average",0.0
16271,2017-01-16,"Malaysian ringgit, daily average",0.2947
16272,2017-01-17,"Malaysian ringgit, daily average",0.2926
16273,2017-01-18,"Malaysian ringgit, daily average",0.2962
16274,2017-01-19,"Malaysian ringgit, daily average",0.2994
16275,2017-01-20,"Malaysian ringgit, daily average",0.3001
16276,2017-01-21,"Malaysian ringgit, daily average",0.0
16277,2017-01-22,"Malaysian ringgit, daily average",0.0
16278,2017-01-23,"Malaysian ringgit, daily average",0.2995
16279,2017-01-24,"Malaysian ringgit, daily average",0.297
16280,2017-01-25,"Malaysian ringgit, daily average",0.2949
16281,2017-01-26,"Malaysian ringgit, daily average",0.2958
16282,2017-01-27,"Malaysian ringgit, daily average",0.2961
16283,2017-01-28,"Malaysian ringgit, daily average",0.0
16284,2017-01-29,"Malaysian ringgit, daily average",0.0
16285,2017-01-30,"Malaysian ringgit, daily average",0.2959
16286,2017-01-31,"Malaysian ringgit, daily average",0.2942
16287,2017-02-01,"Malaysian ringgit, daily average",0.2952
16288,2017-02-02,"Malaysian ringgit, daily average",0.2942
16289,2017-02-03,"Malaysian ringgit, daily average",0.294
16290,2017-02-04,"Malaysian ringgit, daily average",0.0
16291,2017-02-05,"Malaysian ringgit, daily average",0.0
16292,2017-02-06,"Malaysian ringgit, daily average",0.2958
16293,2017-02-07,"Malaysian ringgit, daily average",0.2968
16294,2017-02-08,"Malaysian ringgit, daily average",0.2964
16295,2017-02-09,"Malaysian ringgit, daily average",0.2957
16296,2017-02-10,"Malaysian ringgit, daily average",0.2944
