,Date,Currency,Value
17353,2017-01-03,"Mexican peso, daily average",0.06439
17354,2017-01-04,"Mexican peso, daily average",0.06242
17355,2017-01-05,"Mexican peso, daily average",0.06195
17356,2017-01-06,"Mexican peso, daily average",0.06213
17357,2017-01-07,"Mexican peso, daily average",0.0
17358,2017-01-08,"Mexican peso, daily average",0.0
17359,2017-01-09,"Mexican peso, daily average",0.06202
17360,2017-01-10,"Mexican peso, daily average",0.06113
17361,2017-01-11,"Mexican peso, daily average",0.0604
17362,2017-01-12,"Mexican peso, daily average",0.06041
17363,2017-01-13,"Mexican peso, daily average",0.06075
17364,2017-01-14,"Mexican peso, daily average",0.0
17365,2017-01-15,"Mexican peso, daily average",0.0
17366,2017-01-16,"Mexican peso, daily average",0.06075
17367,2017-01-17,"Mexican peso, daily average",0.06055
17368,2017-01-18,"Mexican peso, daily average",0.06033
17369,2017-01-19,"Mexican peso, daily average",0.06075
17370,2017-01-20,"Mexican peso, daily average",0.06147
17371,2017-01-21,"Mexican peso, daily average",0.0
17372,2017-01-22,"Mexican peso, daily average",0.0
17373,2017-01-23,"Mexican peso, daily average",0.06202
17374,2017-01-24,"Mexican peso, daily average",0.06163
17375,2017-01-25,"Mexican peso, daily average",0.06138
17376,2017-01-26,"Mexican peso, daily average",0.0619
17377,2017-01-27,"Mexican peso, daily average",0.06251
17378,2017-01-28,"Mexican peso, daily average",0.0
17379,2017-01-29,"Mexican peso, daily average",0.0
17380,2017-01-30,"Mexican peso, daily average",0.06318
17381,2017-01-31,"Mexican peso, daily average",0.06266
17382,2017-02-01,"Mexican peso, daily average",0.06295
17383,2017-02-02,"Mexican peso, daily average",0.06336
17384,2017-02-03,"Mexican peso, daily average",0.06386
17385,2017-02-04,"Mexican peso, daily average",0.0
17386,2017-02-05,"Mexican peso, daily average",0.0
17387,2017-02-06,"Mexican peso, daily average",0.06378
17388,2017-02-07,"Mexican peso, daily average",0.06385
17389,2017-02-08,"Mexican peso, daily average",0.06415
17390,2017-02-09,"Mexican peso, daily average",0.06431
17391,2017-02-10,"Mexican peso, daily average",0.06435
17392,2017-02-11,"Mexican peso, daily average",0.0
17393,2017-02-12,"Mexican peso, daily average",0.0
17394,2017-02-13,"Mexican peso, daily average",0.06437
17395,2017-02-14,"Mexican peso, daily average",0.06438
17396,2017-02-15,"Mexican peso, daily average",0.06443
17397,2017-02-16,"Mexican peso, daily average",0.06423
17398,2017-02-17,"Mexican peso, daily average",0.06407
17399,2017-02-18,"Mexican peso, daily average",0.0
17400,2017-02-19,"Mexican peso, daily average",0.0
17402,2017-02-21,"Mexican peso, daily average",0.06463
17403,2017-02-22,"Mexican peso, daily average",0.06609
