,Date,Currency,Value
19385,2017-01-03,"New Zealand dollar, daily average",0.9295
19386,2017-01-04,"New Zealand dollar, daily average",0.9251
19387,2017-01-05,"New Zealand dollar, daily average",0.9285
19388,2017-01-06,"New Zealand dollar, daily average",0.923
19389,2017-01-07,"New Zealand dollar, daily average",0.0
19390,2017-01-08,"New Zealand dollar, daily average",0.0
19391,2017-01-09,"New Zealand dollar, daily average",0.9276
19392,2017-01-10,"New Zealand dollar, daily average",0.9236
19393,2017-01-11,"New Zealand dollar, daily average",0.9274
19394,2017-01-12,"New Zealand dollar, daily average",0.9348
19395,2017-01-13,"New Zealand dollar, daily average",0.9339
19396,2017-01-14,"New Zealand dollar, daily average",0.0
19397,2017-01-15,"New Zealand dollar, daily average",0.0
19398,2017-01-16,"New Zealand dollar, daily average",0.9345
19399,2017-01-17,"New Zealand dollar, daily average",0.9394
19400,2017-01-18,"New Zealand dollar, daily average",0.945
19401,2017-01-19,"New Zealand dollar, daily average",0.9551
19402,2017-01-20,"New Zealand dollar, daily average",0.9546
19403,2017-01-21,"New Zealand dollar, daily average",0.0
19404,2017-01-22,"New Zealand dollar, daily average",0.0
19405,2017-01-23,"New Zealand dollar, daily average",0.9586
19406,2017-01-24,"New Zealand dollar, daily average",0.9558
19407,2017-01-25,"New Zealand dollar, daily average",0.9496
19408,2017-01-26,"New Zealand dollar, daily average",0.9487
19409,2017-01-27,"New Zealand dollar, daily average",0.9533
19410,2017-01-28,"New Zealand dollar, daily average",0.0
19411,2017-01-29,"New Zealand dollar, daily average",0.0
19412,2017-01-30,"New Zealand dollar, daily average",0.9541
19413,2017-01-31,"New Zealand dollar, daily average",0.955
19414,2017-02-01,"New Zealand dollar, daily average",0.9494
19415,2017-02-02,"New Zealand dollar, daily average",0.9507
19416,2017-02-03,"New Zealand dollar, daily average",0.9518
19417,2017-02-04,"New Zealand dollar, daily average",0.0
19418,2017-02-05,"New Zealand dollar, daily average",0.0
19419,2017-02-06,"New Zealand dollar, daily average",0.9569
19420,2017-02-07,"New Zealand dollar, daily average",0.9622
19421,2017-02-08,"New Zealand dollar, daily average",0.9615
19422,2017-02-09,"New Zealand dollar, daily average",0.9446
19423,2017-02-10,"New Zealand dollar, daily average",0.9413
19424,2017-02-11,"New Zealand dollar, daily average",0.0
19425,2017-02-12,"New Zealand dollar, daily average",0.0
19426,2017-02-13,"New Zealand dollar, daily average",0.9383
19427,2017-02-14,"New Zealand dollar, daily average",0.9361
19428,2017-02-15,"New Zealand dollar, daily average",0.9415
19429,2017-02-16,"New Zealand dollar, daily average",0.9432
19430,2017-02-17,"New Zealand dollar, daily average",0.9417
19431,2017-02-18,"New Zealand dollar, daily average",0.0
19432,2017-02-19,"New Zealand dollar, daily average",0.0
19434,2017-02-21,"New Zealand dollar, daily average",0.9409
19435,2017-02-22,"New Zealand dollar, daily average",0.9447
19436,2017-02-23,"New Zealand dollar, daily average",0.9481
19437,2017-02-24,"New Zealand dollar, daily average",0.9431
19438,2017-02-25,"New Zealand dollar, daily average",0.0
19439,2017-02-26,"New Zealand dollar, daily average",0.0
19440,2017-02-27,"New Zealand dollar, daily average",0.9455
19441,2017-02-28,"New Zealand dollar, daily average",0.9562
19442,2017-03-01,"New Zealand dollar, daily average",0.9517
19443,2017-03-02,"New Zealand dollar, daily average",0.9464
19444,2017-03-03,"New Zealand dollar, daily average",0.9417
19445,2017-03-04,"New Zealand dollar, daily average",0.0
19446,2017-03-05,"New Zealand dollar, daily average",0.0
19447,2017-03-06,"New Zealand dollar, daily average",0.9389
19448,2017-03-07,"New Zealand dollar, daily average",0.9359
19449,2017-03-08,"New Zealand dollar, daily average",0.9325
19450,2017-03-09,"New Zealand dollar, daily average",0.9325
19451,2017-03-10,"New Zealand dollar, daily average",0.9324
19452,2017-03-11,"New Zealand dollar, daily average",0.0
19453,2017-03-12,"New Zealand dollar, daily average",0.0
19454,2017-03-13,"New Zealand dollar, daily average",0.9316
19455,2017-03-14,"New Zealand dollar, daily average",0.9335
19456,2017-03-15,"New Zealand dollar, daily average",0.9357
19457,2017-03-16,"New Zealand dollar, daily average",0.9296
19458,2017-03-17,"New Zealand dollar, daily average",0.9361
19459,2017-03-18,"New Zealand dollar, daily average",0.0
19460,2017-03-19,"New Zealand dollar, daily average",0.0
19461,2017-03-20,"New Zealand dollar, daily average",0.9412
19462,2017-03-21,"New Zealand dollar, daily average",0.9397
19463,2017-03-22,"New Zealand dollar, daily average",0.9421
19464,2017-03-23,"New Zealand dollar, daily average",0.9388
19465,2017-03-24,"New Zealand dollar, daily average",0.9398
19466,2017-03-25,"New Zealand dollar, daily average",0.0
19467,2017-03-26,"New Zealand dollar, daily average",0.0
19468,2017-03-27,"New Zealand dollar, daily average",0.9428
19469,2017-03-28,"New Zealand dollar, daily average",0.9397
19470,2017-03-29,"New Zealand dollar, daily average",0.9391
19471,2017-03-30,"New Zealand dollar, daily average",0.9334
19472,2017-03-31,"New Zealand dollar, daily average",0.9316
19473,2017-04-01,"New Zealand dollar, daily average",0.0
19474,2017-04-02,"New Zealand dollar, daily average",0.0
19475,2017-04-03,"New Zealand dollar, daily average",0.9369
19476,2017-04-04,"New Zealand dollar, daily average",0.9364
19477,2017-04-05,"New Zealand dollar, daily average",0.9331
19478,2017-04-06,"New Zealand dollar, daily average",0.9357
19479,2017-04-07,"New Zealand dollar, daily average",0.9313
19480,2017-04-08,"New Zealand dollar, daily average",0.0
19481,2017-04-09,"New Zealand dollar, daily average",0.0
19482,2017-04-10,"New Zealand dollar, daily average",0.9287
19483,2017-04-11,"New Zealand dollar, daily average",0.9266
19484,2017-04-12,"New Zealand dollar, daily average",0.9208
19485,2017-04-13,"New Zealand dollar, daily average",0.93
19487,2017-04-15,"New Zealand dollar, daily average",0.0
19488,2017-04-16,"New Zealand dollar, daily average",0.0
19489,2017-04-17,"New Zealand dollar, daily average",0.933
19490,2017-04-18,"New Zealand dollar, daily average",0.9406
19491,2017-04-19,"New Zealand dollar, daily average",0.9432
19492,2017-04-20,"New Zealand dollar, daily average",0.9457
19493,2017-04-21,"New Zealand dollar, daily average",0.9477
19494,2017-04-22,"New Zealand dollar, daily average",0.0
19495,2017-04-23,"New Zealand dollar, daily average",0.0
19496,2017-04-24,"New Zealand dollar, daily average",0.9471
19497,2017-04-25,"New Zealand dollar, daily average",0.945
19498,2017-04-26,"New Zealand dollar, daily average",0.9359
19499,2017-04-27,"New Zealand dollar, daily average",0.9356
19500,2017-04-28,"New Zealand dollar, daily average",0.9378
19501,2017-04-29,"New Zealand dollar, daily average",0.0
19502,2017-04-30,"New Zealand dollar, daily average",0.0
19503,2017-05-01,"New Zealand dollar, daily average",0.9436
19504,2017-05-02,"New Zealand dollar, daily average",0.95
19505,2017-05-03,"New Zealand dollar, daily average",0.9469
19506,2017-05-04,"New Zealand dollar, daily average",0.9421
19507,2017-05-05,"New Zealand dollar, daily average",0.9475
19508,2017-05-06,"New Zealand dollar, daily average",0.0
19509,2017-05-07,"New Zealand dollar, daily average",0.0
19510,2017-05-08,"New Zealand dollar, daily average",0.9476
19511,2017-05-09,"New Zealand dollar, daily average",0.9464
19512,2017-05-10,"New Zealand dollar, daily average",0.9491
19513,2017-05-11,"New Zealand dollar, daily average",0.9387
19514,2017-05-12,"New Zealand dollar, daily average",0.9401
19515,2017-05-13,"New Zealand dollar, daily average",0.0
19516,2017-05-14,"New Zealand dollar, daily average",0.0
19517,2017-05-15,"New Zealand dollar, daily average",0.9398
19518,2017-05-16,"New Zealand dollar, daily average",0.9361
19519,2017-05-17,"New Zealand dollar, daily average",0.9421
19520,2017-05-18,"New Zealand dollar, daily average",0.9408
19521,2017-05-19,"New Zealand dollar, daily average",0.9368
19522,2017-05-20,"New Zealand dollar, daily average",0.0
19523,2017-05-21,"New Zealand dollar, daily average",0.0
19525,2017-05-23,"New Zealand dollar, daily average",0.9475
19526,2017-05-24,"New Zealand dollar, daily average",0.946
19527,2017-05-25,"New Zealand dollar, daily average",0.9465
19528,2017-05-26,"New Zealand dollar, daily average",0.95
19529,2017-05-27,"New Zealand dollar, daily average",0.0
19530,2017-05-28,"New Zealand dollar, daily average",0.0
19531,2017-05-29,"New Zealand dollar, daily average",0.9505
19532,2017-05-30,"New Zealand dollar, daily average",0.9548
19533,2017-05-31,"New Zealand dollar, daily average",0.9583
19534,2017-06-01,"New Zealand dollar, daily average",0.9538
19535,2017-06-02,"New Zealand dollar, daily average",0.9634
19536,2017-06-03,"New Zealand dollar, daily average",0.0
19537,2017-06-04,"New Zealand dollar, daily average",0.0
19538,2017-06-05,"New Zealand dollar, daily average",0.9627
19539,2017-06-06,"New Zealand dollar, daily average",0.9678
19540,2017-06-07,"New Zealand dollar, daily average",0.9708
19541,2017-06-08,"New Zealand dollar, daily average",0.9742
19542,2017-06-09,"New Zealand dollar, daily average",0.9692
19543,2017-06-10,"New Zealand dollar, daily average",0.0
19544,2017-06-11,"New Zealand dollar, daily average",0.0
19545,2017-06-12,"New Zealand dollar, daily average",0.9658
19546,2017-06-13,"New Zealand dollar, daily average",0.956
19547,2017-06-14,"New Zealand dollar, daily average",0.963
19548,2017-06-15,"New Zealand dollar, daily average",0.9566
19549,2017-06-16,"New Zealand dollar, daily average",0.9594
19550,2017-06-17,"New Zealand dollar, daily average",0.0
19551,2017-06-18,"New Zealand dollar, daily average",0.0
19552,2017-06-19,"New Zealand dollar, daily average",0.9571
19553,2017-06-20,"New Zealand dollar, daily average",0.9605
19554,2017-06-21,"New Zealand dollar, daily average",0.9618
19555,2017-06-22,"New Zealand dollar, daily average",0.962
19556,2017-06-23,"New Zealand dollar, daily average",0.967
19557,2017-06-24,"New Zealand dollar, daily average",0.0
19558,2017-06-25,"New Zealand dollar, daily average",0.0
19559,2017-06-26,"New Zealand dollar, daily average",0.9661
19560,2017-06-27,"New Zealand dollar, daily average",0.9603
19561,2017-06-28,"New Zealand dollar, daily average",0.953
19562,2017-06-29,"New Zealand dollar, daily average",0.9488
19563,2017-06-30,"New Zealand dollar, daily average",0.9506
19564,2017-07-01,"New Zealand dollar, daily average",0.0
19565,2017-07-02,"New Zealand dollar, daily average",0.0
19567,2017-07-04,"New Zealand dollar, daily average",0.9435
19568,2017-07-05,"New Zealand dollar, daily average",0.9441
19569,2017-07-06,"New Zealand dollar, daily average",0.9406
19570,2017-07-07,"New Zealand dollar, daily average",0.9377
19571,2017-07-08,"New Zealand dollar, daily average",0.0
19572,2017-07-09,"New Zealand dollar, daily average",0.0
19573,2017-07-10,"New Zealand dollar, daily average",0.9371
19574,2017-07-11,"New Zealand dollar, daily average",0.9331
19575,2017-07-12,"New Zealand dollar, daily average",0.9288
19576,2017-07-13,"New Zealand dollar, daily average",0.9328
19577,2017-07-14,"New Zealand dollar, daily average",0.9298
19578,2017-07-15,"New Zealand dollar, daily average",0.0
19579,2017-07-16,"New Zealand dollar, daily average",0.0
19580,2017-07-17,"New Zealand dollar, daily average",0.9284
19581,2017-07-18,"New Zealand dollar, daily average",0.9291
19582,2017-07-19,"New Zealand dollar, daily average",0.9272
19583,2017-07-20,"New Zealand dollar, daily average",0.9299
19584,2017-07-21,"New Zealand dollar, daily average",0.934
19585,2017-07-22,"New Zealand dollar, daily average",0.0
19586,2017-07-23,"New Zealand dollar, daily average",0.0
19587,2017-07-24,"New Zealand dollar, daily average",0.93
19588,2017-07-25,"New Zealand dollar, daily average",0.9289
19589,2017-07-26,"New Zealand dollar, daily average",0.9314
19590,2017-07-27,"New Zealand dollar, daily average",0.9388
19591,2017-07-28,"New Zealand dollar, daily average",0.9337
19592,2017-07-29,"New Zealand dollar, daily average",0.0
19593,2017-07-30,"New Zealand dollar, daily average",0.0
19594,2017-07-31,"New Zealand dollar, daily average",0.9354
19595,2017-08-01,"New Zealand dollar, daily average",0.9356
19596,2017-08-02,"New Zealand dollar, daily average",0.934
19597,2017-08-03,"New Zealand dollar, daily average",0.9347
19598,2017-08-04,"New Zealand dollar, daily average",0.9372
19599,2017-08-05,"New Zealand dollar, daily average",0.0
19600,2017-08-06,"New Zealand dollar, daily average",0.0
19602,2017-08-08,"New Zealand dollar, daily average",0.9296
19603,2017-08-09,"New Zealand dollar, daily average",0.9306
19604,2017-08-10,"New Zealand dollar, daily average",0.9254
19605,2017-08-11,"New Zealand dollar, daily average",0.9271
19606,2017-08-12,"New Zealand dollar, daily average",0.0
19607,2017-08-13,"New Zealand dollar, daily average",0.0
19608,2017-08-14,"New Zealand dollar, daily average",0.9265
19609,2017-08-15,"New Zealand dollar, daily average",0.9238
19610,2017-08-16,"New Zealand dollar, daily average",0.9238
19611,2017-08-17,"New Zealand dollar, daily average",0.9234
19612,2017-08-18,"New Zealand dollar, daily average",0.9216
19613,2017-08-19,"New Zealand dollar, daily average",0.0
19614,2017-08-20,"New Zealand dollar, daily average",0.0
19615,2017-08-21,"New Zealand dollar, daily average",0.9212
19616,2017-08-22,"New Zealand dollar, daily average",0.9147
19617,2017-08-23,"New Zealand dollar, daily average",0.9069
19618,2017-08-24,"New Zealand dollar, daily average",0.9039
19619,2017-08-25,"New Zealand dollar, daily average",0.9037
19620,2017-08-26,"New Zealand dollar, daily average",0.0
19621,2017-08-27,"New Zealand dollar, daily average",0.0
19622,2017-08-28,"New Zealand dollar, daily average",0.9051
19623,2017-08-29,"New Zealand dollar, daily average",0.9098
19624,2017-08-30,"New Zealand dollar, daily average",0.9086
19625,2017-08-31,"New Zealand dollar, daily average",0.8977
19626,2017-09-01,"New Zealand dollar, daily average",0.888
19627,2017-09-02,"New Zealand dollar, daily average",0.0
19628,2017-09-03,"New Zealand dollar, daily average",0.0
19630,2017-09-05,"New Zealand dollar, daily average",0.8955
19631,2017-09-06,"New Zealand dollar, daily average",0.8838
19632,2017-09-07,"New Zealand dollar, daily average",0.8773
19633,2017-09-08,"New Zealand dollar, daily average",0.8826
19634,2017-09-09,"New Zealand dollar, daily average",0.0
19635,2017-09-10,"New Zealand dollar, daily average",0.0
19636,2017-09-11,"New Zealand dollar, daily average",0.8801
19637,2017-09-12,"New Zealand dollar, daily average",0.8864
19638,2017-09-13,"New Zealand dollar, daily average",0.8832
19639,2017-09-14,"New Zealand dollar, daily average",0.8792
19640,2017-09-15,"New Zealand dollar, daily average",0.8877
19641,2017-09-16,"New Zealand dollar, daily average",0.0
19642,2017-09-17,"New Zealand dollar, daily average",0.0
19643,2017-09-18,"New Zealand dollar, daily average",0.8893
19644,2017-09-19,"New Zealand dollar, daily average",0.8978
19645,2017-09-20,"New Zealand dollar, daily average",0.9052
19646,2017-09-21,"New Zealand dollar, daily average",0.9022
19647,2017-09-22,"New Zealand dollar, daily average",0.9027
19648,2017-09-23,"New Zealand dollar, daily average",0.0
19649,2017-09-24,"New Zealand dollar, daily average",0.0
19650,2017-09-25,"New Zealand dollar, daily average",0.8973
19651,2017-09-26,"New Zealand dollar, daily average",0.8903
19652,2017-09-27,"New Zealand dollar, daily average",0.8955
19653,2017-09-28,"New Zealand dollar, daily average",0.8987
19654,2017-09-29,"New Zealand dollar, daily average",0.9016
19655,2017-09-30,"New Zealand dollar, daily average",0.0
19656,2017-10-01,"New Zealand dollar, daily average",0.0
19657,2017-10-02,"New Zealand dollar, daily average",0.9005
19658,2017-10-03,"New Zealand dollar, daily average",0.895
19659,2017-10-04,"New Zealand dollar, daily average",0.8942
19660,2017-10-05,"New Zealand dollar, daily average",0.8941
19661,2017-10-06,"New Zealand dollar, daily average",0.889
19662,2017-10-07,"New Zealand dollar, daily average",0.0
19663,2017-10-08,"New Zealand dollar, daily average",0.0
19665,2017-10-10,"New Zealand dollar, daily average",0.8841
19666,2017-10-11,"New Zealand dollar, daily average",0.8846
19667,2017-10-12,"New Zealand dollar, daily average",0.8886
19668,2017-10-13,"New Zealand dollar, daily average",0.897
19669,2017-10-14,"New Zealand dollar, daily average",0.0
19670,2017-10-15,"New Zealand dollar, daily average",0.0
19671,2017-10-16,"New Zealand dollar, daily average",0.8996
19672,2017-10-17,"New Zealand dollar, daily average",0.8992
19673,2017-10-18,"New Zealand dollar, daily average",0.8914
19674,2017-10-19,"New Zealand dollar, daily average",0.8761
19675,2017-10-20,"New Zealand dollar, daily average",0.8782
19676,2017-10-21,"New Zealand dollar, daily average",0.0
19677,2017-10-22,"New Zealand dollar, daily average",0.0
19678,2017-10-23,"New Zealand dollar, daily average",0.8809
19679,2017-10-24,"New Zealand dollar, daily average",0.874
19680,2017-10-25,"New Zealand dollar, daily average",0.8779
19681,2017-10-26,"New Zealand dollar, daily average",0.8788
19682,2017-10-27,"New Zealand dollar, daily average",0.8832
19683,2017-10-28,"New Zealand dollar, daily average",0.0
19684,2017-10-29,"New Zealand dollar, daily average",0.0
19685,2017-10-30,"New Zealand dollar, daily average",0.8811
19686,2017-10-31,"New Zealand dollar, daily average",0.8819
19687,2017-11-01,"New Zealand dollar, daily average",0.8882
19688,2017-11-02,"New Zealand dollar, daily average",0.8868
19689,2017-11-03,"New Zealand dollar, daily average",0.8825
19690,2017-11-04,"New Zealand dollar, daily average",0.0
19691,2017-11-05,"New Zealand dollar, daily average",0.0
19692,2017-11-06,"New Zealand dollar, daily average",0.8812
19693,2017-11-07,"New Zealand dollar, daily average",0.8825
19694,2017-11-08,"New Zealand dollar, daily average",0.8818
19695,2017-11-09,"New Zealand dollar, daily average",0.8824
19696,2017-11-10,"New Zealand dollar, daily average",0.8797
19697,2017-11-11,"New Zealand dollar, daily average",0.0
19698,2017-11-12,"New Zealand dollar, daily average",0.0
19700,2017-11-14,"New Zealand dollar, daily average",0.876
19701,2017-11-15,"New Zealand dollar, daily average",0.879
19702,2017-11-16,"New Zealand dollar, daily average",0.8737
19703,2017-11-17,"New Zealand dollar, daily average",0.87
19704,2017-11-18,"New Zealand dollar, daily average",0.0
19705,2017-11-19,"New Zealand dollar, daily average",0.0
19706,2017-11-20,"New Zealand dollar, daily average",0.8718
19707,2017-11-21,"New Zealand dollar, daily average",0.8729
19708,2017-11-22,"New Zealand dollar, daily average",0.8729
19709,2017-11-23,"New Zealand dollar, daily average",0.8759
19710,2017-11-24,"New Zealand dollar, daily average",0.8746
19711,2017-11-25,"New Zealand dollar, daily average",0.0
19712,2017-11-26,"New Zealand dollar, daily average",0.0
19713,2017-11-27,"New Zealand dollar, daily average",0.8801
19714,2017-11-28,"New Zealand dollar, daily average",0.8869
19715,2017-11-29,"New Zealand dollar, daily average",0.8857
19716,2017-11-30,"New Zealand dollar, daily average",0.8822
19717,2017-12-01,"New Zealand dollar, daily average",0.8756
19718,2017-12-02,"New Zealand dollar, daily average",0.0
19719,2017-12-03,"New Zealand dollar, daily average",0.0
19720,2017-12-04,"New Zealand dollar, daily average",0.8695
19721,2017-12-05,"New Zealand dollar, daily average",0.8724
19722,2017-12-06,"New Zealand dollar, daily average",0.8779
19723,2017-12-07,"New Zealand dollar, daily average",0.8784
19724,2017-12-08,"New Zealand dollar, daily average",0.8806
19725,2017-12-09,"New Zealand dollar, daily average",0.0
19726,2017-12-10,"New Zealand dollar, daily average",0.0
19727,2017-12-11,"New Zealand dollar, daily average",0.889
19728,2017-12-12,"New Zealand dollar, daily average",0.8925
19729,2017-12-13,"New Zealand dollar, daily average",0.899
19730,2017-12-14,"New Zealand dollar, daily average",0.8952
19731,2017-12-15,"New Zealand dollar, daily average",0.899
19732,2017-12-16,"New Zealand dollar, daily average",0.0
19733,2017-12-17,"New Zealand dollar, daily average",0.0
19734,2017-12-18,"New Zealand dollar, daily average",0.9012
19735,2017-12-19,"New Zealand dollar, daily average",0.9007
19736,2017-12-20,"New Zealand dollar, daily average",0.8962
19737,2017-12-21,"New Zealand dollar, daily average",0.893
19738,2017-12-22,"New Zealand dollar, daily average",0.8946
19739,2017-12-23,"New Zealand dollar, daily average",0.0
19740,2017-12-24,"New Zealand dollar, daily average",0.0
19743,2017-12-27,"New Zealand dollar, daily average",0.8934
19744,2017-12-28,"New Zealand dollar, daily average",0.8919
19745,2017-12-29,"New Zealand dollar, daily average",0.8922
19746,2017-12-30,"New Zealand dollar, daily average",0.0
19747,2017-12-31,"New Zealand dollar, daily average",0.0
19749,2018-01-02,"New Zealand dollar, daily average",0.8896
19750,2018-01-03,"New Zealand dollar, daily average",0.8898
19751,2018-01-04,"New Zealand dollar, daily average",0.8939
19752,2018-01-05,"New Zealand dollar, daily average",0.8894
19753,2018-01-06,"New Zealand dollar, daily average",0.0
19754,2018-01-07,"New Zealand dollar, daily average",0.0
19755,2018-01-08,"New Zealand dollar, daily average",0.8916
19756,2018-01-09,"New Zealand dollar, daily average",0.8934
19757,2018-01-10,"New Zealand dollar, daily average",0.899
19758,2018-01-11,"New Zealand dollar, daily average",0.9077
19759,2018-01-12,"New Zealand dollar, daily average",0.9059
19760,2018-01-13,"New Zealand dollar, daily average",0.0
19761,2018-01-14,"New Zealand dollar, daily average",0.0
19762,2018-01-15,"New Zealand dollar, daily average",0.9072
19763,2018-01-16,"New Zealand dollar, daily average",0.9034
19764,2018-01-17,"New Zealand dollar, daily average",0.9062
19765,2018-01-18,"New Zealand dollar, daily average",0.9097
19766,2018-01-19,"New Zealand dollar, daily average",0.9075
19767,2018-01-20,"New Zealand dollar, daily average",0.0
19768,2018-01-21,"New Zealand dollar, daily average",0.0
19769,2018-01-22,"New Zealand dollar, daily average",0.9111
19770,2018-01-23,"New Zealand dollar, daily average",0.9149
19771,2018-01-24,"New Zealand dollar, daily average",0.9154
19772,2018-01-25,"New Zealand dollar, daily average",0.9072
19773,2018-01-26,"New Zealand dollar, daily average",0.9055
19774,2018-01-27,"New Zealand dollar, daily average",0.0
19775,2018-01-28,"New Zealand dollar, daily average",0.0
19776,2018-01-29,"New Zealand dollar, daily average",0.9029
19777,2018-01-30,"New Zealand dollar, daily average",0.9044
19778,2018-01-31,"New Zealand dollar, daily average",0.9077
19779,2018-02-01,"New Zealand dollar, daily average",0.9071
19780,2018-02-02,"New Zealand dollar, daily average",0.9056
19781,2018-02-03,"New Zealand dollar, daily average",0.0
19782,2018-02-04,"New Zealand dollar, daily average",0.0
19783,2018-02-05,"New Zealand dollar, daily average",0.9101
19784,2018-02-06,"New Zealand dollar, daily average",0.9146
19785,2018-02-07,"New Zealand dollar, daily average",0.9126
19786,2018-02-08,"New Zealand dollar, daily average",0.9087
19787,2018-02-09,"New Zealand dollar, daily average",0.9133
19788,2018-02-10,"New Zealand dollar, daily average",0.0
19789,2018-02-11,"New Zealand dollar, daily average",0.0
19790,2018-02-12,"New Zealand dollar, daily average",0.9128
19791,2018-02-13,"New Zealand dollar, daily average",0.9173
19792,2018-02-14,"New Zealand dollar, daily average",0.921
