,Date,Currency,Value
21417,2017-01-03,"Norwegian krone, daily average",0.1551
21418,2017-01-04,"Norwegian krone, daily average",0.1546
21419,2017-01-05,"Norwegian krone, daily average",0.1555
21420,2017-01-06,"Norwegian krone, daily average",0.1551
21421,2017-01-07,"Norwegian krone, daily average",0.0
21422,2017-01-08,"Norwegian krone, daily average",0.0
21423,2017-01-09,"Norwegian krone, daily average",0.1546
21424,2017-01-10,"Norwegian krone, daily average",0.1538
21425,2017-01-11,"Norwegian krone, daily average",0.1536
21426,2017-01-12,"Norwegian krone, daily average",0.1542
21427,2017-01-13,"Norwegian krone, daily average",0.1545
21428,2017-01-14,"Norwegian krone, daily average",0.0
21429,2017-01-15,"Norwegian krone, daily average",0.0
21430,2017-01-16,"Norwegian krone, daily average",0.1542
21431,2017-01-17,"Norwegian krone, daily average",0.1543
21432,2017-01-18,"Norwegian krone, daily average",0.1555
21433,2017-01-19,"Norwegian krone, daily average",0.1572
21434,2017-01-20,"Norwegian krone, daily average",0.1583
21435,2017-01-21,"Norwegian krone, daily average",0.0
21436,2017-01-22,"Norwegian krone, daily average",0.0
21437,2017-01-23,"Norwegian krone, daily average",0.1587
21438,2017-01-24,"Norwegian krone, daily average",0.158
21439,2017-01-25,"Norwegian krone, daily average",0.1572
21440,2017-01-26,"Norwegian krone, daily average",0.157
21441,2017-01-27,"Norwegian krone, daily average",0.1574
21442,2017-01-28,"Norwegian krone, daily average",0.0
21443,2017-01-29,"Norwegian krone, daily average",0.0
21444,2017-01-30,"Norwegian krone, daily average",0.1575
21445,2017-01-31,"Norwegian krone, daily average",0.158
21446,2017-02-01,"Norwegian krone, daily average",0.1585
21447,2017-02-02,"Norwegian krone, daily average",0.1583
21448,2017-02-03,"Norwegian krone, daily average",0.1584
21449,2017-02-04,"Norwegian krone, daily average",0.0
21450,2017-02-05,"Norwegian krone, daily average",0.0
21451,2017-02-06,"Norwegian krone, daily average",0.1586
21452,2017-02-07,"Norwegian krone, daily average",0.1584
21453,2017-02-08,"Norwegian krone, daily average",0.1582
21454,2017-02-09,"Norwegian krone, daily average",0.1576
21455,2017-02-10,"Norwegian krone, daily average",0.1561
21456,2017-02-11,"Norwegian krone, daily average",0.0
21457,2017-02-12,"Norwegian krone, daily average",0.0
21458,2017-02-13,"Norwegian krone, daily average",0.156
21459,2017-02-14,"Norwegian krone, daily average",0.1557
21460,2017-02-15,"Norwegian krone, daily average",0.1565
21461,2017-02-16,"Norwegian krone, daily average",0.1572
21462,2017-02-17,"Norwegian krone, daily average",0.1571
21463,2017-02-18,"Norwegian krone, daily average",0.0
21464,2017-02-19,"Norwegian krone, daily average",0.0
21466,2017-02-21,"Norwegian krone, daily average",0.1573
21467,2017-02-22,"Norwegian krone, daily average",0.1574
21468,2017-02-23,"Norwegian krone, daily average",0.1573
21469,2017-02-24,"Norwegian krone, daily average",0.1569
21470,2017-02-25,"Norwegian krone, daily average",0.0
21471,2017-02-26,"Norwegian krone, daily average",0.0
21472,2017-02-27,"Norwegian krone, daily average",0.157
21473,2017-02-28,"Norwegian krone, daily average",0.1582
21474,2017-03-01,"Norwegian krone, daily average",0.1586
21475,2017-03-02,"Norwegian krone, daily average",0.1579
21476,2017-03-03,"Norwegian krone, daily average",0.1585
21477,2017-03-04,"Norwegian krone, daily average",0.0
21478,2017-03-05,"Norwegian krone, daily average",0.0
21479,2017-03-06,"Norwegian krone, daily average",0.158
21480,2017-03-07,"Norwegian krone, daily average",0.1587
21481,2017-03-08,"Norwegian krone, daily average",0.1583
21482,2017-03-09,"Norwegian krone, daily average",0.1575
21483,2017-03-10,"Norwegian krone, daily average",0.1566
21484,2017-03-11,"Norwegian krone, daily average",0.0
21485,2017-03-12,"Norwegian krone, daily average",0.0
21486,2017-03-13,"Norwegian krone, daily average",0.1572
21487,2017-03-14,"Norwegian krone, daily average",0.1566
21488,2017-03-15,"Norwegian krone, daily average",0.1565
21489,2017-03-16,"Norwegian krone, daily average",0.1563
21490,2017-03-17,"Norwegian krone, daily average",0.1576
21491,2017-03-18,"Norwegian krone, daily average",0.0
21492,2017-03-19,"Norwegian krone, daily average",0.0
21493,2017-03-20,"Norwegian krone, daily average",0.1575
21494,2017-03-21,"Norwegian krone, daily average",0.1575
21495,2017-03-22,"Norwegian krone, daily average",0.1578
21496,2017-03-23,"Norwegian krone, daily average",0.1571
21497,2017-03-24,"Norwegian krone, daily average",0.1575
21498,2017-03-25,"Norwegian krone, daily average",0.0
21499,2017-03-26,"Norwegian krone, daily average",0.0
