,Date,Currency,Value
23449,2017-01-03,"Peruvian new sol, daily average",0.3976
23450,2017-01-04,"Peruvian new sol, daily average",0.393
23451,2017-01-05,"Peruvian new sol, daily average",0.393
23452,2017-01-06,"Peruvian new sol, daily average",0.3921
23453,2017-01-07,"Peruvian new sol, daily average",0.0
23454,2017-01-08,"Peruvian new sol, daily average",0.0
23455,2017-01-09,"Peruvian new sol, daily average",0.3917
23456,2017-01-10,"Peruvian new sol, daily average",0.3901
23457,2017-01-11,"Peruvian new sol, daily average",0.3907
23458,2017-01-12,"Peruvian new sol, daily average",0.3893
23459,2017-01-13,"Peruvian new sol, daily average",0.3906
23460,2017-01-14,"Peruvian new sol, daily average",0.0
23461,2017-01-15,"Peruvian new sol, daily average",0.0
23462,2017-01-16,"Peruvian new sol, daily average",0.3906
23463,2017-01-17,"Peruvian new sol, daily average",0.389
23464,2017-01-18,"Peruvian new sol, daily average",0.3911
23465,2017-01-19,"Peruvian new sol, daily average",0.3983
23466,2017-01-20,"Peruvian new sol, daily average",0.4039
23467,2017-01-21,"Peruvian new sol, daily average",0.0
23468,2017-01-22,"Peruvian new sol, daily average",0.0
23469,2017-01-23,"Peruvian new sol, daily average",0.4041
23470,2017-01-24,"Peruvian new sol, daily average",0.4013
23471,2017-01-25,"Peruvian new sol, daily average",0.3986
23472,2017-01-26,"Peruvian new sol, daily average",0.3971
23473,2017-01-27,"Peruvian new sol, daily average",0.3988
23474,2017-01-28,"Peruvian new sol, daily average",0.0
23475,2017-01-29,"Peruvian new sol, daily average",0.0
23476,2017-01-30,"Peruvian new sol, daily average",0.3986
23477,2017-01-31,"Peruvian new sol, daily average",0.3973
23478,2017-02-01,"Peruvian new sol, daily average",0.3997
23479,2017-02-02,"Peruvian new sol, daily average",0.3997
23480,2017-02-03,"Peruvian new sol, daily average",0.4003
23481,2017-02-04,"Peruvian new sol, daily average",0.0
23482,2017-02-05,"Peruvian new sol, daily average",0.0
23483,2017-02-06,"Peruvian new sol, daily average",0.3996
23484,2017-02-07,"Peruvian new sol, daily average",0.3998
23485,2017-02-08,"Peruvian new sol, daily average",0.4002
23486,2017-02-09,"Peruvian new sol, daily average",0.4011
23487,2017-02-10,"Peruvian new sol, daily average",0.4019
23488,2017-02-11,"Peruvian new sol, daily average",0.0
23489,2017-02-12,"Peruvian new sol, daily average",0.0
23490,2017-02-13,"Peruvian new sol, daily average",0.401
23491,2017-02-14,"Peruvian new sol, daily average",0.4009
23492,2017-02-15,"Peruvian new sol, daily average",0.4027
23493,2017-02-16,"Peruvian new sol, daily average",0.402
23494,2017-02-17,"Peruvian new sol, daily average",0.4017
23495,2017-02-18,"Peruvian new sol, daily average",0.0
23496,2017-02-19,"Peruvian new sol, daily average",0.0
23498,2017-02-21,"Peruvian new sol, daily average",0.4048
23499,2017-02-22,"Peruvian new sol, daily average",0.4064
23500,2017-02-23,"Peruvian new sol, daily average",0.4042
23501,2017-02-24,"Peruvian new sol, daily average",0.4027
23502,2017-02-25,"Peruvian new sol, daily average",0.0
23503,2017-02-26,"Peruvian new sol, daily average",0.0
23504,2017-02-27,"Peruvian new sol, daily average",0.4033
23505,2017-02-28,"Peruvian new sol, daily average",0.4061
23506,2017-03-01,"Peruvian new sol, daily average",0.4089
23507,2017-03-02,"Peruvian new sol, daily average",0.4086
23508,2017-03-03,"Peruvian new sol, daily average",0.4083
23509,2017-03-04,"Peruvian new sol, daily average",0.0
23510,2017-03-05,"Peruvian new sol, daily average",0.0
23511,2017-03-06,"Peruvian new sol, daily average",0.4074
23512,2017-03-07,"Peruvian new sol, daily average",0.408
23513,2017-03-08,"Peruvian new sol, daily average",0.409
23514,2017-03-09,"Peruvian new sol, daily average",0.4102
23515,2017-03-10,"Peruvian new sol, daily average",0.41
23516,2017-03-11,"Peruvian new sol, daily average",0.0
23517,2017-03-12,"Peruvian new sol, daily average",0.0
23518,2017-03-13,"Peruvian new sol, daily average",0.4093
23519,2017-03-14,"Peruvian new sol, daily average",0.4105
23520,2017-03-15,"Peruvian new sol, daily average",0.411
23521,2017-03-16,"Peruvian new sol, daily average",0.4095
23522,2017-03-17,"Peruvian new sol, daily average",0.4104
23523,2017-03-18,"Peruvian new sol, daily average",0.0
23524,2017-03-19,"Peruvian new sol, daily average",0.0
23525,2017-03-20,"Peruvian new sol, daily average",0.4111
23526,2017-03-21,"Peruvian new sol, daily average",0.4102
23527,2017-03-22,"Peruvian new sol, daily average",0.411
23528,2017-03-23,"Peruvian new sol, daily average",0.4108
23529,2017-03-24,"Peruvian new sol, daily average",0.4124
23530,2017-03-25,"Peruvian new sol, daily average",0.0
23531,2017-03-26,"Peruvian new sol, daily average",0.0
23532,2017-03-27,"Peruvian new sol, daily average",0.4119
23533,2017-03-28,"Peruvian new sol, daily average",0.4122
23534,2017-03-29,"Peruvian new sol, daily average",0.4121
23535,2017-03-30,"Peruvian new sol, daily average",0.41
23536,2017-03-31,"Peruvian new sol, daily average",0.4097
23537,2017-04-01,"Peruvian new sol, daily average",0.0
23538,2017-04-02,"Peruvian new sol, daily average",0.0
23539,2017-04-03,"Peruvian new sol, daily average",0.4121
23540,2017-04-04,"Peruvian new sol, daily average",0.4129
23541,2017-04-05,"Peruvian new sol, daily average",0.4127
23542,2017-04-06,"Peruvian new sol, daily average",0.4131
23543,2017-04-07,"Peruvian new sol, daily average",0.4125
23544,2017-04-08,"Peruvian new sol, daily average",0.0
23545,2017-04-09,"Peruvian new sol, daily average",0.0
23546,2017-04-10,"Peruvian new sol, daily average",0.4112
23547,2017-04-11,"Peruvian new sol, daily average",0.4101
23548,2017-04-12,"Peruvian new sol, daily average",0.4087
23549,2017-04-13,"Peruvian new sol, daily average",0.408
23551,2017-04-15,"Peruvian new sol, daily average",0.0
23552,2017-04-16,"Peruvian new sol, daily average",0.0
23553,2017-04-17,"Peruvian new sol, daily average",0.4087
23554,2017-04-18,"Peruvian new sol, daily average",0.4114
23555,2017-04-19,"Peruvian new sol, daily average",0.4142
23556,2017-04-20,"Peruvian new sol, daily average",0.4155
23557,2017-04-21,"Peruvian new sol, daily average",0.4165
23558,2017-04-22,"Peruvian new sol, daily average",0.0
23559,2017-04-23,"Peruvian new sol, daily average",0.0
23560,2017-04-24,"Peruvian new sol, daily average",0.4162
23561,2017-04-25,"Peruvian new sol, daily average",0.4188
23562,2017-04-26,"Peruvian new sol, daily average",0.4183
23563,2017-04-27,"Peruvian new sol, daily average",0.4195
23564,2017-04-28,"Peruvian new sol, daily average",0.4211
23565,2017-04-29,"Peruvian new sol, daily average",0.0
23566,2017-04-30,"Peruvian new sol, daily average",0.0
23567,2017-05-01,"Peruvian new sol, daily average",0.4212
23568,2017-05-02,"Peruvian new sol, daily average",0.4225
23569,2017-05-03,"Peruvian new sol, daily average",0.422
