,Date,Currency,Value
25481,2017-01-03,"Russian ruble, daily average",0.0221
25482,2017-01-04,"Russian ruble, daily average",0.022
25483,2017-01-05,"Russian ruble, daily average",0.02225
25484,2017-01-06,"Russian ruble, daily average",0.02222
25485,2017-01-07,"Russian ruble, daily average",0.0
25486,2017-01-08,"Russian ruble, daily average",0.0
25487,2017-01-09,"Russian ruble, daily average",0.02209
25488,2017-01-10,"Russian ruble, daily average",0.022
25489,2017-01-11,"Russian ruble, daily average",0.02199
25490,2017-01-12,"Russian ruble, daily average",0.02211
25491,2017-01-13,"Russian ruble, daily average",0.02203
25492,2017-01-14,"Russian ruble, daily average",0.0
25493,2017-01-15,"Russian ruble, daily average",0.0
25494,2017-01-16,"Russian ruble, daily average",0.02201
25495,2017-01-17,"Russian ruble, daily average",0.02201
25496,2017-01-18,"Russian ruble, daily average",0.02219
25497,2017-01-19,"Russian ruble, daily average",0.02227
25498,2017-01-20,"Russian ruble, daily average",0.02232
25499,2017-01-21,"Russian ruble, daily average",0.0
25500,2017-01-22,"Russian ruble, daily average",0.0
25501,2017-01-23,"Russian ruble, daily average",0.02234
25502,2017-01-24,"Russian ruble, daily average",0.02223
25503,2017-01-25,"Russian ruble, daily average",0.02204
25504,2017-01-26,"Russian ruble, daily average",0.0217
25505,2017-01-27,"Russian ruble, daily average",0.02191
25506,2017-01-28,"Russian ruble, daily average",0.0
25507,2017-01-29,"Russian ruble, daily average",0.0
25508,2017-01-30,"Russian ruble, daily average",0.02189
25509,2017-01-31,"Russian ruble, daily average",0.02169
25510,2017-02-01,"Russian ruble, daily average",0.02171
25511,2017-02-02,"Russian ruble, daily average",0.02189
25512,2017-02-03,"Russian ruble, daily average",0.02205
25513,2017-02-04,"Russian ruble, daily average",0.0
25514,2017-02-05,"Russian ruble, daily average",0.0
25515,2017-02-06,"Russian ruble, daily average",0.02223
25516,2017-02-07,"Russian ruble, daily average",0.0222
25517,2017-02-08,"Russian ruble, daily average",0.0222
25518,2017-02-09,"Russian ruble, daily average",0.0223
25519,2017-02-10,"Russian ruble, daily average",0.0224
25520,2017-02-11,"Russian ruble, daily average",0.0
25521,2017-02-12,"Russian ruble, daily average",0.0
25522,2017-02-13,"Russian ruble, daily average",0.02253
25523,2017-02-14,"Russian ruble, daily average",0.0228
25524,2017-02-15,"Russian ruble, daily average",0.02281
25525,2017-02-16,"Russian ruble, daily average",0.02272
25526,2017-02-17,"Russian ruble, daily average",0.02245
25527,2017-02-18,"Russian ruble, daily average",0.0
25528,2017-02-19,"Russian ruble, daily average",0.0
25530,2017-02-21,"Russian ruble, daily average",0.02282
25531,2017-02-22,"Russian ruble, daily average",0.02274
25532,2017-02-23,"Russian ruble, daily average",0.02271
25533,2017-02-24,"Russian ruble, daily average",0.02241
25534,2017-02-25,"Russian ruble, daily average",0.0
25535,2017-02-26,"Russian ruble, daily average",0.0
25536,2017-02-27,"Russian ruble, daily average",0.02263
25537,2017-02-28,"Russian ruble, daily average",0.02273
25538,2017-03-01,"Russian ruble, daily average",0.02287
25539,2017-03-02,"Russian ruble, daily average",0.0228
25540,2017-03-03,"Russian ruble, daily average",0.02294
25541,2017-03-04,"Russian ruble, daily average",0.0
25542,2017-03-05,"Russian ruble, daily average",0.0
25543,2017-03-06,"Russian ruble, daily average",0.02303
25544,2017-03-07,"Russian ruble, daily average",0.0231
25545,2017-03-08,"Russian ruble, daily average",0.02299
25546,2017-03-09,"Russian ruble, daily average",0.02278
25547,2017-03-10,"Russian ruble, daily average",0.02283
25548,2017-03-11,"Russian ruble, daily average",0.0
25549,2017-03-12,"Russian ruble, daily average",0.0
25550,2017-03-13,"Russian ruble, daily average",0.02283
25551,2017-03-14,"Russian ruble, daily average",0.02271
25552,2017-03-15,"Russian ruble, daily average",0.0228
25553,2017-03-16,"Russian ruble, daily average",0.02302
25554,2017-03-17,"Russian ruble, daily average",0.02319
25555,2017-03-18,"Russian ruble, daily average",0.0
25556,2017-03-19,"Russian ruble, daily average",0.0
25557,2017-03-20,"Russian ruble, daily average",0.02327
25558,2017-03-21,"Russian ruble, daily average",0.02318
25559,2017-03-22,"Russian ruble, daily average",0.02308
25560,2017-03-23,"Russian ruble, daily average",0.02319
25561,2017-03-24,"Russian ruble, daily average",0.02344
25562,2017-03-25,"Russian ruble, daily average",0.0
25563,2017-03-26,"Russian ruble, daily average",0.0
25564,2017-03-27,"Russian ruble, daily average",0.0235
25565,2017-03-28,"Russian ruble, daily average",0.02347
25566,2017-03-29,"Russian ruble, daily average",0.02356
25567,2017-03-30,"Russian ruble, daily average",0.02372
25568,2017-03-31,"Russian ruble, daily average",0.02362
25569,2017-04-01,"Russian ruble, daily average",0.0
25570,2017-04-02,"Russian ruble, daily average",0.0
25571,2017-04-03,"Russian ruble, daily average",0.02378
25572,2017-04-04,"Russian ruble, daily average",0.02389
25573,2017-04-05,"Russian ruble, daily average",0.02387
25574,2017-04-06,"Russian ruble, daily average",0.02382
25575,2017-04-07,"Russian ruble, daily average",0.02344
25576,2017-04-08,"Russian ruble, daily average",0.0
25577,2017-04-09,"Russian ruble, daily average",0.0
25578,2017-04-10,"Russian ruble, daily average",0.02332
25579,2017-04-11,"Russian ruble, daily average",0.02338
25580,2017-04-12,"Russian ruble, daily average",0.02339
25581,2017-04-13,"Russian ruble, daily average",0.02359
25583,2017-04-15,"Russian ruble, daily average",0.0
25584,2017-04-16,"Russian ruble, daily average",0.0
25585,2017-04-17,"Russian ruble, daily average",0.02373
25586,2017-04-18,"Russian ruble, daily average",0.02381
25587,2017-04-19,"Russian ruble, daily average",0.02384
25588,2017-04-20,"Russian ruble, daily average",0.024
25589,2017-04-21,"Russian ruble, daily average",0.02392
25590,2017-04-22,"Russian ruble, daily average",0.0
25591,2017-04-23,"Russian ruble, daily average",0.0
25592,2017-04-24,"Russian ruble, daily average",0.02414
25593,2017-04-25,"Russian ruble, daily average",0.02422
25594,2017-04-26,"Russian ruble, daily average",0.02383
25595,2017-04-27,"Russian ruble, daily average",0.02387
25596,2017-04-28,"Russian ruble, daily average",0.024
25597,2017-04-29,"Russian ruble, daily average",0.0
25598,2017-04-30,"Russian ruble, daily average",0.0
25599,2017-05-01,"Russian ruble, daily average",0.024
25600,2017-05-02,"Russian ruble, daily average",0.02405
25601,2017-05-03,"Russian ruble, daily average",0.02394
25602,2017-05-04,"Russian ruble, daily average",0.02362
25603,2017-05-05,"Russian ruble, daily average",0.02356
25604,2017-05-06,"Russian ruble, daily average",0.0
25605,2017-05-07,"Russian ruble, daily average",0.0
25606,2017-05-08,"Russian ruble, daily average",0.02351
25607,2017-05-09,"Russian ruble, daily average",0.02352
25608,2017-05-10,"Russian ruble, daily average",0.02375
25609,2017-05-11,"Russian ruble, daily average",0.024
25610,2017-05-12,"Russian ruble, daily average",0.024
25611,2017-05-13,"Russian ruble, daily average",0.0
25612,2017-05-14,"Russian ruble, daily average",0.0
25613,2017-05-15,"Russian ruble, daily average",0.0242
25614,2017-05-16,"Russian ruble, daily average",0.02413
25615,2017-05-17,"Russian ruble, daily average",0.02391
25616,2017-05-18,"Russian ruble, daily average",0.02358
25617,2017-05-19,"Russian ruble, daily average",0.0238
25618,2017-05-20,"Russian ruble, daily average",0.0
25619,2017-05-21,"Russian ruble, daily average",0.0
25621,2017-05-23,"Russian ruble, daily average",0.02394
25622,2017-05-24,"Russian ruble, daily average",0.02383
25623,2017-05-25,"Russian ruble, daily average",0.02379
25624,2017-05-26,"Russian ruble, daily average",0.02374
25625,2017-05-27,"Russian ruble, daily average",0.0
25626,2017-05-28,"Russian ruble, daily average",0.0
25627,2017-05-29,"Russian ruble, daily average",0.02381
25628,2017-05-30,"Russian ruble, daily average",0.0238
25629,2017-05-31,"Russian ruble, daily average",0.02377
25630,2017-06-01,"Russian ruble, daily average",0.02394
25631,2017-06-02,"Russian ruble, daily average",0.02384
25632,2017-06-03,"Russian ruble, daily average",0.0
25633,2017-06-04,"Russian ruble, daily average",0.0
25634,2017-06-05,"Russian ruble, daily average",0.0238
25635,2017-06-06,"Russian ruble, daily average",0.02379
25636,2017-06-07,"Russian ruble, daily average",0.0237
25637,2017-06-08,"Russian ruble, daily average",0.02371
25638,2017-06-09,"Russian ruble, daily average",0.02361
25639,2017-06-10,"Russian ruble, daily average",0.0
25640,2017-06-11,"Russian ruble, daily average",0.0
25641,2017-06-12,"Russian ruble, daily average",0.02354
25642,2017-06-13,"Russian ruble, daily average",0.02327
25643,2017-06-14,"Russian ruble, daily average",0.02312
25644,2017-06-15,"Russian ruble, daily average",0.02299
25645,2017-06-16,"Russian ruble, daily average",0.02293
25646,2017-06-17,"Russian ruble, daily average",0.0
25647,2017-06-18,"Russian ruble, daily average",0.0
25648,2017-06-19,"Russian ruble, daily average",0.02264
25649,2017-06-20,"Russian ruble, daily average",0.0223
25650,2017-06-21,"Russian ruble, daily average",0.02221
25651,2017-06-22,"Russian ruble, daily average",0.02211
25652,2017-06-23,"Russian ruble, daily average",0.0223
25653,2017-06-24,"Russian ruble, daily average",0.0
25654,2017-06-25,"Russian ruble, daily average",0.0
25655,2017-06-26,"Russian ruble, daily average",0.02245
25656,2017-06-27,"Russian ruble, daily average",0.02231
25657,2017-06-28,"Russian ruble, daily average",0.02199
25658,2017-06-29,"Russian ruble, daily average",0.02196
25659,2017-06-30,"Russian ruble, daily average",0.02196
25660,2017-07-01,"Russian ruble, daily average",0.0
25661,2017-07-02,"Russian ruble, daily average",0.0
25663,2017-07-04,"Russian ruble, daily average",0.02182
25664,2017-07-05,"Russian ruble, daily average",0.0216
25665,2017-07-06,"Russian ruble, daily average",0.02158
25666,2017-07-07,"Russian ruble, daily average",0.02132
25667,2017-07-08,"Russian ruble, daily average",0.0
25668,2017-07-09,"Russian ruble, daily average",0.0
25669,2017-07-10,"Russian ruble, daily average",0.02139
25670,2017-07-11,"Russian ruble, daily average",0.02125
25671,2017-07-12,"Russian ruble, daily average",0.02129
25672,2017-07-13,"Russian ruble, daily average",0.02127
25673,2017-07-14,"Russian ruble, daily average",0.02141
25674,2017-07-15,"Russian ruble, daily average",0.0
25675,2017-07-16,"Russian ruble, daily average",0.0
25676,2017-07-17,"Russian ruble, daily average",0.02136
25677,2017-07-18,"Russian ruble, daily average",0.02134
25678,2017-07-19,"Russian ruble, daily average",0.02134
25679,2017-07-20,"Russian ruble, daily average",0.02134
25680,2017-07-21,"Russian ruble, daily average",0.02122
25681,2017-07-22,"Russian ruble, daily average",0.0
25682,2017-07-23,"Russian ruble, daily average",0.0
25683,2017-07-24,"Russian ruble, daily average",0.02084
25684,2017-07-25,"Russian ruble, daily average",0.02085
25685,2017-07-26,"Russian ruble, daily average",0.02094
25686,2017-07-27,"Russian ruble, daily average",0.02105
25687,2017-07-28,"Russian ruble, daily average",0.02091
25688,2017-07-29,"Russian ruble, daily average",0.0
25689,2017-07-30,"Russian ruble, daily average",0.0
25690,2017-07-31,"Russian ruble, daily average",0.02079
25691,2017-08-01,"Russian ruble, daily average",0.02079
25692,2017-08-02,"Russian ruble, daily average",0.02073
25693,2017-08-03,"Russian ruble, daily average",0.02089
25694,2017-08-04,"Russian ruble, daily average",0.02106
25695,2017-08-05,"Russian ruble, daily average",0.0
25696,2017-08-06,"Russian ruble, daily average",0.0
25698,2017-08-08,"Russian ruble, daily average",0.02118
25699,2017-08-09,"Russian ruble, daily average",0.02113
25700,2017-08-10,"Russian ruble, daily average",0.0212
25701,2017-08-11,"Russian ruble, daily average",0.0212
25702,2017-08-12,"Russian ruble, daily average",0.0
25703,2017-08-13,"Russian ruble, daily average",0.0
25704,2017-08-14,"Russian ruble, daily average",0.02129
25705,2017-08-15,"Russian ruble, daily average",0.02129
25706,2017-08-16,"Russian ruble, daily average",0.02136
25707,2017-08-17,"Russian ruble, daily average",0.02136
25708,2017-08-18,"Russian ruble, daily average",0.02126
25709,2017-08-19,"Russian ruble, daily average",0.0
25710,2017-08-20,"Russian ruble, daily average",0.0
25711,2017-08-21,"Russian ruble, daily average",0.0213
25712,2017-08-22,"Russian ruble, daily average",0.02128
25713,2017-08-23,"Russian ruble, daily average",0.02129
25714,2017-08-24,"Russian ruble, daily average",0.02119
25715,2017-08-25,"Russian ruble, daily average",0.02125
25716,2017-08-26,"Russian ruble, daily average",0.0
25717,2017-08-27,"Russian ruble, daily average",0.0
25718,2017-08-28,"Russian ruble, daily average",0.02134
25719,2017-08-29,"Russian ruble, daily average",0.02129
25720,2017-08-30,"Russian ruble, daily average",0.02156
25721,2017-08-31,"Russian ruble, daily average",0.02157
25722,2017-09-01,"Russian ruble, daily average",0.02152
25723,2017-09-02,"Russian ruble, daily average",0.0
25724,2017-09-03,"Russian ruble, daily average",0.0
25726,2017-09-05,"Russian ruble, daily average",0.0215
25727,2017-09-06,"Russian ruble, daily average",0.02137
25728,2017-09-07,"Russian ruble, daily average",0.02133
25729,2017-09-08,"Russian ruble, daily average",0.02119
25730,2017-09-09,"Russian ruble, daily average",0.0
25731,2017-09-10,"Russian ruble, daily average",0.0
25732,2017-09-11,"Russian ruble, daily average",0.0212
25733,2017-09-12,"Russian ruble, daily average",0.0211
25734,2017-09-13,"Russian ruble, daily average",0.02109
25735,2017-09-14,"Russian ruble, daily average",0.02118
25736,2017-09-15,"Russian ruble, daily average",0.02116
25737,2017-09-16,"Russian ruble, daily average",0.0
25738,2017-09-17,"Russian ruble, daily average",0.0
25739,2017-09-18,"Russian ruble, daily average",0.02112
25740,2017-09-19,"Russian ruble, daily average",0.02111
25741,2017-09-20,"Russian ruble, daily average",0.0212
25742,2017-09-21,"Russian ruble, daily average",0.02129
25743,2017-09-22,"Russian ruble, daily average",0.02139
25744,2017-09-23,"Russian ruble, daily average",0.0
25745,2017-09-24,"Russian ruble, daily average",0.0
25746,2017-09-25,"Russian ruble, daily average",0.02145
25747,2017-09-26,"Russian ruble, daily average",0.02139
25748,2017-09-27,"Russian ruble, daily average",0.02133
25749,2017-09-28,"Russian ruble, daily average",0.02146
25750,2017-09-29,"Russian ruble, daily average",0.02167
25751,2017-09-30,"Russian ruble, daily average",0.0
25752,2017-10-01,"Russian ruble, daily average",0.0
25753,2017-10-02,"Russian ruble, daily average",0.0216
25754,2017-10-03,"Russian ruble, daily average",0.02159
25755,2017-10-04,"Russian ruble, daily average",0.02165
25756,2017-10-05,"Russian ruble, daily average",0.0218
25757,2017-10-06,"Russian ruble, daily average",0.02158
25758,2017-10-07,"Russian ruble, daily average",0.0
25759,2017-10-08,"Russian ruble, daily average",0.0
25761,2017-10-10,"Russian ruble, daily average",0.0216
25762,2017-10-11,"Russian ruble, daily average",0.0216
25763,2017-10-12,"Russian ruble, daily average",0.0216
25764,2017-10-13,"Russian ruble, daily average",0.02181
25765,2017-10-14,"Russian ruble, daily average",0.0
25766,2017-10-15,"Russian ruble, daily average",0.0
25767,2017-10-16,"Russian ruble, daily average",0.02187
25768,2017-10-17,"Russian ruble, daily average",0.02186
25769,2017-10-18,"Russian ruble, daily average",0.02174
25770,2017-10-19,"Russian ruble, daily average",0.02174
25771,2017-10-20,"Russian ruble, daily average",0.0219
25772,2017-10-21,"Russian ruble, daily average",0.0
25773,2017-10-22,"Russian ruble, daily average",0.0
25774,2017-10-23,"Russian ruble, daily average",0.022
25775,2017-10-24,"Russian ruble, daily average",0.022
25776,2017-10-25,"Russian ruble, daily average",0.02215
25777,2017-10-26,"Russian ruble, daily average",0.02221
25778,2017-10-27,"Russian ruble, daily average",0.02208
25779,2017-10-28,"Russian ruble, daily average",0.0
25780,2017-10-29,"Russian ruble, daily average",0.0
25781,2017-10-30,"Russian ruble, daily average",0.02218
25782,2017-10-31,"Russian ruble, daily average",0.02208
25783,2017-11-01,"Russian ruble, daily average",0.02214
25784,2017-11-02,"Russian ruble, daily average",0.022
25785,2017-11-03,"Russian ruble, daily average",0.02164
25786,2017-11-04,"Russian ruble, daily average",0.0
25787,2017-11-05,"Russian ruble, daily average",0.0
25788,2017-11-06,"Russian ruble, daily average",0.02174
25789,2017-11-07,"Russian ruble, daily average",0.02158
25790,2017-11-08,"Russian ruble, daily average",0.0215
25791,2017-11-09,"Russian ruble, daily average",0.0214
25792,2017-11-10,"Russian ruble, daily average",0.02142
25793,2017-11-11,"Russian ruble, daily average",0.0
25794,2017-11-12,"Russian ruble, daily average",0.0
25796,2017-11-14,"Russian ruble, daily average",0.02122
25797,2017-11-15,"Russian ruble, daily average",0.02123
25798,2017-11-16,"Russian ruble, daily average",0.02136
25799,2017-11-17,"Russian ruble, daily average",0.02159
25800,2017-11-18,"Russian ruble, daily average",0.0
25801,2017-11-19,"Russian ruble, daily average",0.0
25802,2017-11-20,"Russian ruble, daily average",0.02154
25803,2017-11-21,"Russian ruble, daily average",0.0216
25804,2017-11-22,"Russian ruble, daily average",0.0217
25805,2017-11-23,"Russian ruble, daily average",0.02177
