,Date,Currency,Value
27513,2017-01-03,"Saudi riyal, daily average",0.3582
27514,2017-01-04,"Saudi riyal, daily average",0.355
27515,2017-01-05,"Saudi riyal, daily average",0.3531
27516,2017-01-06,"Saudi riyal, daily average",0.3526
27517,2017-01-07,"Saudi riyal, daily average",0.0
27518,2017-01-08,"Saudi riyal, daily average",0.0
27519,2017-01-09,"Saudi riyal, daily average",0.3527
27520,2017-01-10,"Saudi riyal, daily average",0.3524
27521,2017-01-11,"Saudi riyal, daily average",0.3523
27522,2017-01-12,"Saudi riyal, daily average",0.3498
27523,2017-01-13,"Saudi riyal, daily average",0.3502
27524,2017-01-14,"Saudi riyal, daily average",0.0
27525,2017-01-15,"Saudi riyal, daily average",0.0
27526,2017-01-16,"Saudi riyal, daily average",0.3509
27527,2017-01-17,"Saudi riyal, daily average",0.3481
27528,2017-01-18,"Saudi riyal, daily average",0.351
27529,2017-01-19,"Saudi riyal, daily average",0.3551
27530,2017-01-20,"Saudi riyal, daily average",0.3558
27531,2017-01-21,"Saudi riyal, daily average",0.0
27532,2017-01-22,"Saudi riyal, daily average",0.0
27533,2017-01-23,"Saudi riyal, daily average",0.3544
27534,2017-01-24,"Saudi riyal, daily average",0.3513
27535,2017-01-25,"Saudi riyal, daily average",0.349
27536,2017-01-26,"Saudi riyal, daily average",0.3494
27537,2017-01-27,"Saudi riyal, daily average",0.3499
27538,2017-01-28,"Saudi riyal, daily average",0.0
27539,2017-01-29,"Saudi riyal, daily average",0.0
27540,2017-01-30,"Saudi riyal, daily average",0.3497
27541,2017-01-31,"Saudi riyal, daily average",0.3475
27542,2017-02-01,"Saudi riyal, daily average",0.3486
27543,2017-02-02,"Saudi riyal, daily average",0.3471
27544,2017-02-03,"Saudi riyal, daily average",0.3471
27545,2017-02-04,"Saudi riyal, daily average",0.0
27546,2017-02-05,"Saudi riyal, daily average",0.0
27547,2017-02-06,"Saudi riyal, daily average",0.3493
27548,2017-02-07,"Saudi riyal, daily average",0.3511
27549,2017-02-08,"Saudi riyal, daily average",0.3508
27550,2017-02-09,"Saudi riyal, daily average",0.35
27551,2017-02-10,"Saudi riyal, daily average",0.3489
27552,2017-02-11,"Saudi riyal, daily average",0.0
27553,2017-02-12,"Saudi riyal, daily average",0.0
27554,2017-02-13,"Saudi riyal, daily average",0.3488
27555,2017-02-14,"Saudi riyal, daily average",0.3485
27556,2017-02-15,"Saudi riyal, daily average",0.349
27557,2017-02-16,"Saudi riyal, daily average",0.3481
27558,2017-02-17,"Saudi riyal, daily average",0.3494
27559,2017-02-18,"Saudi riyal, daily average",0.0
27560,2017-02-19,"Saudi riyal, daily average",0.0
27562,2017-02-21,"Saudi riyal, daily average",0.3506
27563,2017-02-22,"Saudi riyal, daily average",0.3515
27564,2017-02-23,"Saudi riyal, daily average",0.3496
27565,2017-02-24,"Saudi riyal, daily average",0.3492
27566,2017-02-25,"Saudi riyal, daily average",0.0
27567,2017-02-26,"Saudi riyal, daily average",0.0
27568,2017-02-27,"Saudi riyal, daily average",0.3498
27569,2017-02-28,"Saudi riyal, daily average",0.3533
27570,2017-03-01,"Saudi riyal, daily average",0.3557
27571,2017-03-02,"Saudi riyal, daily average",0.3569
27572,2017-03-03,"Saudi riyal, daily average",0.3574
27573,2017-03-04,"Saudi riyal, daily average",0.0
27574,2017-03-05,"Saudi riyal, daily average",0.0
27575,2017-03-06,"Saudi riyal, daily average",0.3574
27576,2017-03-07,"Saudi riyal, daily average",0.3578
27577,2017-03-08,"Saudi riyal, daily average",0.3593
27578,2017-03-09,"Saudi riyal, daily average",0.3603
27579,2017-03-10,"Saudi riyal, daily average",0.359
27580,2017-03-11,"Saudi riyal, daily average",0.0
27581,2017-03-12,"Saudi riyal, daily average",0.0
27582,2017-03-13,"Saudi riyal, daily average",0.3585
27583,2017-03-14,"Saudi riyal, daily average",0.3595
27584,2017-03-15,"Saudi riyal, daily average",0.3581
27585,2017-03-16,"Saudi riyal, daily average",0.3551
27586,2017-03-17,"Saudi riyal, daily average",0.3557
27587,2017-03-18,"Saudi riyal, daily average",0.0
27588,2017-03-19,"Saudi riyal, daily average",0.0
27589,2017-03-20,"Saudi riyal, daily average",0.3562
27590,2017-03-21,"Saudi riyal, daily average",0.3551
27591,2017-03-22,"Saudi riyal, daily average",0.3563
27592,2017-03-23,"Saudi riyal, daily average",0.3556
27593,2017-03-24,"Saudi riyal, daily average",0.3566
27594,2017-03-25,"Saudi riyal, daily average",0.0
27595,2017-03-26,"Saudi riyal, daily average",0.0
27596,2017-03-27,"Saudi riyal, daily average",0.3566
27597,2017-03-28,"Saudi riyal, daily average",0.3566
27598,2017-03-29,"Saudi riyal, daily average",0.3564
27599,2017-03-30,"Saudi riyal, daily average",0.3547
27600,2017-03-31,"Saudi riyal, daily average",0.3549
27601,2017-04-01,"Saudi riyal, daily average",0.0
27602,2017-04-02,"Saudi riyal, daily average",0.0
27603,2017-04-03,"Saudi riyal, daily average",0.3569
27604,2017-04-04,"Saudi riyal, daily average",0.358
27605,2017-04-05,"Saudi riyal, daily average",0.3575
27606,2017-04-06,"Saudi riyal, daily average",0.3578
27607,2017-04-07,"Saudi riyal, daily average",0.3572
27608,2017-04-08,"Saudi riyal, daily average",0.0
27609,2017-04-09,"Saudi riyal, daily average",0.0
27610,2017-04-10,"Saudi riyal, daily average",0.3559
27611,2017-04-11,"Saudi riyal, daily average",0.3555
27612,2017-04-12,"Saudi riyal, daily average",0.3546
27613,2017-04-13,"Saudi riyal, daily average",0.354
27615,2017-04-15,"Saudi riyal, daily average",0.0
27616,2017-04-16,"Saudi riyal, daily average",0.0
27617,2017-04-17,"Saudi riyal, daily average",0.3543
27618,2017-04-18,"Saudi riyal, daily average",0.3567
27619,2017-04-19,"Saudi riyal, daily average",0.3589
27620,2017-04-20,"Saudi riyal, daily average",0.3595
27621,2017-04-21,"Saudi riyal, daily average",0.3601
27622,2017-04-22,"Saudi riyal, daily average",0.0
27623,2017-04-23,"Saudi riyal, daily average",0.0
27624,2017-04-24,"Saudi riyal, daily average",0.3598
27625,2017-04-25,"Saudi riyal, daily average",0.3624
27626,2017-04-26,"Saudi riyal, daily average",0.3625
27627,2017-04-27,"Saudi riyal, daily average",0.3633
27628,2017-04-28,"Saudi riyal, daily average",0.3643
27629,2017-04-29,"Saudi riyal, daily average",0.0
27630,2017-04-30,"Saudi riyal, daily average",0.0
27631,2017-05-01,"Saudi riyal, daily average",0.3643
27632,2017-05-02,"Saudi riyal, daily average",0.3658
27633,2017-05-03,"Saudi riyal, daily average",0.3657
27634,2017-05-04,"Saudi riyal, daily average",0.3665
27635,2017-05-05,"Saudi riyal, daily average",0.3656
27636,2017-05-06,"Saudi riyal, daily average",0.0
27637,2017-05-07,"Saudi riyal, daily average",0.0
27638,2017-05-08,"Saudi riyal, daily average",0.3654
27639,2017-05-09,"Saudi riyal, daily average",0.366
27640,2017-05-10,"Saudi riyal, daily average",0.3645
27641,2017-05-11,"Saudi riyal, daily average",0.3655
27642,2017-05-12,"Saudi riyal, daily average",0.3657
27643,2017-05-13,"Saudi riyal, daily average",0.0
27644,2017-05-14,"Saudi riyal, daily average",0.0
27645,2017-05-15,"Saudi riyal, daily average",0.3637
27646,2017-05-16,"Saudi riyal, daily average",0.3625
27647,2017-05-17,"Saudi riyal, daily average",0.363
27648,2017-05-18,"Saudi riyal, daily average",0.3629
27649,2017-05-19,"Saudi riyal, daily average",0.3612
27650,2017-05-20,"Saudi riyal, daily average",0.0
27651,2017-05-21,"Saudi riyal, daily average",0.0
27653,2017-05-23,"Saudi riyal, daily average",0.3597
27654,2017-05-24,"Saudi riyal, daily average",0.3589
27655,2017-05-25,"Saudi riyal, daily average",0.3587
27656,2017-05-26,"Saudi riyal, daily average",0.3588
27657,2017-05-27,"Saudi riyal, daily average",0.0
27658,2017-05-28,"Saudi riyal, daily average",0.0
27659,2017-05-29,"Saudi riyal, daily average",0.3585
27660,2017-05-30,"Saudi riyal, daily average",0.3592
27661,2017-05-31,"Saudi riyal, daily average",0.36
27662,2017-06-01,"Saudi riyal, daily average",0.36
27663,2017-06-02,"Saudi riyal, daily average",0.3601
27664,2017-06-03,"Saudi riyal, daily average",0.0
27665,2017-06-04,"Saudi riyal, daily average",0.0
27666,2017-06-05,"Saudi riyal, daily average",0.3595
27667,2017-06-06,"Saudi riyal, daily average",0.3589
27668,2017-06-07,"Saudi riyal, daily average",0.3597
27669,2017-06-08,"Saudi riyal, daily average",0.36
27670,2017-06-09,"Saudi riyal, daily average",0.3587
27671,2017-06-10,"Saudi riyal, daily average",0.0
27672,2017-06-11,"Saudi riyal, daily average",0.0
27673,2017-06-12,"Saudi riyal, daily average",0.3577
27674,2017-06-13,"Saudi riyal, daily average",0.353
27675,2017-06-14,"Saudi riyal, daily average",0.3522
27676,2017-06-15,"Saudi riyal, daily average",0.3542
27677,2017-06-16,"Saudi riyal, daily average",0.3528
27678,2017-06-17,"Saudi riyal, daily average",0.0
27679,2017-06-18,"Saudi riyal, daily average",0.0
27680,2017-06-19,"Saudi riyal, daily average",0.3525
27681,2017-06-20,"Saudi riyal, daily average",0.3538
27682,2017-06-21,"Saudi riyal, daily average",0.3549
27683,2017-06-22,"Saudi riyal, daily average",0.353
27684,2017-06-23,"Saudi riyal, daily average",0.3538
27685,2017-06-24,"Saudi riyal, daily average",0.0
27686,2017-06-25,"Saudi riyal, daily average",0.0
27687,2017-06-26,"Saudi riyal, daily average",0.3528
27688,2017-06-27,"Saudi riyal, daily average",0.3516
27689,2017-06-28,"Saudi riyal, daily average",0.3482
27690,2017-06-29,"Saudi riyal, daily average",0.347
27691,2017-06-30,"Saudi riyal, daily average",0.346
27692,2017-07-01,"Saudi riyal, daily average",0.0
27693,2017-07-02,"Saudi riyal, daily average",0.0
27695,2017-07-04,"Saudi riyal, daily average",0.3451
27696,2017-07-05,"Saudi riyal, daily average",0.3462
27697,2017-07-06,"Saudi riyal, daily average",0.3452
27698,2017-07-07,"Saudi riyal, daily average",0.3436
27699,2017-07-08,"Saudi riyal, daily average",0.0
27700,2017-07-09,"Saudi riyal, daily average",0.0
27701,2017-07-10,"Saudi riyal, daily average",0.3437
27702,2017-07-11,"Saudi riyal, daily average",0.3445
27703,2017-07-12,"Saudi riyal, daily average",0.3412
27704,2017-07-13,"Saudi riyal, daily average",0.3398
27705,2017-07-14,"Saudi riyal, daily average",0.3379
27706,2017-07-15,"Saudi riyal, daily average",0.0
27707,2017-07-16,"Saudi riyal, daily average",0.0
27708,2017-07-17,"Saudi riyal, daily average",0.3378
27709,2017-07-18,"Saudi riyal, daily average",0.3367
27710,2017-07-19,"Saudi riyal, daily average",0.3359
27711,2017-07-20,"Saudi riyal, daily average",0.3356
27712,2017-07-21,"Saudi riyal, daily average",0.3346
27713,2017-07-22,"Saudi riyal, daily average",0.0
27714,2017-07-23,"Saudi riyal, daily average",0.0
27715,2017-07-24,"Saudi riyal, daily average",0.3336
27716,2017-07-25,"Saudi riyal, daily average",0.3335
27717,2017-07-26,"Saudi riyal, daily average",0.3334
