,Date,Currency,Value
29545,2017-01-03,"Singapore dollar, daily average",0.9264
29546,2017-01-04,"Singapore dollar, daily average",0.924
29547,2017-01-05,"Singapore dollar, daily average",0.926
29548,2017-01-06,"Singapore dollar, daily average",0.9202
29549,2017-01-07,"Singapore dollar, daily average",0.0
29550,2017-01-08,"Singapore dollar, daily average",0.0
29551,2017-01-09,"Singapore dollar, daily average",0.9214
29552,2017-01-10,"Singapore dollar, daily average",0.9206
29553,2017-01-11,"Singapore dollar, daily average",0.9214
29554,2017-01-12,"Singapore dollar, daily average",0.921
29555,2017-01-13,"Singapore dollar, daily average",0.9188
29556,2017-01-14,"Singapore dollar, daily average",0.0
29557,2017-01-15,"Singapore dollar, daily average",0.0
29558,2017-01-16,"Singapore dollar, daily average",0.9206
29559,2017-01-17,"Singapore dollar, daily average",0.9212
29560,2017-01-18,"Singapore dollar, daily average",0.9246
29561,2017-01-19,"Singapore dollar, daily average",0.9325
29562,2017-01-20,"Singapore dollar, daily average",0.9354
29563,2017-01-21,"Singapore dollar, daily average",0.0
29564,2017-01-22,"Singapore dollar, daily average",0.0
29565,2017-01-23,"Singapore dollar, daily average",0.9362
29566,2017-01-24,"Singapore dollar, daily average",0.9286
29567,2017-01-25,"Singapore dollar, daily average",0.9232
29568,2017-01-26,"Singapore dollar, daily average",0.9202
29569,2017-01-27,"Singapore dollar, daily average",0.9184
29570,2017-01-28,"Singapore dollar, daily average",0.0
29571,2017-01-29,"Singapore dollar, daily average",0.0
29572,2017-01-30,"Singapore dollar, daily average",0.9215
29573,2017-01-31,"Singapore dollar, daily average",0.924
29574,2017-02-01,"Singapore dollar, daily average",0.9242
29575,2017-02-02,"Singapore dollar, daily average",0.9235
29576,2017-02-03,"Singapore dollar, daily average",0.9242
29577,2017-02-04,"Singapore dollar, daily average",0.0
29578,2017-02-05,"Singapore dollar, daily average",0.0
29579,2017-02-06,"Singapore dollar, daily average",0.9288
29580,2017-02-07,"Singapore dollar, daily average",0.9292
29581,2017-02-08,"Singapore dollar, daily average",0.9289
29582,2017-02-09,"Singapore dollar, daily average",0.9255
29583,2017-02-10,"Singapore dollar, daily average",0.9208
29584,2017-02-11,"Singapore dollar, daily average",0.0
29585,2017-02-12,"Singapore dollar, daily average",0.0
29586,2017-02-13,"Singapore dollar, daily average",0.9189
29587,2017-02-14,"Singapore dollar, daily average",0.9205
29588,2017-02-15,"Singapore dollar, daily average",0.9206
29589,2017-02-16,"Singapore dollar, daily average",0.9206
29590,2017-02-17,"Singapore dollar, daily average",0.9237
29591,2017-02-18,"Singapore dollar, daily average",0.0
29592,2017-02-19,"Singapore dollar, daily average",0.0
29594,2017-02-21,"Singapore dollar, daily average",0.9252
29595,2017-02-22,"Singapore dollar, daily average",0.9311
29596,2017-02-23,"Singapore dollar, daily average",0.9314
29597,2017-02-24,"Singapore dollar, daily average",0.9328
29598,2017-02-25,"Singapore dollar, daily average",0.0
29599,2017-02-26,"Singapore dollar, daily average",0.0
29600,2017-02-27,"Singapore dollar, daily average",0.9351
29601,2017-02-28,"Singapore dollar, daily average",0.9466
29602,2017-03-01,"Singapore dollar, daily average",0.9465
29603,2017-03-02,"Singapore dollar, daily average",0.9477
29604,2017-03-03,"Singapore dollar, daily average",0.9484
29605,2017-03-04,"Singapore dollar, daily average",0.0
29606,2017-03-05,"Singapore dollar, daily average",0.0
29607,2017-03-06,"Singapore dollar, daily average",0.9498
29608,2017-03-07,"Singapore dollar, daily average",0.9508
29609,2017-03-08,"Singapore dollar, daily average",0.9506
29610,2017-03-09,"Singapore dollar, daily average",0.9517
29611,2017-03-10,"Singapore dollar, daily average",0.9522
29612,2017-03-11,"Singapore dollar, daily average",0.0
29613,2017-03-12,"Singapore dollar, daily average",0.0
29614,2017-03-13,"Singapore dollar, daily average",0.9512
29615,2017-03-14,"Singapore dollar, daily average",0.953
29616,2017-03-15,"Singapore dollar, daily average",0.9519
29617,2017-03-16,"Singapore dollar, daily average",0.95
29618,2017-03-17,"Singapore dollar, daily average",0.9516
29619,2017-03-18,"Singapore dollar, daily average",0.0
29620,2017-03-19,"Singapore dollar, daily average",0.0
29621,2017-03-20,"Singapore dollar, daily average",0.956
29622,2017-03-21,"Singapore dollar, daily average",0.9527
29623,2017-03-22,"Singapore dollar, daily average",0.9554
29624,2017-03-23,"Singapore dollar, daily average",0.953
29625,2017-03-24,"Singapore dollar, daily average",0.956
29626,2017-03-25,"Singapore dollar, daily average",0.0
29627,2017-03-26,"Singapore dollar, daily average",0.0
29628,2017-03-27,"Singapore dollar, daily average",0.9601
29629,2017-03-28,"Singapore dollar, daily average",0.9592
29630,2017-03-29,"Singapore dollar, daily average",0.958
29631,2017-03-30,"Singapore dollar, daily average",0.9535
29632,2017-03-31,"Singapore dollar, daily average",0.9525
29633,2017-04-01,"Singapore dollar, daily average",0.0
29634,2017-04-02,"Singapore dollar, daily average",0.0
29635,2017-04-03,"Singapore dollar, daily average",0.9581
29636,2017-04-04,"Singapore dollar, daily average",0.9596
29637,2017-04-05,"Singapore dollar, daily average",0.9569
29638,2017-04-06,"Singapore dollar, daily average",0.9571
29639,2017-04-07,"Singapore dollar, daily average",0.9545
29640,2017-04-08,"Singapore dollar, daily average",0.0
29641,2017-04-09,"Singapore dollar, daily average",0.0
29642,2017-04-10,"Singapore dollar, daily average",0.9499
29643,2017-04-11,"Singapore dollar, daily average",0.9499
29644,2017-04-12,"Singapore dollar, daily average",0.9498
29645,2017-04-13,"Singapore dollar, daily average",0.9499
29647,2017-04-15,"Singapore dollar, daily average",0.0
29648,2017-04-16,"Singapore dollar, daily average",0.0
29649,2017-04-17,"Singapore dollar, daily average",0.9518
29650,2017-04-18,"Singapore dollar, daily average",0.9574
29651,2017-04-19,"Singapore dollar, daily average",0.9628
29652,2017-04-20,"Singapore dollar, daily average",0.9649
29653,2017-04-21,"Singapore dollar, daily average",0.9668
29654,2017-04-22,"Singapore dollar, daily average",0.0
29655,2017-04-23,"Singapore dollar, daily average",0.0
29656,2017-04-24,"Singapore dollar, daily average",0.9685
29657,2017-04-25,"Singapore dollar, daily average",0.9754
29658,2017-04-26,"Singapore dollar, daily average",0.9729
29659,2017-04-27,"Singapore dollar, daily average",0.9752
29660,2017-04-28,"Singapore dollar, daily average",0.9779
29661,2017-04-29,"Singapore dollar, daily average",0.0
29662,2017-04-30,"Singapore dollar, daily average",0.0
29663,2017-05-01,"Singapore dollar, daily average",0.9784
29664,2017-05-02,"Singapore dollar, daily average",0.9835
29665,2017-05-03,"Singapore dollar, daily average",0.9828
29666,2017-05-04,"Singapore dollar, daily average",0.9812
29667,2017-05-05,"Singapore dollar, daily average",0.976
29668,2017-05-06,"Singapore dollar, daily average",0.0
29669,2017-05-07,"Singapore dollar, daily average",0.0
29670,2017-05-08,"Singapore dollar, daily average",0.9754
29671,2017-05-09,"Singapore dollar, daily average",0.9726
29672,2017-05-10,"Singapore dollar, daily average",0.9693
29673,2017-05-11,"Singapore dollar, daily average",0.9733
29674,2017-05-12,"Singapore dollar, daily average",0.9762
29675,2017-05-13,"Singapore dollar, daily average",0.0
29676,2017-05-14,"Singapore dollar, daily average",0.0
29677,2017-05-15,"Singapore dollar, daily average",0.9756
29678,2017-05-16,"Singapore dollar, daily average",0.9742
29679,2017-05-17,"Singapore dollar, daily average",0.9779
29680,2017-05-18,"Singapore dollar, daily average",0.9773
