,Date,Currency,Value
31577,2017-01-03,"South African rand, daily average",0.0974
31578,2017-01-04,"South African rand, daily average",0.09767
31579,2017-01-05,"South African rand, daily average",0.09743
31580,2017-01-06,"South African rand, daily average",0.09647
31581,2017-01-07,"South African rand, daily average",0.0
31582,2017-01-08,"South African rand, daily average",0.0
31583,2017-01-09,"South African rand, daily average",0.09681
31584,2017-01-10,"South African rand, daily average",0.09651
31585,2017-01-11,"South African rand, daily average",0.09568
31586,2017-01-12,"South African rand, daily average",0.09738
31587,2017-01-13,"South African rand, daily average",0.09722
31588,2017-01-14,"South African rand, daily average",0.0
31589,2017-01-15,"South African rand, daily average",0.0
31590,2017-01-16,"South African rand, daily average",0.09631
31591,2017-01-17,"South African rand, daily average",0.09681
31592,2017-01-18,"South African rand, daily average",0.09729
31593,2017-01-19,"South African rand, daily average",0.09786
31594,2017-01-20,"South African rand, daily average",0.09816
31595,2017-01-21,"South African rand, daily average",0.0
31596,2017-01-22,"South African rand, daily average",0.0
31597,2017-01-23,"South African rand, daily average",0.09828
31598,2017-01-24,"South African rand, daily average",0.09869
31599,2017-01-25,"South African rand, daily average",0.09854
31600,2017-01-26,"South African rand, daily average",0.09808
31601,2017-01-27,"South African rand, daily average",0.09734
31602,2017-01-28,"South African rand, daily average",0.0
31603,2017-01-29,"South African rand, daily average",0.0
31604,2017-01-30,"South African rand, daily average",0.09681
31605,2017-01-31,"South African rand, daily average",0.09675
31606,2017-02-01,"South African rand, daily average",0.09732
31607,2017-02-02,"South African rand, daily average",0.09737
31608,2017-02-03,"South African rand, daily average",0.09808
31609,2017-02-04,"South African rand, daily average",0.0
31610,2017-02-05,"South African rand, daily average",0.0
31611,2017-02-06,"South African rand, daily average",0.09804
31612,2017-02-07,"South African rand, daily average",0.09804
31613,2017-02-08,"South African rand, daily average",0.09806
31614,2017-02-09,"South African rand, daily average",0.09786
31615,2017-02-10,"South African rand, daily average",0.09775
31616,2017-02-11,"South African rand, daily average",0.0
31617,2017-02-12,"South African rand, daily average",0.0
31618,2017-02-13,"South African rand, daily average",0.09813
31619,2017-02-14,"South African rand, daily average",0.09944
31620,2017-02-15,"South African rand, daily average",0.10069
31621,2017-02-16,"South African rand, daily average",0.10046
31622,2017-02-17,"South African rand, daily average",0.10008
31623,2017-02-18,"South African rand, daily average",0.0
31624,2017-02-19,"South African rand, daily average",0.0
31626,2017-02-21,"South African rand, daily average",0.10015
31627,2017-02-22,"South African rand, daily average",0.10088
31628,2017-02-23,"South African rand, daily average",0.10192
31629,2017-02-24,"South African rand, daily average",0.10119
31630,2017-02-25,"South African rand, daily average",0.0
31631,2017-02-26,"South African rand, daily average",0.0
31632,2017-02-27,"South African rand, daily average",0.10123
31633,2017-02-28,"South African rand, daily average",0.10133
31634,2017-03-01,"South African rand, daily average",0.10233
31635,2017-03-02,"South African rand, daily average",0.10198
31636,2017-03-03,"South African rand, daily average",0.10254
31637,2017-03-04,"South African rand, daily average",0.0
31638,2017-03-05,"South African rand, daily average",0.0
31639,2017-03-06,"South African rand, daily average",0.10318
31640,2017-03-07,"South African rand, daily average",0.10351
31641,2017-03-08,"South African rand, daily average",0.10283
31642,2017-03-09,"South African rand, daily average",0.10159
31643,2017-03-10,"South African rand, daily average",0.10204
31644,2017-03-11,"South African rand, daily average",0.0
31645,2017-03-12,"South African rand, daily average",0.0
31646,2017-03-13,"South African rand, daily average",0.10247
31647,2017-03-14,"South African rand, daily average",0.1024
31648,2017-03-15,"South African rand, daily average",0.10333
31649,2017-03-16,"South African rand, daily average",0.10459
31650,2017-03-17,"South African rand, daily average",0.10469
31651,2017-03-18,"South African rand, daily average",0.0
31652,2017-03-19,"South African rand, daily average",0.0
31653,2017-03-20,"South African rand, daily average",0.10555
31654,2017-03-21,"South African rand, daily average",0.10555
31655,2017-03-22,"South African rand, daily average",0.10621
31656,2017-03-23,"South African rand, daily average",0.10683
31657,2017-03-24,"South African rand, daily average",0.10739
31658,2017-03-25,"South African rand, daily average",0.0
31659,2017-03-26,"South African rand, daily average",0.0
31660,2017-03-27,"South African rand, daily average",0.10485
31661,2017-03-28,"South African rand, daily average",0.1033
31662,2017-03-29,"South African rand, daily average",0.10272
31663,2017-03-30,"South African rand, daily average",0.10317
31664,2017-03-31,"South African rand, daily average",0.09937
31665,2017-04-01,"South African rand, daily average",0.0
31666,2017-04-02,"South African rand, daily average",0.0
31667,2017-04-03,"South African rand, daily average",0.09826
31668,2017-04-04,"South African rand, daily average",0.09865
31669,2017-04-05,"South African rand, daily average",0.09731
31670,2017-04-06,"South African rand, daily average",0.09724
31671,2017-04-07,"South African rand, daily average",0.09703
31672,2017-04-08,"South African rand, daily average",0.0
31673,2017-04-09,"South African rand, daily average",0.0
31674,2017-04-10,"South African rand, daily average",0.096
31675,2017-04-11,"South African rand, daily average",0.09642
31676,2017-04-12,"South African rand, daily average",0.09754
