,Date,Currency,Value
33609,2017-01-03,"South Korean won, daily average",0.001112
33610,2017-01-04,"South Korean won, daily average",0.001111
33611,2017-01-05,"South Korean won, daily average",0.001118
33612,2017-01-06,"South Korean won, daily average",0.001103
33613,2017-01-07,"South Korean won, daily average",0.0
33614,2017-01-08,"South Korean won, daily average",0.0
33615,2017-01-09,"South Korean won, daily average",0.0011
33616,2017-01-10,"South Korean won, daily average",0.001102
33617,2017-01-11,"South Korean won, daily average",0.001105
33618,2017-01-12,"South Korean won, daily average",0.001117
33619,2017-01-13,"South Korean won, daily average",0.001116
33620,2017-01-14,"South Korean won, daily average",0.0
33621,2017-01-15,"South Korean won, daily average",0.0
33622,2017-01-16,"South Korean won, daily average",0.001111
33623,2017-01-17,"South Korean won, daily average",0.001122
33624,2017-01-18,"South Korean won, daily average",0.001123
33625,2017-01-19,"South Korean won, daily average",0.00113
33626,2017-01-20,"South Korean won, daily average",0.001135
33627,2017-01-21,"South Korean won, daily average",0.0
33628,2017-01-22,"South Korean won, daily average",0.0
33629,2017-01-23,"South Korean won, daily average",0.001139
33630,2017-01-24,"South Korean won, daily average",0.00113
33631,2017-01-25,"South Korean won, daily average",0.001123
33632,2017-01-26,"South Korean won, daily average",0.001121
33633,2017-01-27,"South Korean won, daily average",0.001115
33634,2017-01-28,"South Korean won, daily average",0.0
33635,2017-01-29,"South Korean won, daily average",0.0
33636,2017-01-30,"South Korean won, daily average",0.001118
33637,2017-01-31,"South Korean won, daily average",0.00113
33638,2017-02-01,"South Korean won, daily average",0.001131
33639,2017-02-02,"South Korean won, daily average",0.00114
33640,2017-02-03,"South Korean won, daily average",0.001143
33641,2017-02-04,"South Korean won, daily average",0.0
33642,2017-02-05,"South Korean won, daily average",0.0
33643,2017-02-06,"South Korean won, daily average",0.001154
33644,2017-02-07,"South Korean won, daily average",0.001151
33645,2017-02-08,"South Korean won, daily average",0.001149
33646,2017-02-09,"South Korean won, daily average",0.001143
33647,2017-02-10,"South Korean won, daily average",0.00114
33648,2017-02-11,"South Korean won, daily average",0.0
33649,2017-02-12,"South Korean won, daily average",0.0
33650,2017-02-13,"South Korean won, daily average",0.001137
33651,2017-02-14,"South Korean won, daily average",0.001147
33652,2017-02-15,"South Korean won, daily average",0.00115
33653,2017-02-16,"South Korean won, daily average",0.001144
33654,2017-02-17,"South Korean won, daily average",0.001138
33655,2017-02-18,"South Korean won, daily average",0.0
33656,2017-02-19,"South Korean won, daily average",0.0
33658,2017-02-21,"South Korean won, daily average",0.001149
33659,2017-02-22,"South Korean won, daily average",0.001155
33660,2017-02-23,"South Korean won, daily average",0.001158
33661,2017-02-24,"South Korean won, daily average",0.001158
33662,2017-02-25,"South Korean won, daily average",0.0
33663,2017-02-26,"South Korean won, daily average",0.0
33664,2017-02-27,"South Korean won, daily average",0.001158
33665,2017-02-28,"South Korean won, daily average",0.001172
33666,2017-03-01,"South Korean won, daily average",0.001168
33667,2017-03-02,"South Korean won, daily average",0.001165
33668,2017-03-03,"South Korean won, daily average",0.00116
33669,2017-03-04,"South Korean won, daily average",0.0
33670,2017-03-05,"South Korean won, daily average",0.0
33671,2017-03-06,"South Korean won, daily average",0.001161
33672,2017-03-07,"South Korean won, daily average",0.001166
33673,2017-03-08,"South Korean won, daily average",0.001167
33674,2017-03-09,"South Korean won, daily average",0.001166
33675,2017-03-10,"South Korean won, daily average",0.001169
33676,2017-03-11,"South Korean won, daily average",0.0
33677,2017-03-12,"South Korean won, daily average",0.0
33678,2017-03-13,"South Korean won, daily average",0.001172
33679,2017-03-14,"South Korean won, daily average",0.001173
33680,2017-03-15,"South Korean won, daily average",0.001176
