,Date,Currency,Value
35641,2017-01-03,"Swedish krona, daily average",0.1465
35642,2017-01-04,"Swedish krona, daily average",0.146
35643,2017-01-05,"Swedish krona, daily average",0.1468
35644,2017-01-06,"Swedish krona, daily average",0.1461
35645,2017-01-07,"Swedish krona, daily average",0.0
35646,2017-01-08,"Swedish krona, daily average",0.0
35647,2017-01-09,"Swedish krona, daily average",0.146
35648,2017-01-10,"Swedish krona, daily average",0.1458
35649,2017-01-11,"Swedish krona, daily average",0.1455
35650,2017-01-12,"Swedish krona, daily average",0.1469
35651,2017-01-13,"Swedish krona, daily average",0.1473
35652,2017-01-14,"Swedish krona, daily average",0.0
35653,2017-01-15,"Swedish krona, daily average",0.0
35654,2017-01-16,"Swedish krona, daily average",0.147
35655,2017-01-17,"Swedish krona, daily average",0.1467
35656,2017-01-18,"Swedish krona, daily average",0.1475
35657,2017-01-19,"Swedish krona, daily average",0.1484
35658,2017-01-20,"Swedish krona, daily average",0.1497
35659,2017-01-21,"Swedish krona, daily average",0.0
35660,2017-01-22,"Swedish krona, daily average",0.0
35661,2017-01-23,"Swedish krona, daily average",0.1502
35662,2017-01-24,"Swedish krona, daily average",0.149
35663,2017-01-25,"Swedish krona, daily average",0.1482
35664,2017-01-26,"Swedish krona, daily average",0.1481
35665,2017-01-27,"Swedish krona, daily average",0.1484
35666,2017-01-28,"Swedish krona, daily average",0.0
35667,2017-01-29,"Swedish krona, daily average",0.0
35668,2017-01-30,"Swedish krona, daily average",0.1483
35669,2017-01-31,"Swedish krona, daily average",0.1488
35670,2017-02-01,"Swedish krona, daily average",0.1493
35671,2017-02-02,"Swedish krona, daily average",0.1492
35672,2017-02-03,"Swedish krona, daily average",0.1484
35673,2017-02-04,"Swedish krona, daily average",0.0
35674,2017-02-05,"Swedish krona, daily average",0.0
35675,2017-02-06,"Swedish krona, daily average",0.1483
35676,2017-02-07,"Swedish krona, daily average",0.1485
35677,2017-02-08,"Swedish krona, daily average",0.1487
35678,2017-02-09,"Swedish krona, daily average",0.1477
35679,2017-02-10,"Swedish krona, daily average",0.1467
35680,2017-02-11,"Swedish krona, daily average",0.0
35681,2017-02-12,"Swedish krona, daily average",0.0
35682,2017-02-13,"Swedish krona, daily average",0.1465
35683,2017-02-14,"Swedish krona, daily average",0.1463
35684,2017-02-15,"Swedish krona, daily average",0.1464
35685,2017-02-16,"Swedish krona, daily average",0.1472
35686,2017-02-17,"Swedish krona, daily average",0.1472
35687,2017-02-18,"Swedish krona, daily average",0.0
35688,2017-02-19,"Swedish krona, daily average",0.0
35690,2017-02-21,"Swedish krona, daily average",0.1464
35691,2017-02-22,"Swedish krona, daily average",0.1466
35692,2017-02-23,"Swedish krona, daily average",0.1458
35693,2017-02-24,"Swedish krona, daily average",0.1453
35694,2017-02-25,"Swedish krona, daily average",0.0
35695,2017-02-26,"Swedish krona, daily average",0.0
35696,2017-02-27,"Swedish krona, daily average",0.1452
35697,2017-02-28,"Swedish krona, daily average",0.1468
35698,2017-03-01,"Swedish krona, daily average",0.1475
35699,2017-03-02,"Swedish krona, daily average",0.1475
35700,2017-03-03,"Swedish krona, daily average",0.1486
35701,2017-03-04,"Swedish krona, daily average",0.0
35702,2017-03-05,"Swedish krona, daily average",0.0
35703,2017-03-06,"Swedish krona, daily average",0.1488
35704,2017-03-07,"Swedish krona, daily average",0.149
35705,2017-03-08,"Swedish krona, daily average",0.149
35706,2017-03-09,"Swedish krona, daily average",0.1496
35707,2017-03-10,"Swedish krona, daily average",0.1495
