,Date,Currency,Value
37673,2017-01-03,"Swiss franc, daily average",1.3064
37674,2017-01-04,"Swiss franc, daily average",1.3005
37675,2017-01-05,"Swiss franc, daily average",1.3083
37676,2017-01-06,"Swiss franc, daily average",1.302
37677,2017-01-07,"Swiss franc, daily average",0.0
37678,2017-01-08,"Swiss franc, daily average",0.0
37679,2017-01-09,"Swiss franc, daily average",1.302
37680,2017-01-10,"Swiss franc, daily average",1.3012
37681,2017-01-11,"Swiss franc, daily average",1.2976
37682,2017-01-12,"Swiss franc, daily average",1.3008
37683,2017-01-13,"Swiss franc, daily average",1.3016
37684,2017-01-14,"Swiss franc, daily average",0.0
37685,2017-01-15,"Swiss franc, daily average",0.0
37686,2017-01-16,"Swiss franc, daily average",1.3013
37687,2017-01-17,"Swiss franc, daily average",1.303
37688,2017-01-18,"Swiss franc, daily average",1.3119
37689,2017-01-19,"Swiss franc, daily average",1.3197
37690,2017-01-20,"Swiss franc, daily average",1.3275
37691,2017-01-21,"Swiss franc, daily average",0.0
37692,2017-01-22,"Swiss franc, daily average",0.0
37693,2017-01-23,"Swiss franc, daily average",1.3297
37694,2017-01-24,"Swiss franc, daily average",1.3175
37695,2017-01-25,"Swiss franc, daily average",1.3086
37696,2017-01-26,"Swiss franc, daily average",1.3105
37697,2017-01-27,"Swiss franc, daily average",1.3134
37698,2017-01-28,"Swiss franc, daily average",0.0
37699,2017-01-29,"Swiss franc, daily average",0.0
37700,2017-01-30,"Swiss franc, daily average",1.3144
37701,2017-01-31,"Swiss franc, daily average",1.3167
37702,2017-02-01,"Swiss franc, daily average",1.3168
37703,2017-02-02,"Swiss franc, daily average",1.3145
37704,2017-02-03,"Swiss franc, daily average",1.3109
37705,2017-02-04,"Swiss franc, daily average",0.0
37706,2017-02-05,"Swiss franc, daily average",0.0
37707,2017-02-06,"Swiss franc, daily average",1.3191
37708,2017-02-07,"Swiss franc, daily average",1.3202
37709,2017-02-08,"Swiss franc, daily average",1.3221
37710,2017-02-09,"Swiss franc, daily average",1.3124
37711,2017-02-10,"Swiss franc, daily average",1.3035
37712,2017-02-11,"Swiss franc, daily average",0.0
37713,2017-02-12,"Swiss franc, daily average",0.0
37714,2017-02-13,"Swiss franc, daily average",1.3011
37715,2017-02-14,"Swiss franc, daily average",1.2985
37716,2017-02-15,"Swiss franc, daily average",1.2991
37717,2017-02-16,"Swiss franc, daily average",1.3068
37718,2017-02-17,"Swiss franc, daily average",1.3085
37719,2017-02-18,"Swiss franc, daily average",0.0
37720,2017-02-19,"Swiss franc, daily average",0.0
37722,2017-02-21,"Swiss franc, daily average",1.3028
37723,2017-02-22,"Swiss franc, daily average",1.3031
37724,2017-02-23,"Swiss franc, daily average",1.3017
37725,2017-02-24,"Swiss franc, daily average",1.3019
37726,2017-02-25,"Swiss franc, daily average",0.0
37727,2017-02-26,"Swiss franc, daily average",0.0
37728,2017-02-27,"Swiss franc, daily average",1.3025
37729,2017-02-28,"Swiss franc, daily average",1.3201
37730,2017-03-01,"Swiss franc, daily average",1.3218
37731,2017-03-02,"Swiss franc, daily average",1.3215
37732,2017-03-03,"Swiss franc, daily average",1.3263
37733,2017-03-04,"Swiss franc, daily average",0.0
37734,2017-03-05,"Swiss franc, daily average",0.0
37735,2017-03-06,"Swiss franc, daily average",1.3257
37736,2017-03-07,"Swiss franc, daily average",1.3229
37737,2017-03-08,"Swiss franc, daily average",1.3283
37738,2017-03-09,"Swiss franc, daily average",1.3345
37739,2017-03-10,"Swiss franc, daily average",1.3328
37740,2017-03-11,"Swiss franc, daily average",0.0
37741,2017-03-12,"Swiss franc, daily average",0.0
37742,2017-03-13,"Swiss franc, daily average",1.3349
37743,2017-03-14,"Swiss franc, daily average",1.3369
37744,2017-03-15,"Swiss franc, daily average",1.3337
37745,2017-03-16,"Swiss franc, daily average",1.3365
37746,2017-03-17,"Swiss franc, daily average",1.3378
37747,2017-03-18,"Swiss franc, daily average",0.0
37748,2017-03-19,"Swiss franc, daily average",0.0
37749,2017-03-20,"Swiss franc, daily average",1.339
37750,2017-03-21,"Swiss franc, daily average",1.3399
37751,2017-03-22,"Swiss franc, daily average",1.3482
37752,2017-03-23,"Swiss franc, daily average",1.3434
37753,2017-03-24,"Swiss franc, daily average",1.3492
37754,2017-03-25,"Swiss franc, daily average",0.0
37755,2017-03-26,"Swiss franc, daily average",0.0
37756,2017-03-27,"Swiss franc, daily average",1.3593
37757,2017-03-28,"Swiss franc, daily average",1.3549
37758,2017-03-29,"Swiss franc, daily average",1.3412
37759,2017-03-30,"Swiss franc, daily average",1.333
37760,2017-03-31,"Swiss franc, daily average",1.3299
37761,2017-04-01,"Swiss franc, daily average",0.0
37762,2017-04-02,"Swiss franc, daily average",0.0
37763,2017-04-03,"Swiss franc, daily average",1.3356
37764,2017-04-04,"Swiss franc, daily average",1.3396
37765,2017-04-05,"Swiss franc, daily average",1.3344
37766,2017-04-06,"Swiss franc, daily average",1.3359
37767,2017-04-07,"Swiss franc, daily average",1.3296
37768,2017-04-08,"Swiss franc, daily average",0.0
37769,2017-04-09,"Swiss franc, daily average",0.0
37770,2017-04-10,"Swiss franc, daily average",1.3236
37771,2017-04-11,"Swiss franc, daily average",1.3233
37772,2017-04-12,"Swiss franc, daily average",1.3214
37773,2017-04-13,"Swiss franc, daily average",1.3206
37775,2017-04-15,"Swiss franc, daily average",0.0
37776,2017-04-16,"Swiss franc, daily average",0.0
37777,2017-04-17,"Swiss franc, daily average",1.3249
37778,2017-04-18,"Swiss franc, daily average",1.3403
37779,2017-04-19,"Swiss franc, daily average",1.3489
37780,2017-04-20,"Swiss franc, daily average",1.3528
37781,2017-04-21,"Swiss franc, daily average",1.3528
37782,2017-04-22,"Swiss franc, daily average",0.0
37783,2017-04-23,"Swiss franc, daily average",0.0
37784,2017-04-24,"Swiss franc, daily average",1.355
37785,2017-04-25,"Swiss franc, daily average",1.3683
37786,2017-04-26,"Swiss franc, daily average",1.3664
37787,2017-04-27,"Swiss franc, daily average",1.3701
37788,2017-04-28,"Swiss franc, daily average",1.3752
37789,2017-04-29,"Swiss franc, daily average",0.0
37790,2017-04-30,"Swiss franc, daily average",0.0
37791,2017-05-01,"Swiss franc, daily average",1.3731
37792,2017-05-02,"Swiss franc, daily average",1.3813
37793,2017-05-03,"Swiss franc, daily average",1.3831
37794,2017-05-04,"Swiss franc, daily average",1.3887
37795,2017-05-05,"Swiss franc, daily average",1.388
37796,2017-05-06,"Swiss franc, daily average",0.0
37797,2017-05-07,"Swiss franc, daily average",0.0
37798,2017-05-08,"Swiss franc, daily average",1.3741
37799,2017-05-09,"Swiss franc, daily average",1.3638
37800,2017-05-10,"Swiss franc, daily average",1.3561
37801,2017-05-11,"Swiss franc, daily average",1.3606
