,Date,Currency,Value
39705,2017-01-03,"Taiwanese dollar, daily average",0.0415
39706,2017-01-04,"Taiwanese dollar, daily average",0.04141
39707,2017-01-05,"Taiwanese dollar, daily average",0.04161
39708,2017-01-06,"Taiwanese dollar, daily average",0.04131
39709,2017-01-07,"Taiwanese dollar, daily average",0.0
39710,2017-01-08,"Taiwanese dollar, daily average",0.0
39711,2017-01-09,"Taiwanese dollar, daily average",0.04129
39712,2017-01-10,"Taiwanese dollar, daily average",0.04137
39713,2017-01-11,"Taiwanese dollar, daily average",0.04147
39714,2017-01-12,"Taiwanese dollar, daily average",0.04161
39715,2017-01-13,"Taiwanese dollar, daily average",0.04159
39716,2017-01-14,"Taiwanese dollar, daily average",0.0
39717,2017-01-15,"Taiwanese dollar, daily average",0.0
39718,2017-01-16,"Taiwanese dollar, daily average",0.04156
39719,2017-01-17,"Taiwanese dollar, daily average",0.04159
39720,2017-01-18,"Taiwanese dollar, daily average",0.0417
39721,2017-01-19,"Taiwanese dollar, daily average",0.04211
39722,2017-01-20,"Taiwanese dollar, daily average",0.04225
39723,2017-01-21,"Taiwanese dollar, daily average",0.0
39724,2017-01-22,"Taiwanese dollar, daily average",0.0
39725,2017-01-23,"Taiwanese dollar, daily average",0.04231
39726,2017-01-24,"Taiwanese dollar, daily average",0.04204
39727,2017-01-25,"Taiwanese dollar, daily average",0.04179
39728,2017-01-26,"Taiwanese dollar, daily average",0.04172
39729,2017-01-27,"Taiwanese dollar, daily average",0.04163
39730,2017-01-28,"Taiwanese dollar, daily average",0.0
39731,2017-01-29,"Taiwanese dollar, daily average",0.0
39732,2017-01-30,"Taiwanese dollar, daily average",0.04171
39733,2017-01-31,"Taiwanese dollar, daily average",0.04179
39734,2017-02-01,"Taiwanese dollar, daily average",0.04192
39735,2017-02-02,"Taiwanese dollar, daily average",0.04196
39736,2017-02-03,"Taiwanese dollar, daily average",0.0422
39737,2017-02-04,"Taiwanese dollar, daily average",0.0
39738,2017-02-05,"Taiwanese dollar, daily average",0.0
39739,2017-02-06,"Taiwanese dollar, daily average",0.04242
39740,2017-02-07,"Taiwanese dollar, daily average",0.04239
39741,2017-02-08,"Taiwanese dollar, daily average",0.04238
39742,2017-02-09,"Taiwanese dollar, daily average",0.04228
39743,2017-02-10,"Taiwanese dollar, daily average",0.04225
39744,2017-02-11,"Taiwanese dollar, daily average",0.0
