,Date,Currency,Value
41737,2017-01-03,"Thai baht, daily average",0.03739
41738,2017-01-04,"Thai baht, daily average",0.03717
41739,2017-01-05,"Thai baht, daily average",0.03709
41740,2017-01-06,"Thai baht, daily average",0.03704
41741,2017-01-07,"Thai baht, daily average",0.0
41742,2017-01-08,"Thai baht, daily average",0.0
41743,2017-01-09,"Thai baht, daily average",0.03709
41744,2017-01-10,"Thai baht, daily average",0.03716
41745,2017-01-11,"Thai baht, daily average",0.03719
41746,2017-01-12,"Thai baht, daily average",0.03713
41747,2017-01-13,"Thai baht, daily average",0.03708
41748,2017-01-14,"Thai baht, daily average",0.0
41749,2017-01-15,"Thai baht, daily average",0.0
41750,2017-01-16,"Thai baht, daily average",0.03715
41751,2017-01-17,"Thai baht, daily average",0.03699
41752,2017-01-18,"Thai baht, daily average",0.03727
41753,2017-01-19,"Thai baht, daily average",0.0376
41754,2017-01-20,"Thai baht, daily average",0.03766
41755,2017-01-21,"Thai baht, daily average",0.0
41756,2017-01-22,"Thai baht, daily average",0.0
41757,2017-01-23,"Thai baht, daily average",0.03767
41758,2017-01-24,"Thai baht, daily average",0.03739
41759,2017-01-25,"Thai baht, daily average",0.03715
41760,2017-01-26,"Thai baht, daily average",0.03711
41761,2017-01-27,"Thai baht, daily average",0.0372
41762,2017-01-28,"Thai baht, daily average",0.0
41763,2017-01-29,"Thai baht, daily average",0.0
41764,2017-01-30,"Thai baht, daily average",0.03723
41765,2017-01-31,"Thai baht, daily average",0.03711
41766,2017-02-01,"Thai baht, daily average",0.03721
41767,2017-02-02,"Thai baht, daily average",0.03712
41768,2017-02-03,"Thai baht, daily average",0.03715
41769,2017-02-04,"Thai baht, daily average",0.0
41770,2017-02-05,"Thai baht, daily average",0.0
41771,2017-02-06,"Thai baht, daily average",0.03741
41772,2017-02-07,"Thai baht, daily average",0.03759
41773,2017-02-08,"Thai baht, daily average",0.03757
41774,2017-02-09,"Thai baht, daily average",0.03747
41775,2017-02-10,"Thai baht, daily average",0.03731
41776,2017-02-11,"Thai baht, daily average",0.0
41777,2017-02-12,"Thai baht, daily average",0.0
41778,2017-02-13,"Thai baht, daily average",0.03728
41779,2017-02-14,"Thai baht, daily average",0.03732
41780,2017-02-15,"Thai baht, daily average",0.03736
41781,2017-02-16,"Thai baht, daily average",0.0373
41782,2017-02-17,"Thai baht, daily average",0.03743
41783,2017-02-18,"Thai baht, daily average",0.0
41784,2017-02-19,"Thai baht, daily average",0.0
41786,2017-02-21,"Thai baht, daily average",0.03752
41787,2017-02-22,"Thai baht, daily average",0.03765
41788,2017-02-23,"Thai baht, daily average",0.03749
41789,2017-02-24,"Thai baht, daily average",0.03756
41790,2017-02-25,"Thai baht, daily average",0.0
41791,2017-02-26,"Thai baht, daily average",0.0
41792,2017-02-27,"Thai baht, daily average",0.03765
41793,2017-02-28,"Thai baht, daily average",0.03797
41794,2017-03-01,"Thai baht, daily average",0.03812
41795,2017-03-02,"Thai baht, daily average",0.0382
41796,2017-03-03,"Thai baht, daily average",0.03822
41797,2017-03-04,"Thai baht, daily average",0.0
41798,2017-03-05,"Thai baht, daily average",0.0
41799,2017-03-06,"Thai baht, daily average",0.03823
41800,2017-03-07,"Thai baht, daily average",0.03821
41801,2017-03-08,"Thai baht, daily average",0.03816
41802,2017-03-09,"Thai baht, daily average",0.0382
41803,2017-03-10,"Thai baht, daily average",0.03809
41804,2017-03-11,"Thai baht, daily average",0.0
41805,2017-03-12,"Thai baht, daily average",0.0
41806,2017-03-13,"Thai baht, daily average",0.03807
41807,2017-03-14,"Thai baht, daily average",0.03819
41808,2017-03-15,"Thai baht, daily average",0.03812
41809,2017-03-16,"Thai baht, daily average",0.03813
41810,2017-03-17,"Thai baht, daily average",0.03828
41811,2017-03-18,"Thai baht, daily average",0.0
41812,2017-03-19,"Thai baht, daily average",0.0
41813,2017-03-20,"Thai baht, daily average",0.03852
41814,2017-03-21,"Thai baht, daily average",0.03841
41815,2017-03-22,"Thai baht, daily average",0.0386
41816,2017-03-23,"Thai baht, daily average",0.03854
41817,2017-03-24,"Thai baht, daily average",0.03871
41818,2017-03-25,"Thai baht, daily average",0.0
41819,2017-03-26,"Thai baht, daily average",0.0
41820,2017-03-27,"Thai baht, daily average",0.03891
41821,2017-03-28,"Thai baht, daily average",0.03888
41822,2017-03-29,"Thai baht, daily average",0.03883
41823,2017-03-30,"Thai baht, daily average",0.03864
41824,2017-03-31,"Thai baht, daily average",0.03876
41825,2017-04-01,"Thai baht, daily average",0.0
41826,2017-04-02,"Thai baht, daily average",0.0
41827,2017-04-03,"Thai baht, daily average",0.03894
41828,2017-04-04,"Thai baht, daily average",0.03895
41829,2017-04-05,"Thai baht, daily average",0.03881
41830,2017-04-06,"Thai baht, daily average",0.03874
41831,2017-04-07,"Thai baht, daily average",0.03871
41832,2017-04-08,"Thai baht, daily average",0.0
41833,2017-04-09,"Thai baht, daily average",0.0
41834,2017-04-10,"Thai baht, daily average",0.03855
41835,2017-04-11,"Thai baht, daily average",0.03858
41836,2017-04-12,"Thai baht, daily average",0.03859
41837,2017-04-13,"Thai baht, daily average",0.03866
41839,2017-04-15,"Thai baht, daily average",0.0
41840,2017-04-16,"Thai baht, daily average",0.0
41841,2017-04-17,"Thai baht, daily average",0.03878
41842,2017-04-18,"Thai baht, daily average",0.03893
41843,2017-04-19,"Thai baht, daily average",0.03913
41844,2017-04-20,"Thai baht, daily average",0.0392
41845,2017-04-21,"Thai baht, daily average",0.03928
41846,2017-04-22,"Thai baht, daily average",0.0
41847,2017-04-23,"Thai baht, daily average",0.0
41848,2017-04-24,"Thai baht, daily average",0.03926
41849,2017-04-25,"Thai baht, daily average",0.03949
41850,2017-04-26,"Thai baht, daily average",0.03941
41851,2017-04-27,"Thai baht, daily average",0.03937
41852,2017-04-28,"Thai baht, daily average",0.03949
41853,2017-04-29,"Thai baht, daily average",0.0
41854,2017-04-30,"Thai baht, daily average",0.0
41855,2017-05-01,"Thai baht, daily average",0.03949
41856,2017-05-02,"Thai baht, daily average",0.03977
41857,2017-05-03,"Thai baht, daily average",0.03972
41858,2017-05-04,"Thai baht, daily average",0.03968
41859,2017-05-05,"Thai baht, daily average",0.03953
41860,2017-05-06,"Thai baht, daily average",0.0
41861,2017-05-07,"Thai baht, daily average",0.0
41862,2017-05-08,"Thai baht, daily average",0.03957
41863,2017-05-09,"Thai baht, daily average",0.03947
41864,2017-05-10,"Thai baht, daily average",0.03933
41865,2017-05-11,"Thai baht, daily average",0.03946
41866,2017-05-12,"Thai baht, daily average",0.03955
41867,2017-05-13,"Thai baht, daily average",0.0
41868,2017-05-14,"Thai baht, daily average",0.0
41869,2017-05-15,"Thai baht, daily average",0.0395
41870,2017-05-16,"Thai baht, daily average",0.03942
41871,2017-05-17,"Thai baht, daily average",0.03948
41872,2017-05-18,"Thai baht, daily average",0.03944
41873,2017-05-19,"Thai baht, daily average",0.03944
41874,2017-05-20,"Thai baht, daily average",0.0
41875,2017-05-21,"Thai baht, daily average",0.0
41877,2017-05-23,"Thai baht, daily average",0.0392
41878,2017-05-24,"Thai baht, daily average",0.03917
41879,2017-05-25,"Thai baht, daily average",0.03939
41880,2017-05-26,"Thai baht, daily average",0.03952
41881,2017-05-27,"Thai baht, daily average",0.0
41882,2017-05-28,"Thai baht, daily average",0.0
41883,2017-05-29,"Thai baht, daily average",0.03942
41884,2017-05-30,"Thai baht, daily average",0.03947
41885,2017-05-31,"Thai baht, daily average",0.03965
41886,2017-06-01,"Thai baht, daily average",0.03952
41887,2017-06-02,"Thai baht, daily average",0.03963
41888,2017-06-03,"Thai baht, daily average",0.0
41889,2017-06-04,"Thai baht, daily average",0.0
41890,2017-06-05,"Thai baht, daily average",0.03961
41891,2017-06-06,"Thai baht, daily average",0.03963
41892,2017-06-07,"Thai baht, daily average",0.03966
41893,2017-06-08,"Thai baht, daily average",0.03964
41894,2017-06-09,"Thai baht, daily average",0.03949
41895,2017-06-10,"Thai baht, daily average",0.0
41896,2017-06-11,"Thai baht, daily average",0.0
41897,2017-06-12,"Thai baht, daily average",0.03938
41898,2017-06-13,"Thai baht, daily average",0.03903
41899,2017-06-14,"Thai baht, daily average",0.03901
41900,2017-06-15,"Thai baht, daily average",0.0391
41901,2017-06-16,"Thai baht, daily average",0.03897
41902,2017-06-17,"Thai baht, daily average",0.0
41903,2017-06-18,"Thai baht, daily average",0.0
41904,2017-06-19,"Thai baht, daily average",0.03893
41905,2017-06-20,"Thai baht, daily average",0.039
41906,2017-06-21,"Thai baht, daily average",0.03915
41907,2017-06-22,"Thai baht, daily average",0.03896
41908,2017-06-23,"Thai baht, daily average",0.03909
41909,2017-06-24,"Thai baht, daily average",0.0
41910,2017-06-25,"Thai baht, daily average",0.0
41911,2017-06-26,"Thai baht, daily average",0.03896
41912,2017-06-27,"Thai baht, daily average",0.03884
41913,2017-06-28,"Thai baht, daily average",0.03844
41914,2017-06-29,"Thai baht, daily average",0.03829
41915,2017-06-30,"Thai baht, daily average",0.03824
41916,2017-07-01,"Thai baht, daily average",0.0
41917,2017-07-02,"Thai baht, daily average",0.0
41919,2017-07-04,"Thai baht, daily average",0.03805
41920,2017-07-05,"Thai baht, daily average",0.03814
41921,2017-07-06,"Thai baht, daily average",0.03799
41922,2017-07-07,"Thai baht, daily average",0.03779
41923,2017-07-08,"Thai baht, daily average",0.0
41924,2017-07-09,"Thai baht, daily average",0.0
41925,2017-07-10,"Thai baht, daily average",0.03776
41926,2017-07-11,"Thai baht, daily average",0.03789
41927,2017-07-12,"Thai baht, daily average",0.03766
41928,2017-07-13,"Thai baht, daily average",0.03753
41929,2017-07-14,"Thai baht, daily average",0.03751
41930,2017-07-15,"Thai baht, daily average",0.0
41931,2017-07-16,"Thai baht, daily average",0.0
41932,2017-07-17,"Thai baht, daily average",0.03767
41933,2017-07-18,"Thai baht, daily average",0.0376
41934,2017-07-19,"Thai baht, daily average",0.03749
41935,2017-07-20,"Thai baht, daily average",0.03747
41936,2017-07-21,"Thai baht, daily average",0.03751
41937,2017-07-22,"Thai baht, daily average",0.0
41938,2017-07-23,"Thai baht, daily average",0.0
41939,2017-07-24,"Thai baht, daily average",0.03745
41940,2017-07-25,"Thai baht, daily average",0.03738
41941,2017-07-26,"Thai baht, daily average",0.03736
41942,2017-07-27,"Thai baht, daily average",0.03756
41943,2017-07-28,"Thai baht, daily average",0.0373
41944,2017-07-29,"Thai baht, daily average",0.0
41945,2017-07-30,"Thai baht, daily average",0.0
41946,2017-07-31,"Thai baht, daily average",0.0375
41947,2017-08-01,"Thai baht, daily average",0.03761
41948,2017-08-02,"Thai baht, daily average",0.03776
41949,2017-08-03,"Thai baht, daily average",0.03782
41950,2017-08-04,"Thai baht, daily average",0.03797
41951,2017-08-05,"Thai baht, daily average",0.0
41952,2017-08-06,"Thai baht, daily average",0.0
41954,2017-08-08,"Thai baht, daily average",0.03809
41955,2017-08-09,"Thai baht, daily average",0.03821
41956,2017-08-10,"Thai baht, daily average",0.03824
41957,2017-08-11,"Thai baht, daily average",0.03818
41958,2017-08-12,"Thai baht, daily average",0.0
41959,2017-08-13,"Thai baht, daily average",0.0
41960,2017-08-14,"Thai baht, daily average",0.03821
41961,2017-08-15,"Thai baht, daily average",0.03831
41962,2017-08-16,"Thai baht, daily average",0.03816
41963,2017-08-17,"Thai baht, daily average",0.03804
41964,2017-08-18,"Thai baht, daily average",0.03789
41965,2017-08-19,"Thai baht, daily average",0.0
41966,2017-08-20,"Thai baht, daily average",0.0
41967,2017-08-21,"Thai baht, daily average",0.03783
41968,2017-08-22,"Thai baht, daily average",0.03776
41969,2017-08-23,"Thai baht, daily average",0.03767
41970,2017-08-24,"Thai baht, daily average",0.03758
41971,2017-08-25,"Thai baht, daily average",0.03755
41972,2017-08-26,"Thai baht, daily average",0.0
41973,2017-08-27,"Thai baht, daily average",0.0
41974,2017-08-28,"Thai baht, daily average",0.0376
41975,2017-08-29,"Thai baht, daily average",0.03772
41976,2017-08-30,"Thai baht, daily average",0.03795
41977,2017-08-31,"Thai baht, daily average",0.03776
41978,2017-09-01,"Thai baht, daily average",0.03736
41979,2017-09-02,"Thai baht, daily average",0.0
41980,2017-09-03,"Thai baht, daily average",0.0
41982,2017-09-05,"Thai baht, daily average",0.03731
41983,2017-09-06,"Thai baht, daily average",0.037
41984,2017-09-07,"Thai baht, daily average",0.03672
41985,2017-09-08,"Thai baht, daily average",0.03664
41986,2017-09-09,"Thai baht, daily average",0.0
41987,2017-09-10,"Thai baht, daily average",0.0
41988,2017-09-11,"Thai baht, daily average",0.03661
41989,2017-09-12,"Thai baht, daily average",0.0367
41990,2017-09-13,"Thai baht, daily average",0.03679
41991,2017-09-14,"Thai baht, daily average",0.03685
41992,2017-09-15,"Thai baht, daily average",0.03681
41993,2017-09-16,"Thai baht, daily average",0.0
41994,2017-09-17,"Thai baht, daily average",0.0
41995,2017-09-18,"Thai baht, daily average",0.03698
41996,2017-09-19,"Thai baht, daily average",0.03712
41997,2017-09-20,"Thai baht, daily average",0.0371
41998,2017-09-21,"Thai baht, daily average",0.03726
41999,2017-09-22,"Thai baht, daily average",0.03723
42000,2017-09-23,"Thai baht, daily average",0.0
42001,2017-09-24,"Thai baht, daily average",0.0
42002,2017-09-25,"Thai baht, daily average",0.03729
42003,2017-09-26,"Thai baht, daily average",0.03724
42004,2017-09-27,"Thai baht, daily average",0.03726
42005,2017-09-28,"Thai baht, daily average",0.03728
42006,2017-09-29,"Thai baht, daily average",0.03746
42007,2017-09-30,"Thai baht, daily average",0.0
42008,2017-10-01,"Thai baht, daily average",0.0
42009,2017-10-02,"Thai baht, daily average",0.03742
42010,2017-10-03,"Thai baht, daily average",0.03743
42011,2017-10-04,"Thai baht, daily average",0.03742
42012,2017-10-05,"Thai baht, daily average",0.03759
42013,2017-10-06,"Thai baht, daily average",0.03752
42014,2017-10-07,"Thai baht, daily average",0.0
42015,2017-10-08,"Thai baht, daily average",0.0
42017,2017-10-10,"Thai baht, daily average",0.03761
42018,2017-10-11,"Thai baht, daily average",0.03767
42019,2017-10-12,"Thai baht, daily average",0.03766
42020,2017-10-13,"Thai baht, daily average",0.03777
42021,2017-10-14,"Thai baht, daily average",0.0
42022,2017-10-15,"Thai baht, daily average",0.0
42023,2017-10-16,"Thai baht, daily average",0.0379
42024,2017-10-17,"Thai baht, daily average",0.03789
42025,2017-10-18,"Thai baht, daily average",0.03767
42026,2017-10-19,"Thai baht, daily average",0.03767
42027,2017-10-20,"Thai baht, daily average",0.03797
42028,2017-10-21,"Thai baht, daily average",0.0
42029,2017-10-22,"Thai baht, daily average",0.0
42030,2017-10-23,"Thai baht, daily average",0.0381
42031,2017-10-24,"Thai baht, daily average",0.03816
42032,2017-10-25,"Thai baht, daily average",0.03848
42033,2017-10-26,"Thai baht, daily average",0.03865
42034,2017-10-27,"Thai baht, daily average",0.03869
42035,2017-10-28,"Thai baht, daily average",0.0
42036,2017-10-29,"Thai baht, daily average",0.0
42037,2017-10-30,"Thai baht, daily average",0.03862
42038,2017-10-31,"Thai baht, daily average",0.03881
42039,2017-11-01,"Thai baht, daily average",0.03888
42040,2017-11-02,"Thai baht, daily average",0.03874
42041,2017-11-03,"Thai baht, daily average",0.03849
42042,2017-11-04,"Thai baht, daily average",0.0
42043,2017-11-05,"Thai baht, daily average",0.0
42044,2017-11-06,"Thai baht, daily average",0.03847
42045,2017-11-07,"Thai baht, daily average",0.03857
42046,2017-11-08,"Thai baht, daily average",0.03844
42047,2017-11-09,"Thai baht, daily average",0.03835
42048,2017-11-10,"Thai baht, daily average",0.03829
42049,2017-11-11,"Thai baht, daily average",0.0
42050,2017-11-12,"Thai baht, daily average",0.0
42052,2017-11-14,"Thai baht, daily average",0.03852
42053,2017-11-15,"Thai baht, daily average",0.03869
42054,2017-11-16,"Thai baht, daily average",0.03871
42055,2017-11-17,"Thai baht, daily average",0.03895
42056,2017-11-18,"Thai baht, daily average",0.0
42057,2017-11-19,"Thai baht, daily average",0.0
42058,2017-11-20,"Thai baht, daily average",0.03899
42059,2017-11-21,"Thai baht, daily average",0.03901
42060,2017-11-22,"Thai baht, daily average",0.03892
42061,2017-11-23,"Thai baht, daily average",0.03892
42062,2017-11-24,"Thai baht, daily average",0.03891
42063,2017-11-25,"Thai baht, daily average",0.0
42064,2017-11-26,"Thai baht, daily average",0.0
42065,2017-11-27,"Thai baht, daily average",0.03905
42066,2017-11-28,"Thai baht, daily average",0.03932
42067,2017-11-29,"Thai baht, daily average",0.03945
42068,2017-11-30,"Thai baht, daily average",0.03952
42069,2017-12-01,"Thai baht, daily average",0.03903
42070,2017-12-02,"Thai baht, daily average",0.0
42071,2017-12-03,"Thai baht, daily average",0.0
42072,2017-12-04,"Thai baht, daily average",0.03893
42073,2017-12-05,"Thai baht, daily average",0.03888
42074,2017-12-06,"Thai baht, daily average",0.0391
42075,2017-12-07,"Thai baht, daily average",0.03937
42076,2017-12-08,"Thai baht, daily average",0.03941
42077,2017-12-09,"Thai baht, daily average",0.0
42078,2017-12-10,"Thai baht, daily average",0.0
42079,2017-12-11,"Thai baht, daily average",0.03941
42080,2017-12-12,"Thai baht, daily average",0.03947
42081,2017-12-13,"Thai baht, daily average",0.0395
42082,2017-12-14,"Thai baht, daily average",0.03941
42083,2017-12-15,"Thai baht, daily average",0.03948
42084,2017-12-16,"Thai baht, daily average",0.0
42085,2017-12-17,"Thai baht, daily average",0.0
42086,2017-12-18,"Thai baht, daily average",0.03941
42087,2017-12-19,"Thai baht, daily average",0.03935
42088,2017-12-20,"Thai baht, daily average",0.03926
42089,2017-12-21,"Thai baht, daily average",0.0389
42090,2017-12-22,"Thai baht, daily average",0.03896
42091,2017-12-23,"Thai baht, daily average",0.0
42092,2017-12-24,"Thai baht, daily average",0.0
42095,2017-12-27,"Thai baht, daily average",0.03854
42096,2017-12-28,"Thai baht, daily average",0.03856
42097,2017-12-29,"Thai baht, daily average",0.03848
42098,2017-12-30,"Thai baht, daily average",0.0
42099,2017-12-31,"Thai baht, daily average",0.0
42101,2018-01-02,"Thai baht, daily average",0.03858
42102,2018-01-03,"Thai baht, daily average",0.03881
42103,2018-01-04,"Thai baht, daily average",0.03884
42104,2018-01-05,"Thai baht, daily average",0.03853
42105,2018-01-06,"Thai baht, daily average",0.0
42106,2018-01-07,"Thai baht, daily average",0.0
42107,2018-01-08,"Thai baht, daily average",0.03856
42108,2018-01-09,"Thai baht, daily average",0.0386
42109,2018-01-10,"Thai baht, daily average",0.03891
42110,2018-01-11,"Thai baht, daily average",0.03918
42111,2018-01-12,"Thai baht, daily average",0.03914
42112,2018-01-13,"Thai baht, daily average",0.0
42113,2018-01-14,"Thai baht, daily average",0.0
42114,2018-01-15,"Thai baht, daily average",0.03891
42115,2018-01-16,"Thai baht, daily average",0.03886
42116,2018-01-17,"Thai baht, daily average",0.03889
42117,2018-01-18,"Thai baht, daily average",0.039
42118,2018-01-19,"Thai baht, daily average",0.0391
42119,2018-01-20,"Thai baht, daily average",0.0
42120,2018-01-21,"Thai baht, daily average",0.0
