,Date,Currency,Value
42832,2017-01-03,"Turkish lira, daily average",0.3744
42833,2017-01-04,"Turkish lira, daily average",0.3722
42834,2017-01-05,"Turkish lira, daily average",0.3674
42835,2017-01-06,"Turkish lira, daily average",0.364
42836,2017-01-07,"Turkish lira, daily average",0.0
42837,2017-01-08,"Turkish lira, daily average",0.0
42838,2017-01-09,"Turkish lira, daily average",0.3557
42839,2017-01-10,"Turkish lira, daily average",0.3499
42840,2017-01-11,"Turkish lira, daily average",0.3396
42841,2017-01-12,"Turkish lira, daily average",0.3485
42842,2017-01-13,"Turkish lira, daily average",0.3501
42843,2017-01-14,"Turkish lira, daily average",0.0
42844,2017-01-15,"Turkish lira, daily average",0.0
42845,2017-01-16,"Turkish lira, daily average",0.3463
42846,2017-01-17,"Turkish lira, daily average",0.3463
42847,2017-01-18,"Turkish lira, daily average",0.3483
42848,2017-01-19,"Turkish lira, daily average",0.3476
42849,2017-01-20,"Turkish lira, daily average",0.3519
42850,2017-01-21,"Turkish lira, daily average",0.0
42851,2017-01-22,"Turkish lira, daily average",0.0
42852,2017-01-23,"Turkish lira, daily average",0.3529
42853,2017-01-24,"Turkish lira, daily average",0.3491
42854,2017-01-25,"Turkish lira, daily average",0.3415
42855,2017-01-26,"Turkish lira, daily average",0.3398
42856,2017-01-27,"Turkish lira, daily average",0.3391
42857,2017-01-28,"Turkish lira, daily average",0.0
42858,2017-01-29,"Turkish lira, daily average",0.0
42859,2017-01-30,"Turkish lira, daily average",0.3459
42860,2017-01-31,"Turkish lira, daily average",0.3448
42861,2017-02-01,"Turkish lira, daily average",0.3464
42862,2017-02-02,"Turkish lira, daily average",0.3485
42863,2017-02-03,"Turkish lira, daily average",0.3518
42864,2017-02-04,"Turkish lira, daily average",0.0
42865,2017-02-05,"Turkish lira, daily average",0.0
42866,2017-02-06,"Turkish lira, daily average",0.3555
42867,2017-02-07,"Turkish lira, daily average",0.3522
42868,2017-02-08,"Turkish lira, daily average",0.3542
42869,2017-02-09,"Turkish lira, daily average",0.3562
42870,2017-02-10,"Turkish lira, daily average",0.3541
42871,2017-02-11,"Turkish lira, daily average",0.0
42872,2017-02-12,"Turkish lira, daily average",0.0
42873,2017-02-13,"Turkish lira, daily average",0.356
42874,2017-02-14,"Turkish lira, daily average",0.3573
