,Date,Currency,Value
44864,2017-01-03,"U.K. pound sterling, daily average",1.6459
44865,2017-01-04,"U.K. pound sterling, daily average",1.6377
44866,2017-01-05,"U.K. pound sterling, daily average",1.64
44867,2017-01-06,"U.K. pound sterling, daily average",1.6275
44868,2017-01-07,"U.K. pound sterling, daily average",0.0
44869,2017-01-08,"U.K. pound sterling, daily average",0.0
44870,2017-01-09,"U.K. pound sterling, daily average",1.6084
44871,2017-01-10,"U.K. pound sterling, daily average",1.6075
44872,2017-01-11,"U.K. pound sterling, daily average",1.6056
44873,2017-01-12,"U.K. pound sterling, daily average",1.6024
44874,2017-01-13,"U.K. pound sterling, daily average",1.5996
44875,2017-01-14,"U.K. pound sterling, daily average",0.0
44876,2017-01-15,"U.K. pound sterling, daily average",0.0
44877,2017-01-16,"U.K. pound sterling, daily average",1.5865
44878,2017-01-17,"U.K. pound sterling, daily average",1.616
44879,2017-01-18,"U.K. pound sterling, daily average",1.6192
44880,2017-01-19,"U.K. pound sterling, daily average",1.6399
44881,2017-01-20,"U.K. pound sterling, daily average",1.6453
44882,2017-01-21,"U.K. pound sterling, daily average",0.0
44883,2017-01-22,"U.K. pound sterling, daily average",0.0
44884,2017-01-23,"U.K. pound sterling, daily average",1.6584
44885,2017-01-24,"U.K. pound sterling, daily average",1.6465
44886,2017-01-25,"U.K. pound sterling, daily average",1.6495
44887,2017-01-26,"U.K. pound sterling, daily average",1.6492
44888,2017-01-27,"U.K. pound sterling, daily average",1.6469
44889,2017-01-28,"U.K. pound sterling, daily average",0.0
44890,2017-01-29,"U.K. pound sterling, daily average",0.0
44891,2017-01-30,"U.K. pound sterling, daily average",1.6388
44892,2017-01-31,"U.K. pound sterling, daily average",1.6357
44893,2017-02-01,"U.K. pound sterling, daily average",1.6531
44894,2017-02-02,"U.K. pound sterling, daily average",1.6329
44895,2017-02-03,"U.K. pound sterling, daily average",1.6263
44896,2017-02-04,"U.K. pound sterling, daily average",0.0
44897,2017-02-05,"U.K. pound sterling, daily average",0.0
44898,2017-02-06,"U.K. pound sterling, daily average",1.632
44899,2017-02-07,"U.K. pound sterling, daily average",1.6401
44900,2017-02-08,"U.K. pound sterling, daily average",1.6479
44901,2017-02-09,"U.K. pound sterling, daily average",1.6444
44902,2017-02-10,"U.K. pound sterling, daily average",1.6327
44903,2017-02-11,"U.K. pound sterling, daily average",0.0
