,Date,Currency,Value
46896,2017-01-03,"U.S. dollar, daily average",1.3435
46897,2017-01-04,"U.S. dollar, daily average",1.3315
46898,2017-01-05,"U.S. dollar, daily average",1.3244
46899,2017-01-06,"U.S. dollar, daily average",1.3214
46900,2017-01-07,"U.S. dollar, daily average",0.0
46901,2017-01-08,"U.S. dollar, daily average",0.0
46902,2017-01-09,"U.S. dollar, daily average",1.324
46903,2017-01-10,"U.S. dollar, daily average",1.3213
46904,2017-01-11,"U.S. dollar, daily average",1.325
46905,2017-01-12,"U.S. dollar, daily average",1.3106
46906,2017-01-13,"U.S. dollar, daily average",1.3141
46907,2017-01-14,"U.S. dollar, daily average",0.0
46908,2017-01-15,"U.S. dollar, daily average",0.0
46909,2017-01-16,"U.S. dollar, daily average",1.3152
46910,2017-01-17,"U.S. dollar, daily average",1.3057
46911,2017-01-18,"U.S. dollar, daily average",1.3099
46912,2017-01-19,"U.S. dollar, daily average",1.3303
46913,2017-01-20,"U.S. dollar, daily average",1.3356
46914,2017-01-21,"U.S. dollar, daily average",0.0
46915,2017-01-22,"U.S. dollar, daily average",0.0
46916,2017-01-23,"U.S. dollar, daily average",1.3291
46917,2017-01-24,"U.S. dollar, daily average",1.3174
46918,2017-01-25,"U.S. dollar, daily average",1.3088
46919,2017-01-26,"U.S. dollar, daily average",1.3103
46920,2017-01-27,"U.S. dollar, daily average",1.3123
46921,2017-01-28,"U.S. dollar, daily average",0.0
46922,2017-01-29,"U.S. dollar, daily average",0.0
46923,2017-01-30,"U.S. dollar, daily average",1.3114
46924,2017-01-31,"U.S. dollar, daily average",1.303
46925,2017-02-01,"U.S. dollar, daily average",1.3074
46926,2017-02-02,"U.S. dollar, daily average",1.3016
46927,2017-02-03,"U.S. dollar, daily average",1.3016
46928,2017-02-04,"U.S. dollar, daily average",0.0
46929,2017-02-05,"U.S. dollar, daily average",0.0
46930,2017-02-06,"U.S. dollar, daily average",1.3099
46931,2017-02-07,"U.S. dollar, daily average",1.3167
46932,2017-02-08,"U.S. dollar, daily average",1.3157
46933,2017-02-09,"U.S. dollar, daily average",1.3127
46934,2017-02-10,"U.S. dollar, daily average",1.3084
46935,2017-02-11,"U.S. dollar, daily average",0.0
46936,2017-02-12,"U.S. dollar, daily average",0.0
46937,2017-02-13,"U.S. dollar, daily average",1.3082
46938,2017-02-14,"U.S. dollar, daily average",1.307
46939,2017-02-15,"U.S. dollar, daily average",1.3088
46940,2017-02-16,"U.S. dollar, daily average",1.3055
46941,2017-02-17,"U.S. dollar, daily average",1.3102
46942,2017-02-18,"U.S. dollar, daily average",0.0
46943,2017-02-19,"U.S. dollar, daily average",0.0
46945,2017-02-21,"U.S. dollar, daily average",1.3148
46946,2017-02-22,"U.S. dollar, daily average",1.3181
46947,2017-02-23,"U.S. dollar, daily average",1.311
46948,2017-02-24,"U.S. dollar, daily average",1.3095
46949,2017-02-25,"U.S. dollar, daily average",0.0
46950,2017-02-26,"U.S. dollar, daily average",0.0
46951,2017-02-27,"U.S. dollar, daily average",1.3118
46952,2017-02-28,"U.S. dollar, daily average",1.3249
46953,2017-03-01,"U.S. dollar, daily average",1.3338
46954,2017-03-02,"U.S. dollar, daily average",1.3387
46955,2017-03-03,"U.S. dollar, daily average",1.3405
46956,2017-03-04,"U.S. dollar, daily average",0.0
46957,2017-03-05,"U.S. dollar, daily average",0.0
46958,2017-03-06,"U.S. dollar, daily average",1.3404
46959,2017-03-07,"U.S. dollar, daily average",1.3417
46960,2017-03-08,"U.S. dollar, daily average",1.3475
46961,2017-03-09,"U.S. dollar, daily average",1.3513
46962,2017-03-10,"U.S. dollar, daily average",1.3464
46963,2017-03-11,"U.S. dollar, daily average",0.0
46964,2017-03-12,"U.S. dollar, daily average",0.0
46965,2017-03-13,"U.S. dollar, daily average",1.3447
46966,2017-03-14,"U.S. dollar, daily average",1.3484
46967,2017-03-15,"U.S. dollar, daily average",1.3428
46968,2017-03-16,"U.S. dollar, daily average",1.3319
46969,2017-03-17,"U.S. dollar, daily average",1.3337
46970,2017-03-18,"U.S. dollar, daily average",0.0
46971,2017-03-19,"U.S. dollar, daily average",0.0
46972,2017-03-20,"U.S. dollar, daily average",1.3358
46973,2017-03-21,"U.S. dollar, daily average",1.3317
46974,2017-03-22,"U.S. dollar, daily average",1.336
46975,2017-03-23,"U.S. dollar, daily average",1.3336
46976,2017-03-24,"U.S. dollar, daily average",1.3374
46977,2017-03-25,"U.S. dollar, daily average",0.0
46978,2017-03-26,"U.S. dollar, daily average",0.0
46979,2017-03-27,"U.S. dollar, daily average",1.3373
46980,2017-03-28,"U.S. dollar, daily average",1.3374
46981,2017-03-29,"U.S. dollar, daily average",1.3364
46982,2017-03-30,"U.S. dollar, daily average",1.3304
46983,2017-03-31,"U.S. dollar, daily average",1.331
46984,2017-04-01,"U.S. dollar, daily average",0.0
46985,2017-04-02,"U.S. dollar, daily average",0.0
46986,2017-04-03,"U.S. dollar, daily average",1.3384
46987,2017-04-04,"U.S. dollar, daily average",1.3425
46988,2017-04-05,"U.S. dollar, daily average",1.3409
46989,2017-04-06,"U.S. dollar, daily average",1.3418
46990,2017-04-07,"U.S. dollar, daily average",1.3395
46991,2017-04-08,"U.S. dollar, daily average",0.0
46992,2017-04-09,"U.S. dollar, daily average",0.0
46993,2017-04-10,"U.S. dollar, daily average",1.3349
46994,2017-04-11,"U.S. dollar, daily average",1.3332
46995,2017-04-12,"U.S. dollar, daily average",1.33
46996,2017-04-13,"U.S. dollar, daily average",1.3275
46998,2017-04-15,"U.S. dollar, daily average",0.0
46999,2017-04-16,"U.S. dollar, daily average",0.0
47000,2017-04-17,"U.S. dollar, daily average",1.3289
47001,2017-04-18,"U.S. dollar, daily average",1.3377
47002,2017-04-19,"U.S. dollar, daily average",1.346
47003,2017-04-20,"U.S. dollar, daily average",1.3482
47004,2017-04-21,"U.S. dollar, daily average",1.3506
47005,2017-04-22,"U.S. dollar, daily average",0.0
47006,2017-04-23,"U.S. dollar, daily average",0.0
47007,2017-04-24,"U.S. dollar, daily average",1.3492
47008,2017-04-25,"U.S. dollar, daily average",1.3592
47009,2017-04-26,"U.S. dollar, daily average",1.3593
47010,2017-04-27,"U.S. dollar, daily average",1.3624
47011,2017-04-28,"U.S. dollar, daily average",1.3662
47012,2017-04-29,"U.S. dollar, daily average",0.0
47013,2017-04-30,"U.S. dollar, daily average",0.0
47014,2017-05-01,"U.S. dollar, daily average",1.366
47015,2017-05-02,"U.S. dollar, daily average",1.372
47016,2017-05-03,"U.S. dollar, daily average",1.3714
47017,2017-05-04,"U.S. dollar, daily average",1.3743
47018,2017-05-05,"U.S. dollar, daily average",1.3712
47019,2017-05-06,"U.S. dollar, daily average",0.0
47020,2017-05-07,"U.S. dollar, daily average",0.0
47021,2017-05-08,"U.S. dollar, daily average",1.3705
47022,2017-05-09,"U.S. dollar, daily average",1.3728
47023,2017-05-10,"U.S. dollar, daily average",1.3672
47024,2017-05-11,"U.S. dollar, daily average",1.3707
47025,2017-05-12,"U.S. dollar, daily average",1.3714
47026,2017-05-13,"U.S. dollar, daily average",0.0
47027,2017-05-14,"U.S. dollar, daily average",0.0
47028,2017-05-15,"U.S. dollar, daily average",1.3641
47029,2017-05-16,"U.S. dollar, daily average",1.3596
47030,2017-05-17,"U.S. dollar, daily average",1.3614
47031,2017-05-18,"U.S. dollar, daily average",1.3611
47032,2017-05-19,"U.S. dollar, daily average",1.3544
47033,2017-05-20,"U.S. dollar, daily average",0.0
47034,2017-05-21,"U.S. dollar, daily average",0.0
47036,2017-05-23,"U.S. dollar, daily average",1.349
47037,2017-05-24,"U.S. dollar, daily average",1.346
47038,2017-05-25,"U.S. dollar, daily average",1.3453
47039,2017-05-26,"U.S. dollar, daily average",1.3456
47040,2017-05-27,"U.S. dollar, daily average",0.0
47041,2017-05-28,"U.S. dollar, daily average",0.0
47042,2017-05-29,"U.S. dollar, daily average",1.3446
47043,2017-05-30,"U.S. dollar, daily average",1.3469
47044,2017-05-31,"U.S. dollar, daily average",1.35
47045,2017-06-01,"U.S. dollar, daily average",1.35
47046,2017-06-02,"U.S. dollar, daily average",1.3504
47047,2017-06-03,"U.S. dollar, daily average",0.0
47048,2017-06-04,"U.S. dollar, daily average",0.0
47049,2017-06-05,"U.S. dollar, daily average",1.3483
47050,2017-06-06,"U.S. dollar, daily average",1.3461
47051,2017-06-07,"U.S. dollar, daily average",1.3492
47052,2017-06-08,"U.S. dollar, daily average",1.3503
47053,2017-06-09,"U.S. dollar, daily average",1.3453
47054,2017-06-10,"U.S. dollar, daily average",0.0
47055,2017-06-11,"U.S. dollar, daily average",0.0
47056,2017-06-12,"U.S. dollar, daily average",1.3415
47057,2017-06-13,"U.S. dollar, daily average",1.3238
47058,2017-06-14,"U.S. dollar, daily average",1.3209
47059,2017-06-15,"U.S. dollar, daily average",1.3283
47060,2017-06-16,"U.S. dollar, daily average",1.3232
47061,2017-06-17,"U.S. dollar, daily average",0.0
47062,2017-06-18,"U.S. dollar, daily average",0.0
47063,2017-06-19,"U.S. dollar, daily average",1.322
47064,2017-06-20,"U.S. dollar, daily average",1.3267
