,Date,Currency,Value
48928,2017-01-03,"Vietnamese dong, daily average",5.9e-05
48929,2017-01-04,"Vietnamese dong, daily average",5.9e-05
48930,2017-01-05,"Vietnamese dong, daily average",5.8e-05
48931,2017-01-06,"Vietnamese dong, daily average",5.9e-05
48932,2017-01-07,"Vietnamese dong, daily average",0.0
48933,2017-01-08,"Vietnamese dong, daily average",0.0
48934,2017-01-09,"Vietnamese dong, daily average",5.9e-05
48935,2017-01-10,"Vietnamese dong, daily average",5.9e-05
48936,2017-01-11,"Vietnamese dong, daily average",5.9e-05
48937,2017-01-12,"Vietnamese dong, daily average",5.8e-05
48938,2017-01-13,"Vietnamese dong, daily average",5.8e-05
48939,2017-01-14,"Vietnamese dong, daily average",0.0
48940,2017-01-15,"Vietnamese dong, daily average",0.0
48941,2017-01-16,"Vietnamese dong, daily average",5.8e-05
48942,2017-01-17,"Vietnamese dong, daily average",5.8e-05
48943,2017-01-18,"Vietnamese dong, daily average",5.8e-05
48944,2017-01-19,"Vietnamese dong, daily average",5.9e-05
48945,2017-01-20,"Vietnamese dong, daily average",5.9e-05
48946,2017-01-21,"Vietnamese dong, daily average",0.0
48947,2017-01-22,"Vietnamese dong, daily average",0.0
48948,2017-01-23,"Vietnamese dong, daily average",5.9e-05
48949,2017-01-24,"Vietnamese dong, daily average",5.8e-05
48950,2017-01-25,"Vietnamese dong, daily average",5.8e-05
48951,2017-01-26,"Vietnamese dong, daily average",5.8e-05
48952,2017-01-27,"Vietnamese dong, daily average",5.8e-05
48953,2017-01-28,"Vietnamese dong, daily average",0.0
48954,2017-01-29,"Vietnamese dong, daily average",0.0
48955,2017-01-30,"Vietnamese dong, daily average",5.8e-05
48956,2017-01-31,"Vietnamese dong, daily average",5.8e-05
48957,2017-02-01,"Vietnamese dong, daily average",5.8e-05
48958,2017-02-02,"Vietnamese dong, daily average",5.7e-05
48959,2017-02-03,"Vietnamese dong, daily average",5.8e-05
48960,2017-02-04,"Vietnamese dong, daily average",0.0
48961,2017-02-05,"Vietnamese dong, daily average",0.0
48962,2017-02-06,"Vietnamese dong, daily average",5.8e-05
48963,2017-02-07,"Vietnamese dong, daily average",5.8e-05
48964,2017-02-08,"Vietnamese dong, daily average",5.8e-05
48965,2017-02-09,"Vietnamese dong, daily average",5.8e-05
48966,2017-02-10,"Vietnamese dong, daily average",5.8e-05
48967,2017-02-11,"Vietnamese dong, daily average",0.0
48968,2017-02-12,"Vietnamese dong, daily average",0.0
48969,2017-02-13,"Vietnamese dong, daily average",5.8e-05
48970,2017-02-14,"Vietnamese dong, daily average",5.7e-05
48971,2017-02-15,"Vietnamese dong, daily average",5.7e-05
48972,2017-02-16,"Vietnamese dong, daily average",5.7e-05
48973,2017-02-17,"Vietnamese dong, daily average",5.7e-05
48974,2017-02-18,"Vietnamese dong, daily average",0.0
48975,2017-02-19,"Vietnamese dong, daily average",0.0
48977,2017-02-21,"Vietnamese dong, daily average",5.8e-05
48978,2017-02-22,"Vietnamese dong, daily average",5.8e-05
48979,2017-02-23,"Vietnamese dong, daily average",5.7e-05
48980,2017-02-24,"Vietnamese dong, daily average",5.7e-05
48981,2017-02-25,"Vietnamese dong, daily average",0.0
48982,2017-02-26,"Vietnamese dong, daily average",0.0
48983,2017-02-27,"Vietnamese dong, daily average",5.8e-05
48984,2017-02-28,"Vietnamese dong, daily average",5.8e-05
48985,2017-03-01,"Vietnamese dong, daily average",5.9e-05
48986,2017-03-02,"Vietnamese dong, daily average",5.9e-05
48987,2017-03-03,"Vietnamese dong, daily average",5.9e-05
48988,2017-03-04,"Vietnamese dong, daily average",0.0
48989,2017-03-05,"Vietnamese dong, daily average",0.0
48990,2017-03-06,"Vietnamese dong, daily average",5.9e-05
48991,2017-03-07,"Vietnamese dong, daily average",5.9e-05
48992,2017-03-08,"Vietnamese dong, daily average",5.9e-05
48993,2017-03-09,"Vietnamese dong, daily average",5.9e-05
48994,2017-03-10,"Vietnamese dong, daily average",5.9e-05
48995,2017-03-11,"Vietnamese dong, daily average",0.0
48996,2017-03-12,"Vietnamese dong, daily average",0.0
48997,2017-03-13,"Vietnamese dong, daily average",5.9e-05
48998,2017-03-14,"Vietnamese dong, daily average",5.9e-05
48999,2017-03-15,"Vietnamese dong, daily average",5.9e-05
49000,2017-03-16,"Vietnamese dong, daily average",5.8e-05
49001,2017-03-17,"Vietnamese dong, daily average",5.9e-05
49002,2017-03-18,"Vietnamese dong, daily average",0.0
49003,2017-03-19,"Vietnamese dong, daily average",0.0
49004,2017-03-20,"Vietnamese dong, daily average",5.9e-05
49005,2017-03-21,"Vietnamese dong, daily average",5.8e-05
49006,2017-03-22,"Vietnamese dong, daily average",5.9e-05
49007,2017-03-23,"Vietnamese dong, daily average",5.9e-05
49008,2017-03-24,"Vietnamese dong, daily average",5.9e-05
49009,2017-03-25,"Vietnamese dong, daily average",0.0
49010,2017-03-26,"Vietnamese dong, daily average",0.0
49011,2017-03-27,"Vietnamese dong, daily average",5.9e-05
49012,2017-03-28,"Vietnamese dong, daily average",5.9e-05
49013,2017-03-29,"Vietnamese dong, daily average",5.9e-05
49014,2017-03-30,"Vietnamese dong, daily average",5.8e-05
49015,2017-03-31,"Vietnamese dong, daily average",5.8e-05
49016,2017-04-01,"Vietnamese dong, daily average",0.0
49017,2017-04-02,"Vietnamese dong, daily average",0.0
49018,2017-04-03,"Vietnamese dong, daily average",5.9e-05
49019,2017-04-04,"Vietnamese dong, daily average",5.9e-05
49020,2017-04-05,"Vietnamese dong, daily average",5.9e-05
49021,2017-04-06,"Vietnamese dong, daily average",5.9e-05
49022,2017-04-07,"Vietnamese dong, daily average",5.9e-05
49023,2017-04-08,"Vietnamese dong, daily average",0.0
49024,2017-04-09,"Vietnamese dong, daily average",0.0
49025,2017-04-10,"Vietnamese dong, daily average",5.9e-05
49026,2017-04-11,"Vietnamese dong, daily average",5.9e-05
49027,2017-04-12,"Vietnamese dong, daily average",5.9e-05
49028,2017-04-13,"Vietnamese dong, daily average",5.9e-05
49030,2017-04-15,"Vietnamese dong, daily average",0.0
49031,2017-04-16,"Vietnamese dong, daily average",0.0
49032,2017-04-17,"Vietnamese dong, daily average",5.9e-05
49033,2017-04-18,"Vietnamese dong, daily average",5.9e-05
49034,2017-04-19,"Vietnamese dong, daily average",5.9e-05
49035,2017-04-20,"Vietnamese dong, daily average",5.9e-05
49036,2017-04-21,"Vietnamese dong, daily average",5.9e-05
49037,2017-04-22,"Vietnamese dong, daily average",0.0
49038,2017-04-23,"Vietnamese dong, daily average",0.0
49039,2017-04-24,"Vietnamese dong, daily average",5.9e-05
49040,2017-04-25,"Vietnamese dong, daily average",6e-05
49041,2017-04-26,"Vietnamese dong, daily average",6e-05
49042,2017-04-27,"Vietnamese dong, daily average",6e-05
49043,2017-04-28,"Vietnamese dong, daily average",6e-05
49044,2017-04-29,"Vietnamese dong, daily average",0.0
49045,2017-04-30,"Vietnamese dong, daily average",0.0
49046,2017-05-01,"Vietnamese dong, daily average",6e-05
49047,2017-05-02,"Vietnamese dong, daily average",6e-05
49048,2017-05-03,"Vietnamese dong, daily average",6e-05
49049,2017-05-04,"Vietnamese dong, daily average",6e-05
49050,2017-05-05,"Vietnamese dong, daily average",6e-05
49051,2017-05-06,"Vietnamese dong, daily average",0.0
49052,2017-05-07,"Vietnamese dong, daily average",0.0
49053,2017-05-08,"Vietnamese dong, daily average",6e-05
49054,2017-05-09,"Vietnamese dong, daily average",6e-05
49055,2017-05-10,"Vietnamese dong, daily average",6e-05
49056,2017-05-11,"Vietnamese dong, daily average",6e-05
49057,2017-05-12,"Vietnamese dong, daily average",6e-05
49058,2017-05-13,"Vietnamese dong, daily average",0.0
49059,2017-05-14,"Vietnamese dong, daily average",0.0
49060,2017-05-15,"Vietnamese dong, daily average",6e-05
49061,2017-05-16,"Vietnamese dong, daily average",6e-05
49062,2017-05-17,"Vietnamese dong, daily average",6e-05
49063,2017-05-18,"Vietnamese dong, daily average",6e-05
49064,2017-05-19,"Vietnamese dong, daily average",6e-05
49065,2017-05-20,"Vietnamese dong, daily average",0.0
49066,2017-05-21,"Vietnamese dong, daily average",0.0
49068,2017-05-23,"Vietnamese dong, daily average",5.9e-05
49069,2017-05-24,"Vietnamese dong, daily average",5.9e-05
49070,2017-05-25,"Vietnamese dong, daily average",5.9e-05
49071,2017-05-26,"Vietnamese dong, daily average",5.9e-05
49072,2017-05-27,"Vietnamese dong, daily average",0.0
49073,2017-05-28,"Vietnamese dong, daily average",0.0
49074,2017-05-29,"Vietnamese dong, daily average",5.9e-05
49075,2017-05-30,"Vietnamese dong, daily average",5.9e-05
49076,2017-05-31,"Vietnamese dong, daily average",5.9e-05
49077,2017-06-01,"Vietnamese dong, daily average",5.9e-05
49078,2017-06-02,"Vietnamese dong, daily average",5.9e-05
49079,2017-06-03,"Vietnamese dong, daily average",0.0
49080,2017-06-04,"Vietnamese dong, daily average",0.0
49081,2017-06-05,"Vietnamese dong, daily average",5.9e-05
49082,2017-06-06,"Vietnamese dong, daily average",5.9e-05
49083,2017-06-07,"Vietnamese dong, daily average",5.9e-05
49084,2017-06-08,"Vietnamese dong, daily average",6e-05
49085,2017-06-09,"Vietnamese dong, daily average",5.9e-05
49086,2017-06-10,"Vietnamese dong, daily average",0.0
49087,2017-06-11,"Vietnamese dong, daily average",0.0
49088,2017-06-12,"Vietnamese dong, daily average",5.9e-05
49089,2017-06-13,"Vietnamese dong, daily average",5.8e-05
49090,2017-06-14,"Vietnamese dong, daily average",5.8e-05
